unit_id,unit_name,bg_id,face_type
100131,"Hiyori Harusaki",510100,4
100231,"Yui Kusano",510220,2
100331,"Rei Shijo",510350,2
100431,"Misogi Hodaka",510330,4
100531,"Matsuri Orihara",510010,4
100631,"Akari Kazemiya",510120,8
100731,"Miyako Izumo",510090,4
100831,"Yuki Nijimura",510300,2
100931,"Anna Hiragi",510300,4
101032,"Maho Himemiya",510300,4
101131,"Rino Inosaki",510360,9
101231,"Hatsune Kashiwazaki",510330,9
101332,"Nanaka Tanno",510300,4
101431,"Kasumi Kirihara",510221,2
101532,"Misato Aikawa",510070,4
101631,"Suzuna Minami",510300,4
101731,"Kaori Kyan",510050,9
101831,"Io Hasekura",510220,2
102031,"Mimi Akane",510120,4
102131,"Kurumi Kuribayashi",510100,2
102232,"Yori Kazemiya",510350,2
102331,Ayane,510200,1
102531,"Suzume Amano",510040,4
102631,"Rin Morichika",510090,2
102731,"Eriko Kuraishi",510090,4
102832,"Saren Sasaki",510290,4
102931,"Nozomi Sakurai",510300,9
103031,"Ninon Joubert",510290,9
103131,"Shinobu Kamiki",510290,4
103231,"Akino Todo",510120,4
103331,"Mahiru Noto",510140,4
103431,"Yukari Ayase",510350,2
103631,"Kyoka Hikawa",510090,4
103731,"Tomo Mikuma",510030,3
103832,"Shiori Kashiwazaki",510260,2
104031,"Aoi Futaba",510360,4
104231,"Chika Misumi",510200,4
104331,"Makoto Aki",510220,1
104431,"Illya Ornstein",510120,4
104532,"Kuka Tomi",510150,4
104632,"Tamaki Miyasaka",510300,2
104731,"Jun Shirogane",510240,2
104831,"Mifuyu Ogami",510290,4
104931,"Shizuru Hoshino",510090,2
105031,"Misaki Tamaizumi",510120,4
105131,"Mitsuki Yoigahama",510140,2
105231,Lima,510100,2
105331,"Monika Weisswind",510340,4
105432,"Tsumugi Mayumiya",510351,4
105531,"Ayumi Ishibashi",510040,2
105631,"Ruka Tachiarai",510290,4
105731,Djeeta,510230,2
105831,"Eustiana von Astraea",510300,4
105931,"Kokoro Natsume",510120,2
106031,"Kiruya Momochi",510350,2
106131,"Muimi Sonoue",510121,4
106331,Arisa,510350,4
106531,"Kaya Kido",510352,4
107031,"Neneka Utsushimi",510181,4
107131,"Christina Morgan",510120,4
107531,"Eustiana von Astraea",510360,4
107631,"Kokoro Natsume",510190,4
107731,"Suzume Amano",510190,4
107831,"Kiruya Momochi",510280,2
107931,"Tamaki Miyasaka",510250,2
108031,"Mifuyu Ogami",510250,4
108131,"Shinobu Kamiki",510300,4
108231,"Miyako Izumo",510030,4
108331,"Misaki Tamaizumi",510101,4
108431,"Chika Misumi",510150,2
108531,"Kurumi Kuribayashi",510160,2
108631,"Ayane Hojo",510280,1
108731,"Hiyori Harusaki",510360,9
108831,"Yui Kusano",510220,2
108931,"Rei Shijo",510350,2
109031,"Eriko Kuraishi",510300,4
109131,"Shizuru Hoshino",510090,2
109531,"Kuka Tomi",510150,4
109631,"Ninon Joubert",510350,9
110031,"Suzuna Minami",510250,9
110131,"Io Hasekura",510190,2
110331,"Saren Sasaki",510170,4
110431,"Makoto Aki",510360,1
110531,"Kaori Kyan",510250,2
110631,"Maho Himemiya",510240,4
110731,"Aoi Futaba",510240,4
110831,"Hanako Kuroe",510150,2
111131,"Kyoka Hikawa",510301,4
111231,"Misogi Hodaka",510100,4
111331,"Mimi Akane",510100,4
111431,Luna,510240,4
111531,"Christina Morgan",510280,4
111631,"Nozomi Sakurai",510150,9
111731,"Illya Ornstein",510282,4
111931,"Kokoro Natsume",510140,2
112031,"Kiruya Momochi",510350,2
112131,"Suzume Amano",510390,4
112231,"Kasumi Kirihara",510320,2
112331,"Shiori Kashiwazaki",510320,2
