id,unit_id,type,title,description
10010101,100101,201,"Unlock animation 1",""
10010102,100101,101,"Bond Level 1",""
10010103,100101,102,"Bond Level 2",""
10010104,100101,103,"Bond Level 3",""
10010105,100101,104,"Bond Level 4",""
10010106,100101,105,"Bond Level 5",""
10010107,100101,106,"Bond Level 6",""
10010108,100101,107,"Bond Level 7",""
10010109,100101,202,"6★ Ascension animation",""
10010110,100101,108,"Bond Level 8",""
10010111,100101,109,"Bond Level 9",""
10010112,100101,110,"Bond Level 10",""
10010113,100101,111,"Bond Level 11",""
10020101,100201,201,"Unlock animation 1",""
10020102,100201,101,"Bond Level 1",""
10020103,100201,102,"Bond Level 2",""
10020104,100201,103,"Bond Level 3",""
10020105,100201,104,"Bond Level 4",""
10020106,100201,105,"Bond Level 5",""
10020107,100201,106,"Bond Level 6",""
10020108,100201,107,"Bond Level 7",""
10020109,100201,202,"6★ Ascension animation",""
10020110,100201,108,"Bond Level 8",""
10020111,100201,109,"Bond Level 9",""
10020112,100201,110,"Bond Level 10",""
10020113,100201,111,"Bond Level 11",""
10030101,100301,201,"Unlock animation 1",""
10030102,100301,101,"Bond Level 1",""
10030103,100301,102,"Bond Level 2",""
10030104,100301,103,"Bond Level 3",""
10030105,100301,104,"Bond Level 4",""
10030106,100301,105,"Bond Level 5",""
10030107,100301,106,"Bond Level 6",""
10030108,100301,107,"Bond Level 7",""
10030109,100301,202,"6★ Ascension animation",""
10030110,100301,108,"Bond Level 8",""
10030111,100301,109,"Bond Level 9",""
10030112,100301,110,"Bond Level 10",""
10030113,100301,111,"Bond Level 11",""
10040101,100401,201,"Unlock animation 1",""
10040102,100401,101,"Bond Level 1",""
10040103,100401,102,"Bond Level 2",""
10040104,100401,103,"Bond Level 3",""
10040105,100401,104,"Bond Level 4",""
10040106,100401,105,"Bond Level 5",""
10040107,100401,106,"Bond Level 6",""
10040108,100401,107,"Bond Level 7",""
10050101,100501,201,"Unlock animation 1",""
10050102,100501,101,"Bond Level 1",""
10050103,100501,102,"Bond Level 2",""
10050104,100501,103,"Bond Level 3",""
10050105,100501,104,"Bond Level 4",""
10050106,100501,105,"Bond Level 5",""
10050107,100501,106,"Bond Level 6",""
10050108,100501,107,"Bond Level 7",""
10060101,100601,201,"Unlock animation 1",""
10060102,100601,101,"Bond Level 1",""
10060103,100601,102,"Bond Level 2",""
10060104,100601,103,"Bond Level 3",""
10060105,100601,104,"Bond Level 4",""
10060106,100601,105,"Bond Level 5",""
10060107,100601,106,"Bond Level 6",""
10060108,100601,107,"Bond Level 7",""
10070101,100701,201,"Unlock animation 1",""
10070102,100701,101,"Bond Level 1",""
10070103,100701,102,"Bond Level 2",""
10070104,100701,103,"Bond Level 3",""
10070105,100701,104,"Bond Level 4",""
10070106,100701,105,"Bond Level 5",""
10070107,100701,106,"Bond Level 6",""
10070108,100701,107,"Bond Level 7",""
10080101,100801,201,"Unlock animation 1",""
10080102,100801,101,"Bond Level 1",""
10080103,100801,102,"Bond Level 2",""
10080104,100801,103,"Bond Level 3",""
10080105,100801,104,"Bond Level 4",""
10080106,100801,105,"Bond Level 5",""
10080107,100801,106,"Bond Level 6",""
10080108,100801,107,"Bond Level 7",""
10090101,100901,201,"Unlock animation 1",""
10090102,100901,101,"Bond Level 1",""
10090103,100901,102,"Bond Level 2",""
10090104,100901,103,"Bond Level 3",""
10090105,100901,104,"Bond Level 4",""
10090106,100901,105,"Bond Level 5",""
10090107,100901,106,"Bond Level 6",""
10090108,100901,107,"Bond Level 7",""
10100101,101001,201,"Unlock animation 1",""
10100102,101001,101,"Bond Level 1",""
10100103,101001,102,"Bond Level 2",""
10100104,101001,103,"Bond Level 3",""
10100105,101001,104,"Bond Level 4",""
10100106,101001,105,"Bond Level 5",""
10100107,101001,106,"Bond Level 6",""
10100108,101001,107,"Bond Level 7",""
10100109,101001,202,"6★ Ascension animation",""
10100110,101001,108,"Bond Level 8",""
10100111,101001,109,"Bond Level 9",""
10100112,101001,110,"Bond Level 10",""
10100113,101001,111,"Bond Level 11",""
10110101,101101,201,"Unlock animation 1",""
10110102,101101,101,"Bond Level 1",""
10110103,101101,102,"Bond Level 2",""
10110104,101101,103,"Bond Level 3",""
10110105,101101,104,"Bond Level 4",""
10110106,101101,105,"Bond Level 5",""
10110107,101101,106,"Bond Level 6",""
10110108,101101,107,"Bond Level 7",""
10110109,101101,202,"6★ Ascension animation",""
10110110,101101,108,"Bond Level 8",""
10110111,101101,109,"Bond Level 9",""
10110112,101101,110,"Bond Level 10",""
10110113,101101,111,"Bond Level 11",""
10120101,101201,201,"Unlock animation 1",""
10120102,101201,101,"Bond Level 1",""
10120103,101201,102,"Bond Level 2",""
10120104,101201,103,"Bond Level 3",""
10120105,101201,104,"Bond Level 4",""
10120106,101201,105,"Bond Level 5",""
10120107,101201,106,"Bond Level 6",""
10120108,101201,107,"Bond Level 7",""
10120109,101201,202,"6★ Ascension animation",""
10120110,101201,108,"Bond Level 8",""
10120111,101201,109,"Bond Level 9",""
10120112,101201,110,"Bond Level 10",""
10120113,101201,111,"Bond Level 11",""
10130101,101301,201,"Unlock animation 1",""
10130102,101301,101,"Bond Level 1",""
10130103,101301,102,"Bond Level 2",""
10130104,101301,103,"Bond Level 3",""
10130105,101301,104,"Bond Level 4",""
10130106,101301,105,"Bond Level 5",""
10130107,101301,106,"Bond Level 6",""
10130108,101301,107,"Bond Level 7",""
10140101,101401,201,"Unlock animation 1",""
10140102,101401,101,"Bond Level 1",""
10140103,101401,102,"Bond Level 2",""
10140104,101401,103,"Bond Level 3",""
10140105,101401,104,"Bond Level 4",""
10140106,101401,105,"Bond Level 5",""
10140107,101401,106,"Bond Level 6",""
10140108,101401,107,"Bond Level 7",""
10150101,101501,201,"Unlock animation 1",""
10150102,101501,101,"Bond Level 1",""
10150103,101501,102,"Bond Level 2",""
10150104,101501,103,"Bond Level 3",""
10150105,101501,104,"Bond Level 4",""
10150106,101501,105,"Bond Level 5",""
10150107,101501,106,"Bond Level 6",""
10150108,101501,107,"Bond Level 7",""
10160101,101601,201,"Unlock animation 1",""
10160102,101601,101,"Bond Level 1",""
10160103,101601,102,"Bond Level 2",""
10160104,101601,103,"Bond Level 3",""
10160105,101601,104,"Bond Level 4",""
10160106,101601,105,"Bond Level 5",""
10160107,101601,106,"Bond Level 6",""
10160108,101601,107,"Bond Level 7",""
10170101,101701,201,"Unlock animation 1",""
10170102,101701,101,"Bond Level 1",""
10170103,101701,102,"Bond Level 2",""
10170104,101701,103,"Bond Level 3",""
10170105,101701,104,"Bond Level 4",""
10170106,101701,105,"Bond Level 5",""
10170107,101701,106,"Bond Level 6",""
10170108,101701,107,"Bond Level 7",""
10180101,101801,201,"Unlock animation 1",""
10180102,101801,101,"Bond Level 1",""
10180103,101801,102,"Bond Level 2",""
10180104,101801,103,"Bond Level 3",""
10180105,101801,104,"Bond Level 4",""
10180106,101801,105,"Bond Level 5",""
10180107,101801,106,"Bond Level 6",""
10180108,101801,107,"Bond Level 7",""
10180109,101801,202,"6★ Ascension animation",""
10180110,101801,108,"Bond Level 8",""
10180111,101801,109,"Bond Level 9",""
10180112,101801,110,"Bond Level 10",""
10180113,101801,111,"Bond Level 11",""
10200101,102001,201,"Unlock animation 1",""
10200102,102001,101,"Bond Level 1",""
10200103,102001,102,"Bond Level 2",""
10200104,102001,103,"Bond Level 3",""
10200105,102001,104,"Bond Level 4",""
10200106,102001,105,"Bond Level 5",""
10200107,102001,106,"Bond Level 6",""
10200108,102001,107,"Bond Level 7",""
10210101,102101,201,"Unlock animation 1",""
10210102,102101,101,"Bond Level 1",""
10210103,102101,102,"Bond Level 2",""
10210104,102101,103,"Bond Level 3",""
10210105,102101,104,"Bond Level 4",""
10210106,102101,105,"Bond Level 5",""
10210107,102101,106,"Bond Level 6",""
