banner_id,type,system_id,priority,start_date,end_date,sub_banner_id_1,is_show_room
10000,1,302,1,"2018/01/19 23:00:00","2018/01/29 22:59:59",0,0
10001,1,302,1,"2021/01/29 23:00:00","2021/02/08 22:59:59",0,0
10002,1,302,1,"2021/02/08 23:00:00","2021/02/17 22:59:59",0,0
10003,1,302,1,"2021/02/17 23:00:00","2021/03/04 22:59:59",0,0
10004,1,302,1,"2021/03/04 23:00:00","2021/03/22 22:59:59",0,0
10005,1,302,1,"2021/03/22 23:00:00","2021/04/11 22:59:59",0,0
10006,1,302,2,"2021/04/11 23:00:00","2021/04/28 22:59:59",0,0
10007,1,302,2,"2021/04/28 23:00:00","2021/05/18 22:59:59",0,0
10008,1,302,1,"2021/05/18 23:00:00","2021/06/03 22:59:59",0,0
10009,1,302,1,"2021/06/03 23:00:00","2021/06/22 22:59:59",0,0
10010,1,302,1,"2021/06/22 23:00:00","2021/07/09 22:59:59",0,0
10011,1,302,1,"2021/07/09 23:00:00","2021/08/01 22:59:59",0,0
10012,1,302,2,"2021/08/01 23:00:00","2021/08/18 22:59:59",0,0
10013,1,302,2,"2021/08/18 23:00:00","2021/09/07 22:59:59",0,0
10014,1,302,1,"2021/09/07 23:00:00","2021/09/24 22:59:59",0,0
10015,1,302,1,"2021/09/24 23:00:00","2021/10/12 22:59:59",0,0
10016,1,302,1,"2021/10/12 23:00:00","2021/10/25 22:59:59",0,0
10017,1,302,1,"2021/10/28 23:00:00","2021/11/11 22:59:59",0,0
10018,1,302,1,"2021/11/11 23:00:00","2021/11/22 22:59:59",0,0
10019,1,302,1,"2021/11/22 23:00:00","2021/12/07 22:59:59",0,0
10020,1,302,1,"2021/12/07 23:00:00","2021/12/20 22:59:59",0,0
10021,1,302,1,"2021/12/23 23:00:00","2022/01/05 22:59:59",0,0
10022,1,302,1,"2022/01/05 23:00:00","2022/01/18 22:59:59",0,0
10023,1,302,1,"2022/01/18 23:00:00","2022/02/01 22:59:59",0,0
10024,1,302,1,"2022/02/14 23:00:00","2022/03/01 22:59:59",0,0
10025,1,302,1,"2022/03/01 23:00:00","2022/03/10 22:59:59",0,0
10027,1,302,1,"2022/03/10 23:00:00","2022/03/23 22:59:59",0,0
10028,1,302,1,"2022/03/23 23:00:00","2022/04/05 22:59:59",0,0
10029,1,302,1,"2022/04/12 23:00:00","2022/04/18 22:59:59",0,0
10030,1,302,1,"2022/04/18 23:00:00","2022/04/22 22:59:59",0,0
10031,1,302,1,"2022/04/22 23:00:00","2022/05/02 22:59:59",0,0
10032,1,302,1,"2022/05/02 23:00:00","2022/05/15 22:59:59",0,0
10033,1,302,1,"2022/05/15 23:00:00","2022/05/19 22:59:59",0,0
10034,1,302,1,"2022/05/19 23:00:00","2022/06/01 22:59:59",0,0
10035,1,302,1,"2022/06/01 23:00:00","2022/06/14 22:59:59",0,0
10036,1,302,1,"2022/06/14 23:00:00","2022/06/19 22:59:59",90001,0
10037,1,302,1,"2022/06/19 23:00:00","2022/07/04 22:59:59",0,0
10038,1,302,1,"2022/07/04 23:00:00","2022/07/14 22:59:59",0,0
10039,1,302,1,"2022/07/14 23:00:00","2022/07/19 22:59:59",90002,0
10040,1,302,1,"2022/07/19 23:00:00","2022/07/30 22:59:59",0,0
10041,1,302,1,"2022/07/30 23:00:00","2022/08/04 22:59:59",0,0
10042,1,302,4,"2022/08/07 23:00:00","2022/08/15 22:59:59",0,0
10043,1,302,4,"2022/08/15 23:00:00","2022/08/19 22:59:59",90003,0
10044,1,302,4,"2022/08/19 23:00:00","2022/09/1 22:59:59",0,0
19999,1,302,1,"2021/01/19 23:00:00","2021/01/29 22:59:59",0,0
20000,2,101,5,"2018/01/01 15:00:00","2030/01/01 23:59:59",0,0
20001,1,302,1,"2018/05/22 5:00:00","2018/06/01 4:59:59",0,0
20002,1,902,6,"2021/03/22 23:00:00","2030/01/01 23:59:59",0,0
20003,1,302,1,"2018/08/21 5:00:00","2018/09/01 4:59:59",0,0
20004,1,305,4,"2022/02/01 23:00:00","2022/02/08 22:59:59",0,0
20006,1,903,6,"2019/02/08 15:00:00","2019/02/12 14:59:59",0,1
20007,1,903,6,"2019/02/12 15:00:00","2019/02/15 22:59:59",0,1
20008,1,903,6,"2019/02/15 23:00:00","2019/02/28 11:59:59",0,1
40001,1,107,4,"2022/01/13 13:00:00","2022/01/18 07:59:59",0,0
50018,1,303,1,"2021/10/25 23:00:00","2021/10/28 22:59:59",0,0
50023,1,303,1,"2021/12/20 23:00:00","2021/12/23 22:59:59",50018,0
50027,1,303,1,"2022/02/01 23:00:00","2022/02/14 22:59:59",0,0
50033,1,303,1,"2022/04/05 23:00:00","2022/04/12 22:59:59",50018,0
50047,1,303,1,"2022/08/04 23:00:00","2022/08/07 22:59:59",0,0
60001,1,304,3,"2021/01/19 23:00:00","2030/02/28 14:59:59",0,0
60002,1,306,2,"2022/08/07 23:00:00","2022/08/15 22:59:59",0,0
