id,campaign_category,value,system_id,icon_image,start_time,end_time,level_id,shiori_group_id,duplication_order
1,34,2000.0,103,30,"2021/01/29 13:00:00","2021/02/08 12:59:59",0,0,0
2,44,2000.0,103,40,"2021/01/29 13:00:00","2021/02/08 12:59:59",0,0,0
3,31,2000.0,101,30,"2021/02/08 13:00:00","2021/02/16 12:59:59",0,0,0
4,41,2000.0,101,40,"2021/02/08 13:00:00","2021/02/16 12:59:59",0,0,0
5,45,2000.0,104,40,"2021/02/16 13:00:00","2021/02/24 12:59:59",0,0,0
6,34,2000.0,103,30,"2021/02/25 13:00:00","2021/03/07 12:59:59",0,0,0
7,44,2000.0,103,40,"2021/02/25 13:00:00","2021/03/07 12:59:59",0,0,0
8,31,2000.0,101,30,"2021/03/07 13:00:00","2021/03/15 12:59:59",0,0,0
9,41,2000.0,101,40,"2021/03/07 13:00:00","2021/03/15 12:59:59",0,0,0
10,32,2000.0,102,30,"2021/03/15 13:00:00","2021/03/19 12:59:59",0,0,0
11,42,2000.0,102,40,"2021/03/15 13:00:00","2021/03/19 12:59:59",0,0,0
12,45,2000.0,104,40,"2021/03/19 13:00:00","2021/04/02 12:59:59",0,0,0
13,34,2000.0,103,30,"2021/04/02 13:00:00","2021/04/12 12:59:59",0,0,0
14,44,2000.0,103,40,"2021/04/02 13:00:00","2021/04/12 12:59:59",0,0,0
15,31,2000.0,101,30,"2021/04/12 13:00:00","2021/04/20 12:59:59",0,0,0
16,41,2000.0,101,40,"2021/04/12 13:00:00","2021/04/20 12:59:59",0,0,0
17,32,2000.0,102,30,"2021/04/20 13:00:00","2021/04/24 12:59:59",0,0,0
18,42,2000.0,102,40,"2021/04/20 13:00:00","2021/04/24 12:59:59",0,0,0
19,45,2000.0,104,40,"2021/04/24 13:00:00","2021/05/06 12:59:59",0,0,0
20,34,2000.0,103,30,"2021/05/06 13:00:00","2021/05/19 12:59:59",0,0,0
21,44,2000.0,103,40,"2021/05/06 13:00:00","2021/05/19 12:59:59",0,0,0
22,31,2000.0,101,30,"2021/05/19 13:00:00","2021/05/27 12:59:59",0,0,0
23,41,2000.0,101,40,"2021/05/19 13:00:00","2021/05/27 12:59:59",0,0,0
24,32,2000.0,102,30,"2021/05/27 13:00:00","2021/05/31 12:59:59",0,0,0
25,42,2000.0,102,40,"2021/05/27 13:00:00","2021/05/31 12:59:59",0,0,0
26,45,2000.0,104,40,"2021/05/31 13:00:00","2021/06/12 12:59:59",0,0,0
27,34,2000.0,103,30,"2021/06/12 13:00:00","2021/06/23 12:59:59",0,0,0
28,44,2000.0,103,40,"2021/06/12 13:00:00","2021/06/23 12:59:59",0,0,0
29,31,2000.0,101,30,"2021/06/23 13:00:00","2021/07/01 12:59:59",0,0,0
30,41,2000.0,101,40,"2021/06/23 13:00:00","2021/07/01 12:59:59",0,0,0
31,32,2000.0,102,30,"2021/07/01 13:00:00","2021/07/06 12:59:59",0,0,0
32,42,2000.0,102,40,"2021/07/01 13:00:00","2021/07/06 12:59:59",0,0,0
33,45,2000.0,104,40,"2021/07/06 13:00:00","2021/07/19 12:59:59",0,0,0
34,34,3000.0,103,30,"2021/07/19 13:00:00","2021/07/25 12:59:59",0,0,0
35,44,3000.0,103,40,"2021/07/19 13:00:00","2021/07/25 12:59:59",0,0,0
36,31,3000.0,101,30,"2021/07/25 13:00:00","2021/07/29 12:59:59",0,0,0
37,41,3000.0,101,40,"2021/07/25 13:00:00","2021/07/29 12:59:59",0,0,0
38,32,3000.0,102,30,"2021/07/29 13:00:00","2021/08/04 12:59:59",0,0,0
39,42,3000.0,102,40,"2021/07/29 13:00:00","2021/08/04 12:59:59",0,0,0
40,45,2000.0,104,40,"2021/08/04 13:00:00","2021/08/14 12:59:59",0,0,0
41,34,2000.0,103,30,"2021/08/14 13:00:00","2021/08/25 12:59:59",0,0,0
42,44,2000.0,103,40,"2021/08/14 13:00:00","2021/08/25 12:59:59",0,0,0
43,31,2000.0,101,30,"2021/08/25 13:00:00","2021/08/30 12:59:59",0,0,0
44,41,2000.0,101,40,"2021/08/25 13:00:00","2021/08/30 12:59:59",0,0,0
45,32,2000.0,102,30,"2021/08/30 13:00:00","2021/09/04 12:59:59",0,0,0
