rail_id,gimmick_1_id,gimmick_1_x,gimmick_2_id,gimmick_2_x,gimmick_3_id,gimmick_3_x,gimmick_4_id,gimmick_4_x,gimmick_5_id,gimmick_5_x,gimmick_6_id,gimmick_6_x,gimmick_7_id,gimmick_7_x,gimmick_8_id,gimmick_8_x,gimmick_9_id,gimmick_9_x,gimmick_10_id,gimmick_10_x
1000,SummerEnemyA,600,AccelBoardA,1000,SummerEnemyC,1800,SpeedTerritoryA,2500,BeachJumpOverTrap,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1001,SummerEnemyB,500,AccelBoardA,800,SpeedTerritoryA,1300,WaterMelon,2000,AccelBoardA,3000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1002,Balloon,400,SummerEnemyA_NoColl,1000,SpeedTerritoryA_NoColl,1300,EnemyB_NoColl,1600,BeachTrap_NoColl,2000,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1003,BeachJumpOverTrap,700,AccelBoardA,1500,EnemyB,2300,BeachJumpOverTrap,3000,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1004,BeachJumpOverTrap,800,SummerEnemyA,1300,BeachJumpOverTrap,1900,SpeedTerritoryA,2700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1005,BeachJumpBoard,300,SummerJumpOverEnemyC,1500,SpeedTerritoryA,2000,AccelBoardA,2600,SummerEnemyB,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1006,SummerEnemyA,700,BeachTrap,1300,BeachTrap,1800,BeachJumpOverTrap,2500,AccelBoardA,3000,BeachTrap,3700,NONE,0,NONE,0,NONE,0,NONE,0
1007,AccelBoardA,500,SummerEnemyB,1300,BeachJumpOverTrap,1800,SummerEnemyB,2400,BeachJumpOverTrap,3100,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1008,AccelBoardA,500,BeachJumpBoard,1100,SummerEnemyB,2300,AccelBoardA,2700,BeachJumpOverTrap,3400,SummerEnemyB,3700,NONE,0,NONE,0,NONE,0,NONE,0
1009,Balloon,400,BeachTrap_NoColl,1000,EnemyA_NoColl,2000,BeachJumpOverTrap,2900,BeachJumpOverTrap,3300,SpeedTerritoryA,3700,NONE,0,NONE,0,NONE,0,NONE,0
1010,BeachJumpOverTrap,400,SpeedTerritoryA,1400,BeachJumpOverTrap,2200,EnemyB,3000,BeachJumpOverTrap,3500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1011,SummerEnemyD,400,SpeedTerritoryA,900,BeachJumpBoard,1500,BeachJumpOverTrap,2400,SummerEnemyA,2800,AccelBoardA,3300,NONE,0,NONE,0,NONE,0,NONE,0
1012,Balloon,300,SpeedTerritoryA_NoColl,1200,SpeedTerritoryA_NoColl,2200,BeachJumpBoard,2850,EnemyB,3750,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1013,SpeedTerritoryA,900,AccelBoardA,1400,BeachTrap,2100,SummerEnemyD,2600,BeachTrap,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1014,WaterMelon,400,SpeedTerritoryA,1400,BeachTrap,1800,SummerJumpOverEnemyB,2200,BeachJumpOverTrap,2600,AccelBoardA,3000,SummerJumpOverEnemyB,3500,NONE,0,NONE,0,NONE,0
1015,Balloon,600,EnemyA_NoColl,1100,SpeedTerritoryA_NoColl,1900,BeachTrap_NoColl,2500,SummerEnemyB,3700,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1016,AccelBoardA,600,EnemyB,1400,AccelBoardA,2300,BeachTrap,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1017,AccelBoardA,400,EnemyB,1200,WaterMelon,1600,AccelBoardA,2500,BeachTrap,3300,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1018,BeachTrap,600,BeachTrap,900,Balloon,1100,EnemyB_NoColl,1900,EnemyA_NoColl,2400,EnemyB_NoColl,2900,NONE,0,NONE,0,NONE,0,NONE,0
1019,BeachTrap,500,BeachTrap,1200,BeachTrap,2000,SummerEnemyA,2500,AccelBoardA,3000,BeachTrap,3800,NONE,0,NONE,0,NONE,0,NONE,0
1020,AccelBoardA,400,BeachJumpBoard,900,BeachTrap,1900,BeachTrap,2300,BeachTrap,2700,SummerEnemyD,3100,SummerEnemyD,3700,NONE,0,NONE,0,NONE,0
1021,EnemyB,400,Balloon,700,EnemyA_NoColl,1550,BeachTrap_NoColl,2400,AccelBoardA,3400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1022,SummerEnemyB,800,BeachTrap,1200,BeachTrap,1800,AccelBoardA,2500,SpeedTerritoryA,3400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1023,SummerEnemyC,500,BeachTrap,1000,SummerJumpOverEnemyC,1500,WaterMelon,2000,BeachTrap,3000,BeachTrap,3500,NONE,0,NONE,0,NONE,0,NONE,0
1024,SummerEnemyB,400,Balloon,600,EnemyA_NoColl,1300,SpeedTerritoryA_NoColl,1800,EnemyB_NoColl,2300,BeachTrap,3200,SummerJumpOverEnemyC,3700,NONE,0,NONE,0,NONE,0
1025,EnemyB,900,AccelBoardA,1300,AccelBoardA,2000,AccelBoardA,2700,AccelBoardA,3400,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
1026,EnemyB,400,AccelBoardA,800,WaterMelon,1500,BeachJumpBoard,2500,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0,NONE,0
