scenario_id,rail_1,rail_2,rail_3,rail_4
1,1041,1045,1048,1033
2,1007,1013,1000,1010
3,1025,1016,1019,1022
4,1029,1028,1032,1033
5,1039,1037,1036,1041
6,1047,1045,1048,1043
7,1025,1045,1016,1022
8,1029,1028,1043,1013
9,1037,1025,1045,1048
10,1062,1003,1006,1004
11,1029,1003,1006,1007
12,1025,1047,1062,1045
13,1003,1043,1022,1013
14,1048,1006,1019,1004
15,1037,1062,1003,1033
16,1050,1056,1059,1053
17,1030,1001,1034,1011
18,1046,1063,1026,1023
19,1014,1020,1044,1038
20,1008,1017,1040,1049
21,1030,1063,1017,1020
22,1046,1008,1063,1017
23,1063,1026,1023,1011
24,1017,1023,1020,1044
25,1001,1017,1020,1038
26,1026,1017,1020,1044
27,1042,1046,1001,1017
28,1017,1020,1040,1000
29,1036,1030,1008,1048
30,1004,1044,1011,1038
31,1005,1043,1022,1011
32,1042,1046,1047,1016
33,1041,1014,1063,1028
34,1005,1033,1020,1010
35,1029,1016,1023,1020
36,1061,1052,1058,1055
37,1031,1025,1024,1001
38,1018,1029,1012,1003
39,1002,1039,1009,1041
40,1027,1055,1063,1021
41,1042,1027,1046,1014
42,1018,1015,1012,1021
43,1021,1007,1022,1040
44,1002,1018,1015,1035
45,9990,9991,9992,9993
46,9990,1032,1049,1010
47,9994,1044,1000,9995
48,1018,1048,9996,1034
