unit_id,chara_type
100101,1
100201,2
100301,3
100401,4
100501,5
100601,6
100701,7
100801,8
100901,9
101001,10
101101,11
101201,12
101301,13
101401,14
101501,15
101601,16
101701,17
101801,18
102001,20
102101,21
102201,22
102301,23
102501,25
102601,26
102701,27
102801,28
102901,29
103001,30
103101,31
103201,32
103301,33
103401,34
103601,36
103701,37
103801,38
104001,40
104201,42
104301,43
104401,44
104501,45
104601,46
104701,47
104801,48
104901,49
105001,50
105101,51
105201,52
105301,53
105401,54
105501,55
105601,56
105701,57
105801,58
105901,59
106001,60
106101,61
106301,63
106501,65
106601,66
106701,67
106801,68
107001,70
107101,71
107501,58
107601,59
107701,25
107801,60
107901,46
108001,48
108101,31
108201,7
108301,50
108401,42
108501,21
108601,23
108701,1
108801,2
108901,3
109001,27
109101,49
109201,92
109301,93
109401,94
109501,45
109601,30
109701,97
109801,98
109901,99
110001,16
110101,18
110301,28
110401,43
110501,17
110601,10
110701,40
110801,108
110901,109
111001,110
111101,36
111201,4
111301,20
111401,114
111501,71
111601,29
111701,44
111901,59
112001,60
112101,25
112201,14
112301,38
112401,124
112501,125
112601,126
180401,58
