story_id,unlock_story_name,status_type_1,status_rate_1,status_type_2,status_rate_2,status_type_3,status_rate_3,status_type_4,status_rate_4,status_type_5,status_rate_5,chara_id_1,chara_id_2,chara_id_3,chara_id_4,chara_id_5,chara_id_6,chara_id_7,chara_id_8,chara_id_9,chara_id_10
1001002,"Hiyori's Episode 2",2,15,0,0,0,0,0,0,0,0,1001,1087,0,0,0,0,0,0,0,0
1001003,"Hiyori's Episode 3",2,30,0,0,0,0,0,0,0,0,1001,1087,0,0,0,0,0,0,0,0
1001004,"Hiyori's Episode 4",2,30,0,0,0,0,0,0,0,0,1001,1087,0,0,0,0,0,0,0,0
1001005,"Hiyori's Episode 5",2,40,0,0,0,0,0,0,0,0,1001,1087,0,0,0,0,0,0,0,0
1001006,"Hiyori's Episode 6",2,40,1,200,0,0,0,0,0,0,1001,1087,0,0,0,0,0,0,0,0
1001007,"Hiyori's Episode 7",2,40,1,200,0,0,0,0,0,0,1001,1087,0,0,0,0,0,0,0,0
1001008,"Hiyori's Episode 8",2,60,1,300,6,10,0,0,0,0,1001,1087,0,0,0,0,0,0,0,0
1001009,"Hiyori's Episode 9",2,80,0,0,0,0,0,0,0,0,1001,1087,0,0,0,0,0,0,0,0
1001010,"Hiyori's Episode 10",2,80,6,40,0,0,0,0,0,0,1001,1087,0,0,0,0,0,0,0,0
1001011,"Hiyori's Episode 11",2,80,6,40,0,0,0,0,0,0,1001,1087,0,0,0,0,0,0,0,0
1001012,"Hiyori's Episode 12",2,200,6,60,0,0,0,0,0,0,1001,1087,0,0,0,0,0,0,0,0
1002002,"Yui's Episode 2",4,15,0,0,0,0,0,0,0,0,1002,1088,0,0,0,0,0,0,0,0
1002003,"Yui's Episode 3",4,30,0,0,0,0,0,0,0,0,1002,1088,0,0,0,0,0,0,0,0
1002004,"Yui's Episode 4",4,30,0,0,0,0,0,0,0,0,1002,1088,0,0,0,0,0,0,0,0
1002005,"Yui's Episode 5",4,40,0,0,0,0,0,0,0,0,1002,1088,0,0,0,0,0,0,0,0
1002006,"Yui's Episode 6",4,40,5,4,0,0,0,0,0,0,1002,1088,0,0,0,0,0,0,0,0
1002007,"Yui's Episode 7",4,40,5,4,0,0,0,0,0,0,1002,1088,0,0,0,0,0,0,0,0
1002008,"Yui's Episode 8",4,60,5,6,11,60,0,0,0,0,1002,1088,0,0,0,0,0,0,0,0
1002009,"Yui's Episode 9",4,80,0,0,0,0,0,0,0,0,1002,1088,0,0,0,0,0,0,0,0
1002010,"Yui's Episode 10",4,120,3,4,0,0,0,0,0,0,1002,1088,0,0,0,0,0,0,0,0
1002011,"Yui's Episode 11",4,120,3,4,0,0,0,0,0,0,1002,1088,0,0,0,0,0,0,0,0
1002012,"Yui's Episode 12",4,200,3,7,5,5,0,0,0,0,1002,1088,0,0,0,0,0,0,0,0
1003002,"Rei's Episode 2",2,15,0,0,0,0,0,0,0,0,1003,1089,0,0,0,0,0,0,0,0
1003003,"Rei's Episode 3",2,30,0,0,0,0,0,0,0,0,1003,1089,0,0,0,0,0,0,0,0
1003004,"Rei's Episode 4",2,30,0,0,0,0,0,0,0,0,1003,1089,0,0,0,0,0,0,0,0
1003005,"Rei's Episode 5",2,40,0,0,0,0,0,0,0,0,1003,1089,0,0,0,0,0,0,0,0
1003006,"Rei's Episode 6",2,40,1,200,0,0,0,0,0,0,1003,1089,0,0,0,0,0,0,0,0
1003007,"Rei's Episode 7",2,40,1,200,0,0,0,0,0,0,1003,1089,0,0,0,0,0,0,0,0
1003008,"Rei's Episode 8",2,60,1,300,6,10,0,0,0,0,1003,1089,0,0,0,0,0,0,0,0
