chara_id,name,love_level,scale,position_x,position_y,voice_id_1,face_1,serif_1,voice_id_2,face_2,serif_2,voice_id_3,face_3,serif_3
1001,"Hiyori Harusaki",2,1.4,0,0,0,1,"I'm Hiyori! ♪\nGonna do my very best! ♪",0,1,"Look!\nThere's someone's in trouble!",0,1,"Hey, Mr. Knight.\nLet's help out!"
1002,"Yui Kusano",2,1.4,0,0,0,1,"I've gotta become strong\nlike the rest of you!",0,1,"I wanna be able to protect\nthe person I love... Um, I mean...",0,1,"Wh-what am I\neven saying?\nAhaha..."
1003,"Rei Shijo",2,1.4,0,0,0,1,"Why not take up fencing?",0,1,"You need concentration and intuition.",0,1,"I think it will brush up your skills a little."
1004,"Misogi Hodaka",2,1.5,0,0,0,1,"Hey, mister!",0,1,"What're we gonna do for fun, today?",0,1,"I wanna play\nhide-and-seek!"
1006,"Akari Kazemiya",2,1.4,0,0,0,1,"I'm Akari Kazemiya.",0,1,Hey...,0,1,"Will you come...\nwith me?"
1007,"Miyako Izumo",2,1.5,0,0,0,1,"Miyako Izumo, that's me!",0,1,"Miyako wants pudding!",0,1,"Food grudges run deep!"
1008,"Yuki Nijimura",2,1.4,0,0,0,1,"I'm Yuki Nijimura.",0,1,"So, you too were drawn in\nby my beauty.",0,1,"Don't worry.\nIt's my destiny to be seen."
1009,"Anna Hiragi",2,1.4,0,0,0,1,"Heh... Hear it and weep!",0,1,"My true name is\nAnnerose von Stechpalm!",0,1,"You can call me ""Hecate of the Gale!"""
1010,"Maho Himemiya",2,1.5,0,0,0,1,"Call me Maho,\nPrincess of the Maho-Maho Kingdom.",0,1,"Mr. Rabbit,\nplease let meet me my prince of destiny.",0,1,"Much obliged! ♪"
1011,"Rino Inosaki",2,1.4,0,0,0,1,"I am Rino Inosaki!",0,1,"I've been searching\nfor my long, lost older brother\nsince time immemorial!",0,1,"So, we meet at last!"
1012,"Hatsune Kashiwazaki",2,1.4,0,0,0,1,"I'm Hatsune.\nI'm pretty strong, ya know?\nSha-shing! ☆",0,1,"Su-super powers?\nNow what could you mean by that?",0,1,"Wait, please!\nDon't tell anyone!"
