boss_id,clan_battle_id,difficulty,order_num,boss_thumb_id
10010101,1001,1,1,1
10010102,1001,1,2,2
10010103,1001,1,3,3
10010104,1001,1,4,4
10010105,1001,1,5,5
10020101,1002,1,1,1
10020102,1002,1,2,2
10020103,1002,1,3,3
10020104,1002,1,4,4
10020105,1002,1,5,5
10030101,1003,1,1,1
10030102,1003,1,2,2
10030103,1003,1,3,3
10030104,1003,1,4,4
10030105,1003,1,5,5
10040101,1004,1,1,1
10040102,1004,1,2,2
10040103,1004,1,3,3
10040104,1004,1,4,4
10040105,1004,1,5,5
10050101,1005,1,1,1
10050102,1005,1,2,2
10050103,1005,1,3,3
10050104,1005,1,4,4
10050105,1005,1,5,5
10060101,1006,1,1,1
10060102,1006,1,2,2
10060103,1006,1,3,3
10060104,1006,1,4,4
10060105,1006,1,5,5
10070101,1007,1,1,1
10070102,1007,1,2,2
10070103,1007,1,3,3
10070104,1007,1,4,4
10070105,1007,1,5,5
10080101,1008,1,1,1
10080102,1008,1,2,2
10080103,1008,1,3,3
10080104,1008,1,4,4
10080105,1008,1,5,5
10090101,1009,1,1,1
10090102,1009,1,2,2
10090103,1009,1,3,3
10090104,1009,1,4,4
10090105,1009,1,5,5
10100101,1010,1,1,1
10100102,1010,1,2,2
10100103,1010,1,3,3
10100104,1010,1,4,4
10100105,1010,1,5,5
10110101,1011,1,1,1
10110102,1011,1,2,2
10110103,1011,1,3,3
10110104,1011,1,4,4
10110105,1011,1,5,5
10120101,1012,1,1,1
10120102,1012,1,2,2
10120103,1012,1,3,3
10120104,1012,1,4,4
10120105,1012,1,5,5
10130101,1013,1,1,1
10130102,1013,1,2,2
10130103,1013,1,3,3
10130104,1013,1,4,4
10130105,1013,1,5,5
10140101,1014,1,1,1
10140102,1014,1,2,2
10140103,1014,1,3,3
10140104,1014,1,4,4
10140105,1014,1,5,5
10150101,1015,1,1,1
10150102,1015,1,2,2
10150103,1015,1,3,3
10150104,1015,1,4,4
10150105,1015,1,5,5
10160101,1016,1,1,1
10160102,1016,1,2,2
10160103,1016,1,3,3
10160104,1016,1,4,4
10160105,1016,1,5,5
