clan_battle_boss_group_id,order_num,position_x,position_y,limit_time,scale_ratio,map_position_x,map_position_y,cursor_position,result_boss_position_y,chest_id,fix_reward_id,damage_rank_id,quest_detail_bg_id,quest_detail_bg_position,quest_detail_monster_size,quest_detail_monster_height,battle_report_monster_size,battle_report_monster_height,background,wave_group_id,reward_gold_coefficient,limited_mana,wave_bgm,quest_detail_rehearsal_label_height,last_attack_reward_id,score_coefficient,min_carry_over_time
1001001,1,-480,-120,90,0.6,0,10,210,250,40004,1001101,1001201,101001,-30,0.8,0,0.7,-30,101001,401010011,0.03,100000,bgm_M64,25,0,1.0,0
1001001,2,-260,-120,90,0.75,0,10,200,0,40004,1001102,1001202,101001,-30,1.2,0,1.0,0,101001,401010021,0.03,100000,bgm_M64,25,0,1.0,0
1001001,3,-40,0,90,0.75,0,0,200,100,40004,1001103,1001203,101001,-30,1.1,-50,1.0,-10,101001,401010031,0.03,100000,bgm_M64,25,0,1.1,0
1001001,4,240,-50,90,0.7,0,0,200,0,40004,1001104,1001204,101001,-30,1.0,0,1.0,0,101001,401010041,0.03,100000,bgm_M64,25,0,1.1,0
1001001,5,480,-40,90,1.2,0,0,250,200,40004,1001105,1001205,101011,-30,1.3,0,1.0,0,101011,401010051,0.03,100000,bgm_M55,25,0,1.2,0
1001002,1,-480,-120,90,0.6,0,10,210,250,40004,1001106,1001206,101001,-30,0.8,0,0.7,-30,101001,401010011,0.03,100000,bgm_M64,25,0,1.2,0
1001002,2,-260,-120,90,0.75,0,10,200,0,40004,1001107,1001207,101001,-30,1.2,0,1.0,0,101001,401010021,0.03,100000,bgm_M64,25,0,1.2,0
1001002,3,-40,0,90,0.75,0,0,200,100,40004,1001108,1001208,101001,-30,1.1,-50,1.0,-10,101001,401010031,0.03,100000,bgm_M64,25,0,1.5,0
1001002,4,240,-50,90,0.7,0,0,200,0,40004,1001109,1001209,101001,-30,1.0,0,1.0,0,101001,401010041,0.03,100000,bgm_M64,25,0,1.7,0
1001002,5,480,-40,90,1.2,0,0,250,200,40004,1001110,1001210,101011,-30,1.3,0,1.0,0,101011,401010051,0.03,100000,bgm_M55,25,0,2.0,0
1002001,1,-480,-155,90,0.6,0,10,210,250,40004,1002101,1002201,101001,-30,0.8,0,0.7,-30,101021,401020011,0.03,100000,bgm_M64,25,0,1.0,0
1002001,2,-265,-120,90,0.75,0,10,200,250,40004,1002102,1002202,101001,-30,1.2,0,1.0,0,101021,401020021,0.03,100000,bgm_M64,25,0,1.0,0
1002001,3,-30,30,90,0.9,-15,0,200,100,40004,1002103,1002203,101001,-30,1.4,-30,1.0,-10,101021,401020031,0.03,100000,bgm_M64,25,0,1.1,0
1002001,4,220,-90,90,1.0,0,0,200,100,40004,1002104,1002204,101001,-30,1.5,-30,1.25,0,101021,401020041,0.03,100000,bgm_M64,25,0,1.1,0
1002001,5,440,0,90,1.4,0,0,250,200,40004,1002105,1002205,101011,-30,1.8,0,1.6,0,101031,401020051,0.03,100000,bgm_M55,25,0,1.2,0
1002002,1,-480,-155,90,0.6,0,10,210,250,40004,1002106,1002206,101001,-30,0.8,0,0.7,-30,101021,401020061,0.06,100000,bgm_M64,25,0,1.2,0
1002002,2,-265,-120,90,0.75,0,10,200,250,40004,1002107,1002207,101001,-30,1.2,0,1.0,0,101021,401020071,0.06,100000,bgm_M64,25,0,1.2,0
1002002,3,-30,30,90,0.9,-15,0,200,100,40004,1002108,1002208,101001,-30,1.4,-30,1.0,-10,101021,401020081,0.06,100000,bgm_M64,25,0,1.5,0
1002002,4,220,-90,90,1.0,0,0,200,100,40004,1002109,1002209,101001,-30,1.5,-30,1.25,0,101021,401020091,0.06,100000,bgm_M64,25,0,1.7,0
1002002,5,440,0,90,1.4,0,0,250,200,40004,1002110,1002210,101011,-30,1.8,0,1.6,0,101031,401020101,0.06,100000,bgm_M55,25,0,2.0,0
1003001,1,-470,-155,90,0.6,0,10,210,250,40004,1003101,1003201,101041,-30,0.8,0,0.7,-30,101041,401030011,0.03,100000,bgm_M64,25,0,1.0,0
1003001,2,-210,-95,90,0.75,0,10,200,250,40004,1003102,1003202,101041,-30,1.2,0,1.0,0,101041,401030021,0.03,100000,bgm_M64,25,0,1.0,0
1003001,3,50,-120,90,0.75,0,0,200,100,40004,1003103,1003203,101041,-30,1.1,-50,1.0,-10,101041,401030031,0.03,100000,bgm_M64,25,0,1.1,0
1003001,4,195,35,90,0.8,0,0,200,100,40004,1003104,1003204,101041,-30,1.5,-30,1.2,0,101041,401030041,0.03,100000,bgm_M64,25,0,1.1,0
1003001,5,450,-55,90,1.1,0,0,210,150,40004,1003105,1003205,101042,-30,1.8,-50,1.35,0,101042,401030051,0.03,100000,bgm_M55,25,0,1.2,0
1003002,1,-470,-155,90,0.6,0,10,210,250,40004,1003106,1003206,101041,-30,0.8,0,0.7,-30,101041,401030061,0.06,100000,bgm_M64,25,0,1.2,0
1003002,2,-210,-95,90,0.75,0,10,200,250,40004,1003107,1003207,101041,-30,1.2,0,1.0,0,101041,401030071,0.06,100000,bgm_M64,25,0,1.2,0
1003002,3,50,-120,90,0.75,0,0,200,100,40004,1003108,1003208,101041,-30,1.1,-50,1.2,-10,101041,401030081,0.06,100000,bgm_M64,25,0,1.5,0
1003002,4,195,35,90,0.8,0,0,200,100,40004,1003109,1003209,101041,-30,1.5,-30,1.2,0,101041,401030091,0.06,100000,bgm_M64,25,0,1.7,0
1003002,5,450,-55,90,1.1,0,0,210,150,40004,1003110,1003210,101042,-30,1.8,-50,1.35,0,101042,401030101,0.06,100000,bgm_M55,25,0,2.0,0
1004001,1,-480,-120,90,0.6,0,10,210,250,40004,1004101,1004201,101161,-30,0.8,0,0.7,-30,101161,401040011,0.03,100000,bgm_M64,25,0,1.0,0
1004001,2,-260,-120,90,0.75,0,10,200,0,40004,1004102,1004202,101161,-30,1.2,0,1.0,0,101161,401040021,0.03,100000,bgm_M64,25,0,1.0,0
1004001,3,-20,55,90,0.9,-15,0,200,100,40004,1004103,1004203,101161,-30,1.4,-30,1.0,-10,101161,401040031,0.03,100000,bgm_M64,25,0,1.1,0
1004001,4,180,-30,90,0.9,0,0,200,0,40004,1004104,1004204,101161,-30,1.3,-30,1.0,0,101161,401040041,0.03,100000,bgm_M64,25,0,1.1,0
1004001,5,470,-60,90,0.9,-40,0,250,200,40004,1004105,1004205,101162,-30,1.2,-50,0.9,-30,101162,401040051,0.03,100000,bgm_M55,25,0,1.2,0
1004002,1,-480,-120,90,0.6,0,10,210,250,40004,1004106,1004206,101161,-30,0.8,0,0.7,-30,101161,401040061,0.06,100000,bgm_M64,25,0,1.2,0
1004002,2,-260,-120,90,0.75,0,10,200,0,40004,1004107,1004207,101161,-30,1.2,0,1.0,0,101161,401040071,0.06,100000,bgm_M64,25,0,1.2,0
1004002,3,-20,55,90,0.9,-15,0,200,100,40004,1004108,1004208,101161,-30,1.4,-30,1.0,-10,101161,401040081,0.06,100000,bgm_M64,25,0,1.5,0
1004002,4,180,-30,90,0.9,0,0,200,0,40004,1004109,1004209,101161,-30,1.3,-30,1.0,0,101161,401040091,0.06,100000,bgm_M64,25,0,1.7,0
1004002,5,470,-60,90,0.9,-40,0,250,200,40004,1004110,1004210,101162,-30,1.2,-50,0.9,-30,101162,401040101,0.06,100000,bgm_M55,25,0,2.0,0
1005001,1,-480,-120,90,0.6,0,10,210,250,40004,1004101,1004201,101161,-30,0.8,0,0.7,-30,101171,401040111,0.03,100000,bgm_M64,25,1001301,1.0,0
1005001,2,-260,-120,90,0.75,0,10,200,0,40004,1004102,1004202,101161,-30,1.2,0,1.0,0,101171,401040121,0.03,100000,bgm_M64,25,1001301,1.0,0
1005001,3,-20,45,90,0.9,-15,0,200,100,40004,1004103,1004203,101161,-30,1.4,-30,1.0,-10,101171,401040131,0.03,100000,bgm_M64,25,1001301,1.1,0
1005001,4,190,-70,90,0.7,0,0,200,0,40004,1004104,1004204,101161,-30,1.0,0,1.0,0,101171,401040141,0.03,100000,bgm_M64,25,1001301,1.1,0
1005001,5,445,-25,90,1.0,-40,0,240,200,40004,1004105,1004205,101162,-30,1.3,-30,1.0,0,101172,401040151,0.03,100000,bgm_M55,25,1001301,1.2,0
1005002,1,-480,-120,90,0.6,0,10,210,250,40004,1004106,1004206,101161,-30,0.8,0,0.7,-30,101171,401040161,0.06,100000,bgm_M64,25,1001303,1.2,0
1005002,2,-260,-120,90,0.75,0,10,200,0,40004,1004107,1004207,101161,-30,1.2,0,1.0,0,101171,401040171,0.06,100000,bgm_M64,25,1001303,1.2,0
1005002,3,-20,45,90,0.9,-15,0,200,100,40004,1004108,1004208,101161,-30,1.4,-30,1.0,-10,101171,401040181,0.06,100000,bgm_M64,25,1001303,1.5,0
1005002,4,190,-70,90,0.7,0,0,200,0,40004,1004109,1004209,101161,-30,1.0,0,1.0,0,101171,401040191,0.06,100000,bgm_M64,25,1001303,1.7,0
1005002,5,445,-25,90,1.0,-40,0,240,200,40004,1004110,1004210,101162,-30,1.3,-30,1.0,0,101172,401040201,0.06,100000,bgm_M55,25,1001303,2.0,0
1006001,1,-480,-120,90,0.6,0,10,210,250,40004,1004101,1004201,101161,-30,0.8,0,0.7,-30,101191,401040211,0.03,100000,bgm_M64,25,1001301,1.0,0
1006001,2,-260,-100,90,0.75,0,10,200,0,40004,1004102,1004202,101161,-30,1.2,0,1.0,0,101191,401040221,0.03,100000,bgm_M64,25,1001301,1.0,0
1006001,3,-10,65,90,0.8,-15,0,200,100,40004,1004103,1004203,101161,-30,1.1,0,1.0,-10,101191,401040231,0.03,100000,bgm_M64,25,1001301,1.3,0
1006001,4,190,-110,90,0.8,0,0,200,0,40004,1004104,1004204,101161,-30,1.2,0,1.0,0,101191,401040241,0.03,100000,bgm_M64,25,1001301,1.3,0
1006001,5,485,-70,90,0.9,0,-10,280,270,40004,1004105,1004205,101162,-30,1.15,-50,1.0,-45,101192,401040251,0.03,100000,bgm_M55,25,1001301,1.5,0
1006002,1,-480,-120,90,0.6,0,10,210,250,40004,1004106,1004206,101161,-30,0.8,0,0.7,-30,101191,401040261,0.06,100000,bgm_M64,25,1001303,1.3,0
1006002,2,-260,-100,90,0.75,0,10,200,0,40004,1004107,1004207,101161,-30,1.2,0,1.0,0,101191,401040271,0.06,100000,bgm_M64,25,1001303,1.3,0
1006002,3,-10,65,90,0.8,-15,0,200,100,40004,1004108,1004208,101161,-30,1.1,0,1.0,-10,101191,401040281,0.06,100000,bgm_M64,25,1001303,1.8,0
1006002,4,190,-110,90,0.8,0,0,200,0,40004,1004109,1004209,101161,-30,1.2,0,1.0,0,101191,401040291,0.06,100000,bgm_M64,25,1001303,1.8,0
1006002,5,485,-70,90,0.9,0,-10,280,270,40004,1004110,1004210,101162,-30,1.15,-50,1.0,-45,101192,401040301,0.06,100000,bgm_M55,25,1001303,2.0,0
1007001,1,-480,-120,90,0.6,0,10,210,250,40004,1004101,1004201,101161,-30,0.8,0,0.7,-30,101201,401040311,0.03,100000,bgm_M64,25,1001301,1.0,0
1007001,2,-260,-120,90,0.9,0,10,240,120,40004,1004102,1004202,101161,-30,1.2,0,1.0,0,101201,401040321,0.03,100000,bgm_M64,25,1001301,1.0,0
1007001,3,-10,65,90,0.8,-15,0,200,100,40004,1004103,1004203,101161,-30,1.1,0,1.0,-10,101201,401040331,0.03,100000,bgm_M64,25,1001301,1.3,0
1007001,4,190,-110,90,0.9,0,0,200,100,40004,1004104,1004204,101161,-30,1.2,0,1.0,0,101201,401040341,0.03,100000,bgm_M64,25,1001301,1.3,0
1007001,5,475,-30,90,1.0,-20,10,250,270,40004,1004105,1004205,101162,-30,1.45,-50,1.0,-45,101202,401040351,0.03,100000,bgm_M55,25,1001301,1.5,0
1007002,1,-480,-120,90,0.6,0,10,210,250,40004,1004106,1004206,101161,-30,0.8,0,0.7,-30,101201,401040361,0.06,100000,bgm_M64,25,1001303,1.3,0
1007002,2,-260,-120,90,0.9,0,10,240,120,40004,1004107,1004207,101161,-30,1.2,0,1.0,0,101201,401040371,0.06,100000,bgm_M64,25,1001303,1.3,0
1007002,3,-10,65,90,0.8,-15,0,200,100,40004,1004108,1004208,101161,-30,1.1,0,1.0,-10,101201,401040381,0.06,100000,bgm_M64,25,1001303,1.8,0
1007002,4,190,-110,90,0.9,0,0,200,100,40004,1004109,1004209,101161,-30,1.2,0,1.0,0,101201,401040391,0.06,100000,bgm_M64,25,1001303,1.8,0
1007002,5,475,-30,90,1.0,-20,10,250,270,40004,1004110,1004210,101162,-30,1.45,-50,1.0,-45,101202,401040401,0.06,100000,bgm_M55,25,1001303,2.0,0
1008001,1,-480,-120,90,0.6,0,10,210,250,40004,1004101,1004201,101161,-30,0.8,0,0.7,-30,101291,401040411,0.03,100000,bgm_M64,25,1001301,1.0,0
1008001,2,-260,-120,90,0.9,0,10,240,120,40004,1004102,1004202,101161,-30,1.2,0,1.0,0,101291,401040421,0.03,100000,bgm_M64,25,1001301,1.0,0
1008001,3,-40,65,90,0.8,-15,0,200,100,40004,1004103,1004203,101161,-30,1.1,0,1.0,-10,101291,401040431,0.03,100000,bgm_M64,25,1001301,1.3,0
1008001,4,150,-110,90,0.9,0,0,200,100,40004,1004104,1004204,101161,-30,1.3,0,1.3,0,101291,401040441,0.03,100000,bgm_M64,25,1001301,1.3,0
1008001,5,490,-15,90,1.1,-20,30,230,45,40004,1004105,1004205,101162,-30,1.45,15,1.3,30,101292,401040451,0.03,100000,bgm_M55,25,1001301,1.5,0
1008002,1,-480,-120,90,0.6,0,10,210,250,40004,1004106,1004206,101161,-30,0.8,0,0.7,-30,101291,401040461,0.06,100000,bgm_M64,25,1001303,1.3,0
