id,clan_battle_id,map_bg,difficulty,lap_num_from,lap_num_to,clan_battle_boss_group_id,aura_effect,rsl_unlock_lap,phase
1,1001,710011,1,1,1,1001001,1,1,1
2,1001,710011,1,2,-1,1001002,2,1,1
3,1002,710021,1,1,1,1002001,1,1,1
4,1002,710021,1,2,-1,1002002,2,1,1
5,1003,710031,1,1,1,1003001,1,1,1
6,1003,710031,1,2,-1,1003002,2,1,1
7,1004,710041,1,1,1,1004001,1,1,1
8,1004,710041,1,2,-1,1004002,2,1,1
9,1005,710051,1,1,1,1005001,1,1,1
10,1005,710051,1,2,-1,1005002,2,1,1
11,1006,710061,1,1,1,1006001,1,1,1
12,1006,710061,1,2,-1,1006002,2,1,2
13,1007,710071,1,1,1,1007001,1,1,1
14,1007,710071,1,2,-1,1007002,2,1,2
15,1008,710081,1,1,1,1008001,1,1,1
16,1008,710081,1,2,-1,1008002,2,1,2
17,1009,710091,1,1,1,1009001,1,1,1
18,1009,710091,1,2,5,1009002,2,1,2
19,1009,710091,1,6,-1,1009003,2,1,3
20,1010,710101,1,1,3,1010001,1,1,1
21,1010,710101,1,4,10,1010002,2,1,2
22,1010,710101,1,11,-1,1010003,2,1,3
23,1011,710111,1,1,1,1011001,1,1,1
24,1011,710111,1,2,3,1011002,1,1,1
25,1011,710111,1,4,10,1011003,2,1,2
26,1011,710111,1,11,-1,1011004,2,1,3
27,1012,710121,1,1,1,1012001,1,1,1
28,1012,710121,1,2,3,1012002,1,1,1
29,1012,710121,1,4,10,1012003,2,1,2
30,1012,710121,1,11,-1,1012004,2,1,3
31,1013,710011,1,1,1,1013001,1,1,1
32,1013,710011,1,2,3,1013002,1,1,1
33,1013,710011,1,4,10,1013003,2,1,2
34,1013,710011,1,11,-1,1013004,2,1,3
35,1014,710021,1,1,1,1014001,1,1,1
36,1014,710021,1,2,3,1014002,1,1,1
37,1014,710021,1,4,10,1014003,2,1,2
38,1014,710021,1,11,-1,1014004,2,1,3
39,1015,710031,1,1,1,1015001,1,2,1
40,1015,710031,1,2,3,1015002,1,2,1
41,1015,710031,1,4,10,1015003,2,5,2
42,1015,710031,1,11,-1,1015004,2,12,3
