clan_battle_id,period,period_detail,period_detail_bg,period_detail_s,period_detail_bg_s,period_detail_bg_position,period_detail_boss_position_x,period_detail_boss_position_y,start_time,end_time,interval_start,interval_end,calc_start,result_start,result_end,limit_time,chest_id,quest_detail_rehearsal_label_height,min_carry_over_time
1001,1,"Begin Clan Battle!\nWork with clan members to defeat monsters!",101011,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101011,0,0,0,"2021/02/10 13:00:00","2021/02/15 7:59:59","2021/02/15 8:00:00","2021/03/06 12:59:59","2021/02/15 8:00:00","2021/02/15 12:00:00","2021/03/06 12:59:59",90,40004,25,0
1002,1,"Work with clan members\nto defeat the stronger monsters!",101021,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101021,0,0,0,"2021/03/07 13:00:00","2021/03/12 7:59:59","2021/03/12 8:00:00","2021/04/12 12:59:59","2021/03/12 8:00:00","2021/03/16 23:00:00","2021/04/12 12:59:59",90,40004,25,0
1003,1,"Work with clan members\nto defeat the stronger monsters!",101042,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101042,0,0,0,"2021/04/12 13:00:00","2021/04/17 7:59:59","2021/04/17 8:00:00","2021/05/19 12:59:59","2021/04/17 8:00:00","2021/04/22 2:00:00","2021/05/19 12:59:59",90,40004,25,0
1004,1,"Work with clan members\nto defeat the stronger monsters!",101161,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101161,0,0,0,"2021/05/19 13:00:00","2021/05/24 7:59:59","2021/05/24 8:00:00","2021/06/23 12:59:59","2021/05/24 8:00:00","2021/05/29 2:00:00","2021/06/23 12:59:59",90,40004,25,0
1005,1,"Work with clan members\nto defeat the stronger monsters!",101171,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101171,0,0,0,"2021/06/23 13:00:00","2021/06/28 7:59:59","2021/06/28 8:00:00","2021/07/25 12:59:59","2021/06/28 8:00:00","2021/07/03 2:00:00","2021/07/25 12:59:59",90,40004,25,0
1006,1,"Work with clan members\nto defeat the stronger monsters!",101191,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101191,0,0,0,"2021/07/25 13:00:00","2021/07/30 7:59:59","2021/07/30 8:00:00","2021/08/25 12:59:59","2021/07/30 8:00:00","2021/08/04 2:00:00","2021/08/25 12:59:59",90,40004,25,0
1007,1,"Work with clan members\nto defeat the stronger monsters!",101202,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101202,0,0,0,"2021/08/25 13:00:00","2021/08/30 7:59:59","2021/08/30 8:00:00","2021/09/18 12:59:59","2021/08/30 8:00:00","2021/09/13 5:00:00","2021/09/18 12:59:59",90,40004,25,0
1008,1,"Work with clan members\nto defeat the stronger monsters!",101292,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101292,0,0,0,"2021/09/18 13:00:00","2021/09/23 7:59:59","2021/09/23 8:00:00","2021/10/20 12:59:59","2021/09/23 8:00:00","2021/10/14 5:00:00","2021/10/20 12:59:59",90,40004,25,0
1009,1,"Work with clan members\nto defeat the stronger monsters!",101302,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101302,0,0,0,"2021/10/20 13:00:00","2021/10/25 7:59:59","2021/10/25 8:00:00","2021/11/17 12:59:59","2021/10/25 8:00:00","2021/11/12 5:00:00","2021/11/17 12:59:59",90,40004,25,0
1010,1,"Work with clan members\nto defeat the stronger monsters!",101441,"クランバトル開始！キャラを育成して\nモンスターを討伐しよう！",101441,0,0,0,"2021/11/17 13:00:00","2021/11/22 7:59:59","2021/11/22 8:00:00","2021/12/15 12:59:59","2021/11/22 8:00:00","2021/12/10 5:00:00","2021/12/15 12:59:59",90,40004,25,0
