id,clan_battle_id,period,rank_from,rank_to,ranking_bonus_group,reward_type_1,reward_id_1,reward_num_1,reward_type_2,reward_id_2,reward_num_2,reward_type_3,reward_id_3,reward_num_3,reward_type_4,reward_id_4,reward_num_4,reward_type_5,reward_id_5,reward_num_5
1,1001,1,1,10,0,8,91002,10000,2,90006,5000,2,31043,30,0,0,0,0,0,0
2,1001,1,11,25,0,8,91002,8000,2,90006,5000,2,31043,30,0,0,0,0,0,0
3,1001,1,26,50,0,8,91002,6000,2,90006,5000,2,31043,30,0,0,0,0,0,0
4,1001,1,51,150,0,8,91002,4500,2,90006,4500,2,31043,25,0,0,0,0,0,0
5,1001,1,151,300,0,8,91002,4000,2,90006,4000,2,31043,20,0,0,0,0,0,0
6,1001,1,301,700,0,8,91002,3500,2,90006,3500,2,31043,18,0,0,0,0,0,0
7,1001,1,701,1500,0,8,91002,3000,2,90006,3000,2,31043,16,0,0,0,0,0,0
8,1001,1,1501,3000,0,8,91002,2500,2,90006,2500,2,31043,14,0,0,0,0,0,0
9,1001,1,3001,5000,0,8,91002,2000,2,90006,2000,2,31043,12,0,0,0,0,0,0
10,1001,1,5001,7000,0,8,91002,1500,2,90006,1500,2,31043,10,0,0,0,0,0,0
11,1001,1,7001,10000,0,8,91002,1000,2,90006,1000,2,31043,8,0,0,0,0,0,0
12,1001,1,10001,15000,0,8,91002,750,2,90006,750,2,31043,7,0,0,0,0,0,0
13,1001,1,15001,-1,0,8,91002,500,2,90006,500,2,31043,5,0,0,0,0,0,0
14,1002,1,1,10,0,8,91002,10000,2,90006,5000,2,31022,30,0,0,0,0,0,0
15,1002,1,11,25,0,8,91002,8000,2,90006,5000,2,31022,30,0,0,0,0,0,0
16,1002,1,26,50,0,8,91002,6000,2,90006,5000,2,31022,30,0,0,0,0,0,0
17,1002,1,51,150,0,8,91002,4500,2,90006,4500,2,31022,25,0,0,0,0,0,0
18,1002,1,151,300,0,8,91002,4000,2,90006,4000,2,31022,20,0,0,0,0,0,0
19,1002,1,301,700,0,8,91002,3500,2,90006,3500,2,31022,18,0,0,0,0,0,0
20,1002,1,701,1500,0,8,91002,3000,2,90006,3000,2,31022,16,0,0,0,0,0,0
21,1002,1,1501,3000,0,8,91002,2500,2,90006,2500,2,31022,14,0,0,0,0,0,0
22,1002,1,3001,5000,0,8,91002,2000,2,90006,2000,2,31022,12,0,0,0,0,0,0
23,1002,1,5001,7000,0,8,91002,1500,2,90006,1500,2,31022,10,0,0,0,0,0,0
24,1002,1,7001,10000,0,8,91002,1000,2,90006,1000,2,31022,8,0,0,0,0,0,0
25,1002,1,10001,15000,0,8,91002,750,2,90006,750,2,31022,7,0,0,0,0,0,0
26,1002,1,15001,-1,0,8,91002,500,2,90006,500,2,31022,5,0,0,0,0,0,0
27,1003,1,1,10,0,8,91002,10000,2,90006,5000,2,31042,30,0,0,0,0,0,0
28,1003,1,11,25,0,8,91002,8000,2,90006,5000,2,31042,30,0,0,0,0,0,0
29,1003,1,26,50,0,8,91002,6000,2,90006,5000,2,31042,30,0,0,0,0,0,0
30,1003,1,51,150,0,8,91002,4500,2,90006,4500,2,31042,25,0,0,0,0,0,0
31,1003,1,151,300,0,8,91002,4000,2,90006,4000,2,31042,20,0,0,0,0,0,0
32,1003,1,301,700,0,8,91002,3500,2,90006,3500,2,31042,18,0,0,0,0,0,0
33,1003,1,701,1500,0,8,91002,3000,2,90006,3000,2,31042,16,0,0,0,0,0,0
34,1003,1,1501,3000,0,8,91002,2500,2,90006,2500,2,31042,14,0,0,0,0,0,0
35,1003,1,3001,5000,0,8,91002,2000,2,90006,2000,2,31042,12,0,0,0,0,0,0
36,1003,1,5001,7000,0,8,91002,1500,2,90006,1500,2,31042,10,0,0,0,0,0,0
37,1003,1,7001,10000,0,8,91002,1000,2,90006,1000,2,31042,8,0,0,0,0,0,0
38,1003,1,10001,15000,0,8,91002,750,2,90006,750,2,31042,7,0,0,0,0,0,0
39,1003,1,15001,-1,0,8,91002,500,2,90006,500,2,31042,5,0,0,0,0,0,0
40,1004,1,1,10,0,8,91002,10000,2,90006,5000,2,31018,30,0,0,0,0,0,0
41,1004,1,11,25,0,8,91002,8000,2,90006,5000,2,31018,30,0,0,0,0,0,0
42,1004,1,26,50,0,8,91002,6000,2,90006,5000,2,31018,30,0,0,0,0,0,0
43,1004,1,51,150,0,8,91002,4500,2,90006,4500,2,31018,25,0,0,0,0,0,0
44,1004,1,151,300,0,8,91002,4000,2,90006,4000,2,31018,20,0,0,0,0,0,0
45,1004,1,301,700,0,8,91002,3500,2,90006,3500,2,31018,18,0,0,0,0,0,0
46,1004,1,701,1500,0,8,91002,3000,2,90006,3000,2,31018,16,0,0,0,0,0,0
47,1004,1,1501,3000,0,8,91002,2500,2,90006,2500,2,31018,14,0,0,0,0,0,0
48,1004,1,3001,5000,0,8,91002,2000,2,90006,2000,2,31018,12,0,0,0,0,0,0
49,1004,1,5001,7000,0,8,91002,1500,2,90006,1500,2,31018,10,0,0,0,0,0,0
50,1004,1,7001,10000,0,8,91002,1000,2,90006,1000,2,31018,8,0,0,0,0,0,0
51,1004,1,10001,15000,0,8,91002,750,2,90006,750,2,31018,7,0,0,0,0,0,0
52,1004,1,15001,-1,0,8,91002,500,2,90006,500,2,31018,5,0,0,0,0,0,0
53,1005,1,1,10,0,8,91002,10000,2,90006,5000,2,31025,30,0,0,0,0,0,0
54,1005,1,11,25,0,8,91002,8000,2,90006,5000,2,31025,30,0,0,0,0,0,0
55,1005,1,26,50,0,8,91002,6000,2,90006,5000,2,31025,30,0,0,0,0,0,0
56,1005,1,51,150,0,8,91002,4500,2,90006,4500,2,31025,25,0,0,0,0,0,0
57,1005,1,151,300,0,8,91002,4000,2,90006,4000,2,31025,20,0,0,0,0,0,0
58,1005,1,301,700,0,8,91002,3500,2,90006,3500,2,31025,18,0,0,0,0,0,0
59,1005,1,701,1500,0,8,91002,3000,2,90006,3000,2,31025,16,0,0,0,0,0,0
60,1005,1,1501,3000,0,8,91002,2500,2,90006,2500,2,31025,14,0,0,0,0,0,0
61,1005,1,3001,5000,0,8,91002,2000,2,90006,2000,2,31025,12,0,0,0,0,0,0
62,1005,1,5001,7000,0,8,91002,1500,2,90006,1500,2,31025,10,0,0,0,0,0,0
63,1005,1,7001,10000,0,8,91002,1000,2,90006,1000,2,31025,8,0,0,0,0,0,0
