fix_reward_id,reward_type_1,reward_id_1,reward_num_1,reward_type_2,reward_id_2,reward_num_2,reward_type_3,reward_id_3,reward_num_3,reward_type_4,reward_id_4,reward_num_4,reward_type_5,reward_id_5,reward_num_5
1001101,8,91002,40,2,90006,40,2,22002,1,0,0,0,0,0,0
1001102,8,91002,60,2,90006,50,2,22002,2,0,0,0,0,0,0
1001103,8,91002,80,2,90006,60,2,22002,3,0,0,0,0,0,0
1001104,8,91002,100,2,90006,80,2,22002,4,0,0,0,0,0,0
1001105,8,91002,200,2,90006,150,2,22003,2,0,0,0,0,0,0
1001106,2,90006,20,2,22002,1,0,0,0,0,0,0,0,0,0
1001107,2,90006,20,2,22002,1,0,0,0,0,0,0,0,0,0
1001108,2,90006,20,2,22002,1,0,0,0,0,0,0,0,0,0
1001109,2,90006,20,2,22002,1,0,0,0,0,0,0,0,0,0
1001110,2,90006,20,2,22003,1,0,0,0,0,0,0,0,0,0
1002101,8,91002,40,2,90006,40,2,22002,1,0,0,0,0,0,0
1002102,8,91002,60,2,90006,50,2,22002,2,0,0,0,0,0,0
1002103,8,91002,80,2,90006,60,2,22002,3,0,0,0,0,0,0
1002104,8,91002,100,2,90006,80,2,22002,4,0,0,0,0,0,0
1002105,8,91002,200,2,90006,150,2,22003,2,0,0,0,0,0,0
1002106,2,90006,40,2,22002,1,0,0,0,0,0,0,0,0,0
1002107,2,90006,40,2,22002,1,0,0,0,0,0,0,0,0,0
1002108,2,90006,40,2,22002,1,0,0,0,0,0,0,0,0,0
1002109,2,90006,40,2,22002,1,0,0,0,0,0,0,0,0,0
1002110,2,90006,40,2,22003,1,0,0,0,0,0,0,0,0,0
1003101,8,91002,40,2,90006,40,2,22002,1,0,0,0,0,0,0
1003102,8,91002,60,2,90006,50,2,22002,2,0,0,0,0,0,0
1003103,8,91002,80,2,90006,60,2,22002,3,0,0,0,0,0,0
1003104,8,91002,100,2,90006,80,2,22002,4,0,0,0,0,0,0
1003105,8,91002,200,2,90006,150,2,22003,2,0,0,0,0,0,0
1003106,2,90006,40,2,22002,1,0,0,0,0,0,0,0,0,0
1003107,2,90006,40,2,22002,1,0,0,0,0,0,0,0,0,0
1003108,2,90006,40,2,22002,1,0,0,0,0,0,0,0,0,0
1003109,2,90006,40,2,22002,1,0,0,0,0,0,0,0,0,0
1003110,2,90006,40,2,22003,1,0,0,0,0,0,0,0,0,0
1004101,8,91002,40,2,90006,20,2,0,0,0,0,0,0,0,0
1004102,8,91002,50,2,90006,30,2,0,0,0,0,0,0,0,0
1004103,8,91002,75,2,90006,40,2,0,0,0,0,0,0,0,0
1004104,8,91002,100,2,90006,50,2,0,0,0,0,0,0,0,0
1004105,8,91002,150,2,90006,100,2,31018,2,0,0,0,0,0,0
1004106,8,91002,20,2,90006,20,2,0,0,0,0,0,0,0,0
1004107,8,91002,25,2,90006,30,2,0,0,0,0,0,0,0,0
1004108,8,91002,30,2,90006,40,2,0,0,0,0,0,0,0,0
1004109,8,91002,40,2,90006,50,2,0,0,0,0,0,0,0,0
1004110,8,91002,80,2,90006,100,2,31018,1,0,0,0,0,0,0
1004111,8,91002,20,2,90006,30,2,0,0,0,0,0,0,0,0
1004112,8,91002,25,2,90006,40,2,0,0,0,0,0,0,0,0
1004113,8,91002,30,2,90006,50,2,0,0,0,0,0,0,0,0
1004114,8,91002,40,2,90006,60,2,0,0,0,0,0,0,0,0
1004115,8,91002,80,2,90006,100,2,31018,1,0,0,0,0,0,0
1004116,12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
1005101,8,91002,40,2,90006,20,2,0,0,0,0,0,0,0,0
1005102,8,91002,50,2,90006,30,2,0,0,0,0,0,0,0,0
1005103,8,91002,75,2,90006,40,2,0,0,0,0,0,0,0,0
1005104,8,91002,100,2,90006,50,2,0,0,0,0,0,0,0,0
1005105,8,91002,150,2,90006,100,2,31042,2,0,0,0,0,0,0
1005106,8,91002,20,2,90006,20,2,0,0,0,0,0,0,0,0
1005107,8,91002,25,2,90006,30,2,0,0,0,0,0,0,0,0
1005108,8,91002,30,2,90006,40,2,0,0,0,0,0,0,0,0
1005109,8,91002,40,2,90006,50,2,0,0,0,0,0,0,0,0
1005110,8,91002,80,2,90006,100,2,31042,1,0,0,0,0,0,0
1005111,8,91002,20,2,90006,30,2,0,0,0,0,0,0,0,0
1005112,8,91002,25,2,90006,40,2,0,0,0,0,0,0,0,0
1005113,8,91002,30,2,90006,50,2,0,0,0,0,0,0,0,0
1005114,8,91002,40,2,90006,60,2,0,0,0,0,0,0,0,0
1005115,8,91002,80,2,90006,100,2,31042,1,0,0,0,0,0,0
1005116,12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
