id,clan_battle_id,map_bg,difficulty,lap_num_from,lap_num_to,boss_id_1,boss_id_2,boss_id_3,boss_id_4,boss_id_5,extra_battle_flag1,extra_battle_flag2,extra_battle_flag3,extra_battle_flag4,extra_battle_flag5,aura_effect,rsl_unlock_lap,phase,wave_group_id_1,wave_group_id_2,wave_group_id_3,wave_group_id_4,wave_group_id_5,fix_reward_id_1,fix_reward_id_2,fix_reward_id_3,fix_reward_id_4,fix_reward_id_5,damage_rank_id_1,damage_rank_id_2,damage_rank_id_3,damage_rank_id_4,damage_rank_id_5,reward_gold_coefficient,limited_mana,last_attack_reward_id,score_coefficient_1,score_coefficient_2,score_coefficient_3,score_coefficient_4,score_coefficient_5,param_adjust_id,param_adjust_interval
1,1001,710011,1,1,1,10010101,10010102,10010103,10010104,10010105,0,0,0,0,0,1,1,1,401010011,401010021,401010031,401010041,401010051,1001101,1001102,1001103,1001104,1001105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.1,1.1,1.2,0,0
2,1001,710011,1,2,-1,10010101,10010102,10010103,10010104,10010105,0,0,0,0,0,2,1,1,401010011,401010021,401010031,401010041,401010051,1001106,1001107,1001108,1001109,1001110,0,0,0,0,0,0.06,100000,0,1.2,1.2,1.5,1.7,2.0,0,0
3,1002,710021,1,1,1,10020101,10020102,10020103,10020104,10020105,0,0,0,0,0,1,1,1,401020011,401020021,401020031,401020041,401020051,1002101,1002102,1002103,1002104,1002105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.1,1.1,1.2,0,0
4,1002,710021,1,2,-1,10020101,10020102,10020103,10020104,10020105,0,0,0,0,0,2,1,1,401020061,401020071,401020081,401020091,401020101,1002106,1002107,1002108,1002109,1002110,0,0,0,0,0,0.06,100000,0,1.2,1.2,1.5,1.7,2.0,0,0
5,1003,710031,1,1,1,10030101,10030102,10030103,10030104,10030105,0,0,0,0,0,1,1,1,401030011,401030021,401030031,401030041,401030051,1003101,1003102,1003103,1003104,1003105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.1,1.1,1.2,0,0
6,1003,710031,1,2,-1,10030101,10030102,10030103,10030104,10030105,0,0,0,0,0,2,1,1,401030061,401030071,401030081,401030091,401030101,1003106,1003107,1003108,1003109,1003110,0,0,0,0,0,0.06,100000,0,1.2,1.2,1.5,1.7,2.0,0,0
7,1004,710041,1,1,1,10040101,10040102,10040103,10040104,10040105,0,0,0,0,0,1,1,1,401040011,401040021,401040031,401040041,401040051,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.1,1.1,1.2,0,0
8,1004,710041,1,2,-1,10040101,10040102,10040103,10040104,10040105,0,0,0,0,0,2,1,1,401040061,401040071,401040081,401040091,401040101,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.06,100000,0,1.2,1.2,1.5,1.7,2.0,0,0
9,1005,710051,1,1,1,10050101,10050102,10050103,10050104,10050105,0,0,0,0,0,1,1,1,401040111,401040121,401040131,401040141,401040151,1004101,1004102,1004103,1004104,1004105,0,0,0,0,0,0.03,100000,0,1.0,1.0,1.1,1.1,1.2,0,0
10,1005,710051,1,2,-1,10050101,10050102,10050103,10050104,10050105,0,0,0,0,0,2,1,1,401040161,401040171,401040181,401040191,401040201,1004106,1004107,1004108,1004109,1004110,0,0,0,0,0,0.06,100000,0,1.2,1.2,1.5,1.7,2.0,0,0
