clan_battle_id,release_month,last_clan_battle_id,point_per_stamina,cost_group_id,cost_group_id_s,map_bgm,resource_id,start_time,end_time
1001,2,0,1,1,2,bgm_M90,1,"2021/02/10 13:00:00","2021/03/06 12:59:59"
1002,3,1001,1,1,2,bgm_M97,2,"2021/03/07 13:00:00","2021/04/12 12:59:59"
1003,4,1002,1,1,2,bgm_M104,1,"2021/04/12 13:00:00","2021/05/19 12:59:59"
1004,5,1003,1,1,2,bgm_M115,2,"2021/05/19 13:00:00","2021/06/23 12:59:59"
1005,6,1004,1,1,2,bgm_M119,1,"2021/06/23 13:00:00","2021/07/25 12:59:59"
1006,7,1005,1,1,2,bgm_M132,2,"2021/07/25 13:00:00","2021/08/25 12:59:59"
1007,8,1006,1,1,2,bgm_M139,1,"2021/08/25 13:00:00","2021/09/18 12:59:59"
1008,9,1007,1,1,2,bgm_M166,2,"2021/09/18 13:00:00","2021/10/20 12:59:59"
1009,10,1008,1,1,2,bgm_M175,1,"2021/10/20 13:00:00","2021/11/17 12:59:59"
1010,11,1009,1,1,2,bgm_M181,2,"2021/11/17 13:00:00","2021/12/15 12:59:59"
1011,12,1010,1,1,2,bgm_M186,1,"2021/12/15 13:00:00","2022/01/13 12:59:59"
1012,1,1011,1,1,2,bgm_M205,2,"2022/01/13 13:00:00","2022/02/18 12:59:59"
1013,2,1012,1,1,2,bgm_M90,1,"2022/02/18 13:00:00","2022/03/17 12:59:59"
1014,3,1013,1,1,2,bgm_M97,2,"2022/03/17 13:00:00","2022/04/26 12:59:59"
1015,4,1014,1,1,2,bgm_M104,1,"2022/04/26 13:00:00","2022/05/25 12:59:59"
1016,5,1015,1,1,2,bgm_M115,2,"2022/05/25 13:00:00","2022/06/28 12:59:59"
1017,6,1016,1,1,2,bgm_M119,1,"2022/06/28 13:00:00","2022/07/26 12:59:59"
1018,7,1017,1,1,2,bgm_M132,2,"2022/07/26 13:00:00","2022/08/26 12:59:59"
