event_id,chara_index,chara_name,max_dear_point,reference_type,reference_id,episode_unlock_offset_x,episode_unlock_offset_y,dear_point_up_offset_x,dear_point_up_offset_y
10017,1,Emilia,1000,1,109901,0,0,0,0
10017,2,Rem,1000,1,109701,0,0,0,0
10017,3,Ram,1000,1,109801,0,0,0,0
10019,1,Suzuna,1000,1,110001,0,0,0,0
10019,2,Misaki,1000,1,110201,0,0,0,0
10023,1,Chloe,1000,2,110801,0,0,0,0
10023,2,Chieru,1000,2,110901,0,0,0,0
10023,3,Yuni,1000,2,111001,0,0,40,0
10025,1,Mimi,1000,1,111301,0,0,0,0
10025,2,Kyoka,1000,1,111101,0,0,0,0
10025,3,Misogi,1000,1,111201,0,0,0,0
10027,1,Inori,1000,2,106601,0,0,0,0
10027,2,Kaya,1000,2,106501,0,0,0,0
10029,3,Nozomi,1000,1,111601,0,0,0,0
10029,1,Christina,1000,1,111501,0,0,0,0
10029,2,Illya,1000,1,111701,0,0,0,0
