story_id,story_group_id,title,sub_title,visible_type,story_end,pre_story_id,love_level,requirement_id,unlock_quest_id,story_quest_id,chara_index,condition_event_quest_id,condition_event_boss_id,reward_type_1,reward_id_1,reward_value_1,reward_type_2,reward_id_2,reward_value_2,reward_type_3,reward_id_3,reward_value_3,start_time,end_time
6017101,6017,"Emilia's Intimacy Episode","Landosol's Guilds",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017102,6017,"Emilia's Intimacy Episode","Puck's True Nature",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017103,6017,"Emilia's Intimacy Episode","A Fluffy Relationship",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017104,6017,"Emilia's Intimacy Episode","Identical Twins",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017105,6017,"Emilia's Intimacy Episode","Bonding with Ram",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017106,6017,"Emilia's Intimacy Episode","Bonding with Rem",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017107,6017,"Emilia's Intimacy Episode","The Importance of Mana",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017108,6017,"Emilia's Intimacy Episode","Elves in Landosol",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017109,6017,"Emilia's Intimacy Episode","Spirits of Astrum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017110,6017,"Emilia's Intimacy Episode","The Mayo Ways of Landosol",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017201,6017,"Rem's Intimacy Episode","The Flavors of Landosol",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017202,6017,"Rem's Intimacy Episode","Places of Interest",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017203,6017,"Rem's Intimacy Episode","Days Off in Landosol",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017204,6017,"Rem's Intimacy Episode","Besotted with Big Sis",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017205,6017,"Rem's Intimacy Episode","Gourmet Life Struggles",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017206,6017,"Rem's Intimacy Episode","A Curious Title",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017207,6017,"Rem's Intimacy Episode","The Wonders of Ram",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017208,6017,"Rem's Intimacy Episode","Reading Material",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
6017209,6017,"Rem's Intimacy Episode","Rem and Emilia",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"2019/05/31 12:00:00","2030/12/31 14:59:59"
