wave_group_id,dps_of_time_over_0,dps_of_time_over_30,dps_of_time_over_60
401010011,40000,40000,40000
401010021,40000,40000,40000
401010031,40000,40000,40000
401010041,40000,40000,40000
401010051,40000,40000,40000
401011001,40000,40000,40000
401011002,40000,40000,40000
401011003,40000,40000,40000
401011004,40000,40000,40000
401011005,40000,40000,40000
401020011,40000,40000,40000
401020021,40000,40000,40000
401020031,40000,40000,40000
401020041,40000,40000,40000
401020051,40000,40000,40000
401020061,40000,40000,40000
401020071,40000,40000,40000
401020081,40000,40000,40000
401020091,40000,40000,40000
401020101,40000,40000,40000
401021001,40000,40000,40000
401021002,40000,40000,40000
401021003,40000,40000,40000
401021004,40000,40000,40000
401021005,40000,40000,40000
401030011,40000,40000,40000
401030021,40000,40000,40000
401030031,40000,40000,40000
401030041,40000,40000,40000
401030051,40000,40000,40000
401030061,40000,40000,40000
401030071,40000,40000,40000
401030081,40000,40000,40000
401030091,40000,40000,40000
401030101,40000,40000,40000
401031001,40000,40000,40000
401031002,40000,40000,40000
401031003,40000,40000,40000
401031004,40000,40000,40000
401031005,40000,40000,40000
401040011,40000,40000,40000
401040021,40000,40000,40000
401040031,40000,40000,40000
401040041,40000,40000,40000
401040051,40000,40000,40000
401040061,40000,40000,40000
401040071,40000,40000,40000
401040081,40000,40000,40000
401040091,40000,40000,40000
401040101,40000,40000,40000
401040111,40000,40000,40000
401040121,40000,40000,40000
401040131,40000,40000,40000
401040141,40000,40000,40000
401040151,40000,40000,40000
401040161,40000,40000,40000
401040171,40000,40000,40000
401040181,40000,40000,40000
401040191,40000,40000,40000
401040201,40000,40000,40000
401040211,40000,40000,40000
401040221,40000,40000,40000
401040231,40000,40000,40000
401040241,40000,40000,40000
401040251,40000,40000,40000
401040261,40000,40000,40000
401040271,40000,40000,40000
401040281,40000,40000,40000
401040291,40000,40000,40000
401040301,40000,40000,40000
401040311,40000,40000,40000
401040321,40000,40000,40000
401040331,40000,40000,40000
401040341,40000,40000,40000
401040351,40000,40000,40000
401040361,40000,40000,40000
401040371,40000,40000,40000
401040381,40000,40000,40000
401040391,40000,40000,40000
401040401,40000,40000,40000
401040411,40000,40000,40000
401040421,40000,40000,40000
401040431,40000,40000,40000
401040441,40000,40000,40000
401040451,40000,40000,40000
401040461,40000,40000,40000
401040471,40000,40000,40000
401040481,40000,40000,40000
401040491,40000,40000,40000
401040501,40000,40000,40000
401040511,40000,40000,40000
401040521,40000,40000,40000
401040531,40000,40000,40000
401040541,40000,40000,40000
401040551,40000,40000,40000
401040561,40000,40000,40000
401040571,40000,40000,40000
401040581,40000,40000,40000
401040591,40000,40000,40000
401040601,40000,40000,40000
401040611,40000,40000,40000
401040621,40000,40000,40000
401040631,40000,40000,40000
401040641,40000,40000,40000
401040651,40000,40000,40000
401040661,40000,40000,40000
401040671,40000,40000,40000
401040681,40000,40000,40000
401040691,40000,40000,40000
401040701,40000,40000,40000
401040711,40000,40000,40000
401040721,40000,40000,40000
401040731,40000,40000,40000
401040741,40000,40000,40000
401040751,40000,40000,40000
401040761,40000,40000,40000
401040771,40000,40000,40000
401040781,40000,40000,40000
401040791,40000,40000,40000
401040801,40000,40000,40000
401040811,40000,40000,40000
401040821,40000,40000,40000
401040831,40000,40000,40000
401040841,40000,40000,40000
401040851,40000,40000,40000
401040861,40000,40000,40000
401040871,40000,40000,40000
401040881,40000,40000,40000
401040891,40000,40000,40000
401040901,40000,40000,40000
401040911,40000,40000,40000
401040921,40000,40000,40000
401040931,40000,40000,40000
401040941,40000,40000,40000
401040951,40000,40000,40000
401040961,40000,40000,40000
401040971,40000,40000,40000
401040981,40000,40000,40000
401040991,40000,40000,40000
401041001,40000,40000,40000
401041011,40000,40000,40000
401041021,40000,40000,40000
401041031,40000,40000,40000
401041041,40000,40000,40000
401041051,40000,40000,40000
401041061,40000,40000,40000
401041071,40000,40000,40000
401041081,40000,40000,40000
401041091,40000,40000,40000
401041101,40000,40000,40000
401041111,40000,40000,40000
401041121,40000,40000,40000
401041131,40000,40000,40000
401041141,40000,40000,40000
401041151,40000,40000,40000
401041161,40000,40000,40000
401041171,40000,40000,40000
401041181,40000,40000,40000
401041191,40000,40000,40000
401041201,40000,40000,40000
401041211,40000,40000,40000
401041221,40000,40000,40000
401041231,40000,40000,40000
401041241,40000,40000,40000
401041251,40000,40000,40000
401041261,40000,40000,40000
401041271,40000,40000,40000
401041281,40000,40000,40000
401041291,40000,40000,40000
401041301,40000,40000,40000
401041311,40000,40000,40000
401041321,40000,40000,40000
401041331,40000,40000,40000
401041341,40000,40000,40000
401041351,40000,40000,40000
401041361,40000,40000,40000
401041371,40000,40000,40000
401041381,40000,40000,40000
401041391,40000,40000,40000
401041401,40000,40000,40000
401041411,40000,40000,40000
401041421,40000,40000,40000
401041431,40000,40000,40000
401041441,40000,40000,40000
401041451,40000,40000,40000
401041461,40000,40000,40000
401041471,40000,40000,40000
401041481,40000,40000,40000
401041491,40000,40000,40000
401041501,40000,40000,40000
401041511,40000,40000,40000
401041521,40000,40000,40000
401041531,40000,40000,40000
401041541,40000,40000,40000
401041551,40000,40000,40000
401041561,40000,40000,40000
401041571,40000,40000,40000
401041581,40000,40000,40000
401041591,40000,40000,40000
401041601,40000,40000,40000
401041611,40000,40000,40000
401041621,40000,40000,40000
401041631,40000,40000,40000
401041641,40000,40000,40000
401041651,40000,40000,40000
401041661,40000,40000,40000
401041671,40000,40000,40000
401041681,40000,40000,40000
401041691,40000,40000,40000
401041701,40000,40000,40000
401041711,40000,40000,40000
401041721,40000,40000,40000
401041731,40000,40000,40000
401041741,40000,40000,40000
401041751,40000,40000,40000
401041761,40000,40000,40000
401041771,40000,40000,40000
401041781,40000,40000,40000
401041791,40000,40000,40000
401041801,40000,40000,40000
401041811,40000,40000,40000
401041821,40000,40000,40000
401041831,40000,40000,40000
401041841,40000,40000,40000
401041851,40000,40000,40000
401041861,40000,40000,40000
401041871,40000,40000,40000
401041881,40000,40000,40000
401041891,40000,40000,40000
401041901,40000,40000,40000
401041911,40000,40000,40000
401041921,40000,40000,40000
401041931,40000,40000,40000
401041941,40000,40000,40000
401041951,40000,40000,40000
401041961,40000,40000,40000
401041971,40000,40000,40000
401041981,40000,40000,40000
401041991,40000,40000,40000
401042001,40000,40000,40000
401042011,40000,40000,40000
401042021,40000,40000,40000
401042031,40000,40000,40000
401042041,40000,40000,40000
401042051,40000,40000,40000
401042061,40000,40000,40000
401042071,40000,40000,40000
401042081,40000,40000,40000
401042091,40000,40000,40000
401042101,40000,40000,40000
401042111,40000,40000,40000
401042121,40000,40000,40000
401042131,40000,40000,40000
401042141,40000,40000,40000
401042151,40000,40000,40000
401042161,40000,40000,40000
401042171,40000,40000,40000
401042181,40000,40000,40000
401042191,40000,40000,40000
401042201,40000,40000,40000
401042211,40000,40000,40000
401042221,40000,40000,40000
401042231,40000,40000,40000
401042241,40000,40000,40000
401042251,40000,40000,40000
401042261,40000,40000,40000
401042271,40000,40000,40000
401042281,40000,40000,40000
401042291,40000,40000,40000
401042301,40000,40000,40000
401042311,40000,40000,40000
401042321,40000,40000,40000
401042331,40000,40000,40000
401042341,40000,40000,40000
401042351,40000,40000,40000
401042361,40000,40000,40000
401042371,40000,40000,40000
401042381,40000,40000,40000
401042391,40000,40000,40000
401042401,40000,40000,40000
401042411,40000,40000,40000
401042421,40000,40000,40000
401042431,40000,40000,40000
401042441,40000,40000,40000
401042451,40000,40000,40000
401042461,40000,40000,40000
401042471,40000,40000,40000
401042481,40000,40000,40000
401042491,40000,40000,40000
401042501,40000,40000,40000
401042511,40000,40000,40000
401042521,40000,40000,40000
401042531,40000,40000,40000
401042541,40000,40000,40000
401042551,40000,40000,40000
401042561,40000,40000,40000
401042571,40000,40000,40000
401042581,40000,40000,40000
401042591,40000,40000,40000
401042601,40000,40000,40000
401042611,40000,40000,40000
401042621,40000,40000,40000
401042631,40000,40000,40000
401042641,40000,40000,40000
401042651,40000,40000,40000
401042661,40000,40000,40000
401042671,40000,40000,40000
401042681,40000,40000,40000
401042691,40000,40000,40000
401042701,40000,40000,40000
401042711,40000,40000,40000
401042721,40000,40000,40000
401042731,40000,40000,40000
401042741,40000,40000,40000
401042751,40000,40000,40000
401042761,40000,40000,40000
401042771,40000,40000,40000
401042781,40000,40000,40000
401042791,40000,40000,40000
401042801,40000,40000,40000
401042811,40000,40000,40000
401042821,40000,40000,40000
401042831,40000,40000,40000
401042841,40000,40000,40000
401042851,40000,40000,40000
401042861,40000,40000,40000
401042871,40000,40000,40000
401042881,40000,40000,40000
401042891,40000,40000,40000
401042901,40000,40000,40000
