lv,hp,damage
1,3481,12923
2,3809,16872
3,4082,20821
4,4251,24770
5,4420,28719
6,4589,32668
7,4757,36617
8,5286,40566
9,5635,44515
10,5813,48464
11,5982,52413
12,6150,56362
13,6319,60311
14,6788,64260
15,7497,68209
16,7666,72158
17,7835,76107
18,8004,80056
19,8172,84005
20,8365,87954
21,9024,91903
22,9193,95852
23,9722,99801
24,9890,103750
25,10059,107699
26,10228,111648
27,10397,115597
28,10566,119546
29,10735,123495
30,11002,127444
31,11171,131393
32,11990,135342
33,12159,139291
34,13488,143240
35,13656,147189
36,13825,151138
37,13994,155087
38,14163,159036
39,14332,162985
40,14332,166934
41,14468,170883
42,14637,174832
43,15566,178781
44,15735,182730
45,15904,186679
46,16613,190628
47,16781,194577
48,22299,198526
49,22543,202475
50,22787,206424
51,23931,210373
52,24504,214322
53,24748,218271
54,24992,222220
55,25236,226169
56,25480,230118
57,25724,234067
58,25968,238016
59,26212,241965
60,26456,245914
61,26700,249863
62,26944,253812
63,27188,257761
64,27432,261710
65,27676,265659
66,27920,269608
67,28164,273557
68,28408,277506
69,28652,281455
70,28896,285404
71,29140,289353
72,29384,293302
73,29628,297251
74,29872,301200
75,30116,305149
76,30360,309098
77,30604,313047
78,30848,316996
79,31092,320945
80,31336,324894
81,31580,328843
82,31824,332792
83,32068,336741
84,32312,340690
85,32556,344639
86,32800,348588
87,33044,352537
88,33288,356486
89,33532,360435
90,33776,364384
91,34020,368333
92,34264,372282
93,34508,376231
94,34752,380180
95,34996,384129
96,35240,388078
97,35484,392027
98,35728,395976
99,35972,399925
100,36216,870000
101,36460,897000
102,36704,924000
103,36948,951000
104,37192,978000
105,37436,1005000
106,37680,1032000
107,37924,1059000
108,38168,1086000
109,38412,1113000
110,38656,1140000
111,38900,1156000
112,39144,1172000
113,39388,1188000
114,39632,1204000
115,39876,1220000
116,40120,1236000
117,40364,1252000
118,40608,1268000
119,40852,1284000
120,41096,1300000
121,41340,1322000
122,41584,1344000
123,41828,1366000
124,42072,1388000
125,42316,1410000
126,42560,1432000
127,42804,1454000
128,43048,1476000
129,43292,1498000
130,43536,1520000
131,43780,1570000
132,44024,1620000
133,44268,1680000
134,44512,1650000
135,44756,1680000
136,45000,1700000
137,45244,1740000
138,45488,1770000
139,45732,1800000
140,45976,1820000
141,46220,1850000
142,46464,1880000
143,46708,1910000
144,46952,1940000
145,47196,1970000
146,47440,2000000
147,47684,2030000
148,47928,2060000
149,48172,2090000
150,48416,2120000
151,48660,2150000
152,48904,2180000
153,49148,2210000
154,49392,2240000
155,49636,2270000
156,49880,2300000
157,50124,2330000
158,50368,2360000
159,50612,2390000
160,50856,2420000
161,51100,2450000
162,51344,2480000
163,51588,2510000
164,51832,2540000
165,52076,2570000
166,52320,2600000
167,52564,2630000
168,52808,2660000
169,53052,2690000
170,53296,2720000
171,53540,2750000
172,53784,2780000
173,54028,2810000
174,54272,2840000
175,54516,2870000
176,54760,2900000
177,54984,2930000
178,55228,2960000
