wave_group_id,dps_of_time_over_0,dps_of_time_over_30,dps_of_time_over_60
401010011,0,1,1
401010021,0,1,1
401010031,0,1,1
401010041,0,1,1
401010051,0,1,1
401011001,0,1,1
401011002,0,1,1
401011003,0,1,1
401011004,0,1,1
401011005,0,1,1
401020011,0,1,1
401020021,0,1,1
401020031,0,1,1
401020041,0,1,1
401020051,0,1,1
401020061,0,1,1
401020071,0,1,1
401020081,0,1,1
401020091,0,1,1
401020101,0,1,1
401021001,0,1,1
401021002,0,1,1
401021003,0,1,1
401021004,0,1,1
401021005,0,1,1
401030011,0,1,1
401030021,0,1,1
401030031,0,1,1
401030041,0,1,1
401030051,0,1,1
401030061,0,1,1
401030071,0,1,1
401030081,0,1,1
401030091,0,1,1
401030101,0,1,1
401031001,0,1,1
401031002,0,1,1
401031003,0,1,1
401031004,0,1,1
401031005,0,1,1
401040011,0,1,1
401040021,0,1,1
401040031,0,1,1
401040041,0,1,1
401040051,0,1,1
401040061,0,1,1
401040071,0,1,1
401040081,0,1,1
401040091,0,1,1
401040101,0,1,1
401040111,0,1,1
401040121,0,1,1
401040131,0,1,1
401040141,0,1,1
401040151,0,1,1
401040161,0,1,1
401040171,0,1,1
401040181,0,1,1
401040191,0,1,1
401040201,0,1,1
401040211,0,1,1
401040221,0,1,1
401040231,0,1,1
401040241,0,1,1
401040251,0,1,1
401040261,0,1,1
401040271,0,1,1
401040281,0,1,1
401040291,0,1,1
401040301,0,1,1
401040311,0,1,1
401040321,0,1,1
401040331,0,1,1
401040341,0,1,1
401040351,0,1,1
401040361,0,1,1
401040371,0,1,1
401040381,0,1,1
401040391,0,1,1
401040401,0,1,1
401040411,0,1,1
401040421,0,1,1
401040431,0,1,1
401040441,0,1,1
401040451,0,1,1
401040461,0,1,1
401040471,0,1,1
401040481,0,1,1
401040491,0,1,1
401040501,0,1,1
401040511,0,1,1
401040521,0,1,1
401040531,0,1,1
401040541,0,1,1
401040551,0,1,1
401040561,0,1,1
401040571,0,1,1
401040581,0,1,1
401040591,0,1,1
401040601,0,1,1
401040611,0,1,1
401040621,0,1,1
401040631,0,1,1
401040641,0,1,1
401040651,0,1,1
401040661,0,1,1
401040671,0,1,1
401040681,0,1,1
401040691,0,1,1
401040701,0,1,1
401040711,0,1,1
401040721,0,1,1
401040731,0,1,1
401040741,0,1,1
401040751,0,1,1
401040761,0,1,1
401040771,0,1,1
401040781,0,1,1
401040791,0,1,1
401040801,0,1,1
401040811,0,1,1
401040821,0,1,1
401040831,0,1,1
401040841,0,1,1
401040851,0,1,1
401040861,0,1,1
401040871,0,1,1
401040881,0,1,1
401040891,0,1,1
401040901,0,1,1
401040911,0,1,1
401040921,0,1,1
401040931,0,1,1
401040941,0,1,1
401040951,0,1,1
401040961,0,1,1
401040971,0,1,1
401040981,0,1,1
401040991,0,1,1
401041001,0,1,1
401041011,0,1,1
401041021,0,1,1
401041031,0,1,1
401041041,0,1,1
401041051,0,1,1
401041061,0,1,1
401041071,0,1,1
401041081,0,1,1
401041091,0,1,1
401041101,0,1,1
401041111,0,1,1
401041121,0,1,1
401041131,0,1,1
401041141,0,1,1
401041151,0,1,1
401041161,0,1,1
401041171,0,1,1
401041181,0,1,1
401041191,0,1,1
401041201,0,1,1
401041211,0,1,1
401041221,0,1,1
401041231,0,1,1
401041241,0,1,1
401041251,0,1,1
401041261,0,1,1
401041271,0,1,1
401041281,0,1,1
401041291,0,1,1
401041301,0,1,1
401041311,0,1,1
401041321,0,1,1
401041331,0,1,1
401041341,0,1,1
401041351,0,1,1
401041361,0,1,1
401041371,0,1,1
401041381,0,1,1
401041391,0,1,1
401041401,0,1,1
401041411,0,1,1
401041421,0,1,1
401041431,0,1,1
401041441,0,1,1
401041451,0,1,1
401041461,0,1,1
401041471,0,1,1
401041481,0,1,1
401041491,0,1,1
401041501,0,1,1
401041511,0,1,1
401041521,0,1,1
401041531,0,1,1
401041541,0,1,1
401041551,0,1,1
401041561,0,1,1
401041571,0,1,1
401041581,0,1,1
401041591,0,1,1
401041601,0,1,1
401041611,0,1,1
401041621,0,1,1
401041631,0,1,1
401041641,0,1,1
401041651,0,1,1
401041661,0,1,1
401041671,0,1,1
401041681,0,1,1
401041691,0,1,1
401041701,0,1,1
401041711,0,1,1
401041721,0,1,1
401041731,0,1,1
401041741,0,1,1
401041751,0,1,1
401041761,0,1,1
401041771,0,1,1
401041781,0,1,1
401041791,0,1,1
401041801,0,1,1
401041811,0,1,1
401041821,0,1,1
401041831,0,1,1
401041841,0,1,1
401041851,0,1,1
401041861,0,1,1
401041871,0,1,1
401041881,0,1,1
401041891,0,1,1
401041901,0,1,1
401041911,0,1,1
401041921,0,1,1
401041931,0,1,1
401041941,0,1,1
401041951,0,1,1
401041961,0,1,1
401041971,0,1,1
401041981,0,1,1
401041991,0,1,1
401042001,0,1,1
401042011,0,1,1
401042021,0,1,1
401042031,0,1,1
401042041,0,1,1
401042051,0,1,1
401042061,0,1,1
401042071,0,1,1
401042081,0,1,1
401042091,0,1,1
401042101,0,1,1
401042111,0,1,1
401042121,0,1,1
401042131,0,1,1
401042141,0,1,1
401042151,0,1,1
401042161,0,1,1
401042171,0,1,1
401042181,0,1,1
401042191,0,1,1
401042201,0,1,1
401042211,0,1,1
401042221,0,1,1
401042231,0,1,1
401042241,0,1,1
401042251,0,1,1
401042261,0,1,1
401042271,0,1,1
401042281,0,1,1
401042291,0,1,1
401042301,0,1,1
401042311,0,1,1
401042321,0,1,1
401042331,0,1,1
401042341,0,1,1
401042351,0,1,1
401042361,0,1,1
401042371,0,1,1
401042381,0,1,1
401042391,0,1,1
401042401,0,1,1
401042411,0,1,1
401042421,0,1,1
401042431,0,1,1
401042441,0,1,1
401042451,0,1,1
401042461,0,1,1
401042471,0,1,1
401042481,0,1,1
401042491,0,1,1
401042501,0,1,1
401042511,0,1,1
401042521,0,1,1
401042531,0,1,1
401042541,0,1,1
401042551,0,1,1
401042561,0,1,1
401042571,0,1,1
401042581,0,1,1
401042591,0,1,1
401042601,0,1,1
401042611,0,1,1
401042621,0,1,1
401042631,0,1,1
401042641,0,1,1
401042651,0,1,1
401042661,0,1,1
401042671,0,1,1
401042681,0,1,1
401042691,0,1,1
401042701,0,1,1
401042711,0,1,1
401042721,0,1,1
401042731,0,1,1
401042741,0,1,1
401042751,0,1,1
401042761,0,1,1
401042771,0,1,1
401042781,0,1,1
401042791,0,1,1
401042801,0,1,1
401042811,0,1,1
401042821,0,1,1
401042831,0,1,1
401042841,0,1,1
401042851,0,1,1
401042861,0,1,1
401042871,0,1,1
401042881,0,1,1
401042891,0,1,1
401042901,0,1,1
401042911,0,1,1
401042921,0,1,1
401042931,0,1,1
401042941,0,1,1
401042951,0,1,1
401042961,0,1,1
401042971,0,1,1
401042981,0,1,1
401042991,0,1,1
401043001,0,1,1
401043011,0,1,1
401043021,0,1,1
401043031,0,1,1
401043041,0,1,1
401043051,0,1,1
401043111,0,1,1
401043121,0,1,1
401043131,0,1,1
401043141,0,1,1
401043151,0,1,1
401043161,0,1,1
401043171,0,1,1
401043181,0,1,1
401043191,0,1,1
401043201,0,1,1
401043211,0,1,1
401043221,0,1,1
401043231,0,1,1
401043241,0,1,1
401043251,0,1,1
401043261,0,1,1
401043271,0,1,1
401043281,0,1,1
401043291,0,1,1
401043301,0,1,1
401043311,0,1,1
401043321,0,1,1
401043331,0,1,1
401043341,0,1,1
401043351,0,1,1
401043361,0,1,1
401043371,0,1,1
401043381,0,1,1
401043391,0,1,1
401043401,0,1,1
401043461,0,1,1
401043471,0,1,1
401043481,0,1,1
401043491,0,1,1
401043501,0,1,1
401043511,0,1,1
401043521,0,1,1
401043531,0,1,1
401043541,0,1,1
401043551,0,1,1
401043561,0,1,1
401043571,0,1,1
401043581,0,1,1
401043591,0,1,1
401043601,0,1,1
401043611,0,1,1
401043621,0,1,1
401043631,0,1,1
401043641,0,1,1
401043651,0,1,1
401043661,0,1,1
401043671,0,1,1
401043681,0,1,1
401043691,0,1,1
401043701,0,1,1
401043711,0,1,1
401043721,0,1,1
401043731,0,1,1
401043741,0,1,1
401043751,0,1,1
401043761,0,1,1
401043771,0,1,1
401043781,0,1,1
401043791,0,1,1
401043801,0,1,1
401043811,0,1,1
401043821,0,1,1
401043831,0,1,1
401043841,0,1,1
401043851,0,1,1
401043861,0,1,1
401043871,0,1,1
401043881,0,1,1
401043891,0,1,1
401043901,0,1,1
401043911,0,1,1
401043921,0,1,1
401043931,0,1,1
401043941,0,1,1
401043951,0,1,1
401043961,0,1,1
401043971,0,1,1
401043981,0,1,1
401043991,0,1,1
401044001,0,1,1
401044011,0,1,1
401044021,0,1,1
401044031,0,1,1
401044041,0,1,1
401044051,0,1,1
401044061,0,1,1
401044071,0,1,1
401044081,0,1,1
401044091,0,1,1
401044101,0,1,1
401044111,0,1,1
401044121,0,1,1
401044131,0,1,1
401044141,0,1,1
401044151,0,1,1
401044161,0,1,1
401044171,0,1,1
401044181,0,1,1
401044191,0,1,1
401044201,0,1,1
401044211,0,1,1
401044221,0,1,1
401044231,0,1,1
401044241,0,1,1
401044251,0,1,1
401044261,0,1,1
401044271,0,1,1
401044281,0,1,1
401044291,0,1,1
401044301,0,1,1
401044311,0,1,1
401044321,0,1,1
401044331,0,1,1
401044341,0,1,1
401044351,0,1,1
401044361,0,1,1
401044371,0,1,1
401044381,0,1,1
401044391,0,1,1
401044401,0,1,1
401044411,0,1,1
401044421,0,1,1
401044431,0,1,1
401044441,0,1,1
401044451,0,1,1
401044461,0,1,1
401044471,0,1,1
401044481,0,1,1
401044491,0,1,1
401044501,0,1,1
401044511,0,1,1
401044521,0,1,1
401044531,0,1,1
401044541,0,1,1
401044551,0,1,1
401044561,0,1,1
401044571,0,1,1
401044581,0,1,1
401044591,0,1,1
401044601,0,1,1
401044611,0,1,1
401044621,0,1,1
