emblem_id,disp_oder,type,emblem_name,description_mission_id,event_emblem,start_time,end_time
10000001,101001,1,"The Adventure Begins",0,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10101001,101002,1,"Novice Knight",58002001,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10101002,101003,1,"Gallant Knight",58002002,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10101003,101004,1,"Princess Knight",58002003,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201001,201001,2,Hiyori,56011001,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201002,201002,2,"Hiyori Fan",56011002,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201003,201003,2,"Friends Help Friends Out",56011003,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201004,201004,2,Yui,56011004,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201005,201005,2,"Yui Fan",56011005,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201006,201006,2,"We Meet Again",56011006,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201007,201007,2,Rei,56011007,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201008,201008,2,"Rei Fan",56011008,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201009,201009,2,"Earnest, Hardworking Warrior",56011009,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201010,201010,2,Misogi,56011010,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201011,201011,2,"Misogi Fan",56011011,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201012,201012,2,"Hey, Mister! Let's Play!",56011012,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201013,201013,2,Matsuri,56011013,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201014,201014,2,"Matsuri Fan",56011014,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201015,201015,2,"All Fired Up!",56011015,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201016,201016,2,Akari,56011016,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201017,201017,2,"Akari Fan",56011017,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201018,201018,2,"Sweet Little Demon",56011018,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201019,201019,2,Miyako,56011019,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201020,201020,2,"Miyako Fan",56011020,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201021,201021,2,"You're Pudding Now!",56011021,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201022,201022,2,Yuki,56011022,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201023,201023,2,"Yuki Fan",56011023,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201024,201024,2,"Flawless Beauty",56011024,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201025,201025,2,Anna,56011025,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201026,201026,2,"Anna Fan",56011026,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201027,201027,2,"Hecate of the Gale",56011027,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201028,201028,2,Maho,56011028,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201029,201029,2,"Maho Fan",56011029,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201030,201030,2,"Miracle Mahorin!",56011030,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201031,201031,2,Rino,56011031,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201032,201032,2,"Rino Fan",56011032,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201033,201033,2,"Exclusive Big Bro Rights",56011033,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201034,201035,2,Hatsune,56011034,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201035,201036,2,"Hatsune Fan",56011035,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201036,201037,2,"Sleeping Princess",56011036,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201037,201038,2,Nanaka,56011037,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201038,201039,2,"Nanaka Fan",56011038,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201039,201040,2,"Your Magical Girl Waifu",56011039,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201040,201041,2,Kasumi,56011040,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201041,201042,2,"Kasumi Fan",56011041,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201042,201043,2,"Brilliant, Beautiful Detective",56011042,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201043,201044,2,Misato,56011043,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201044,201045,2,"Misato Fan",56011044,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201045,201046,2,"Just Call Me ""Mama""",56011045,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201046,201047,2,Suzuna,56011046,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201047,201048,2,"Suzuna Fan",56011047,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201048,201049,2,"Totes Whiz-Boy Material",56011048,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201049,201050,2,Kaori,56011049,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201050,201051,2,"Kaori Fan",56011050,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201051,201052,2,"Don't Sweat It! ♪",56011051,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201052,201053,2,Io,56011052,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201053,201054,2,"Io Fan",56011053,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201054,201055,2,"Ready for Your Lesson? ♪",56011054,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201055,201056,2,Mimi,56011055,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201056,201057,2,"Mimi Fan",56011056,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201057,201058,2,"Hippety Hoppety ♪",56011057,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201058,201059,2,Kurumi,56011058,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201059,201060,2,"Kurumi Fan",56011059,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201060,201061,2,"Be Brave!",56011060,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201061,201062,2,Yori,56011061,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201062,201063,2,"Yori Fan",56011062,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201063,201064,2,"Bashful Tsundere",56011063,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201064,201065,2,Ayane,56011064,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201065,201066,2,"Ayane Fan",56011065,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201066,201067,2,"Pukichi Fullswing",56011066,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201067,201068,2,Suzume,56011067,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201068,201069,2,"Suzume Fan",56011068,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201069,201070,2,"Ready to Serve ♪",56011069,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201070,201071,2,Rin,56011070,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201071,201072,2,"Rin Fan",56011071,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201072,201073,2,"Living the Comfy Life",56011072,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201073,201074,2,Eriko,56011073,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
10201074,201075,2,"Eriko Fan",56011074,0,"2018/01/01 15:00:00","2030/01/01 23:59:59"
