enemy_id,name,child_enemy_parameter_1,child_enemy_parameter_2,child_enemy_parameter_3,child_enemy_parameter_4,child_enemy_parameter_5
401021505,"Twin Pigs (Stage 1)",401021506,401021507,0,0,0
401021905,"Glutton (Stage 1)",401021906,401021907,401021908,0,0
401022105,"Sagittarius (Stage 1)",401022106,401022107,0,0,0
401022305,"Aquarius (Stage 1)",401022306,401022307,0,0,0
401025905,"Glutton (Stage 1) Solo Mode",401025906,401025907,401025908,0,0
401026105,"Sagittarius (Stage 1) Solo Mode",401026106,401026107,0,0,0
401026305,"Aquarius (Stage 1) Solo Mode",401026306,401026307,0,0,0
401031505,"Twin Pigs (Stage 2)",401031506,401031507,0,0,0
401031905,"Glutton (Stage 2)",401031906,401031907,401031908,0,0
401032105,"Sagittarius (Stage 2)",401032106,401032107,0,0,0
401032305,"Aquarius (Stage 2)",401032306,401032307,0,0,0
401035905,"Glutton (Stage 2) Solo Mode",401035906,401035907,401035908,0,0
401036105,"Sagittarius (Stage 2) Solo Mode",401036106,401036107,0,0,0
401036305,"Aquarius (Stage 2) Solo Mode",401036306,401036307,0,0,0
401041505,"Twin Pigs (Stage 3)",401041506,401041507,0,0,0
401041905,"Glutton (Stage 3)",401041906,401041907,401041908,0,0
401042105,"Sagittarius (Stage 3)",401042106,401042107,0,0,0
401042305,"Aquarius (Stage 3)",401042306,401042307,0,0,0
401045905,"Glutton (Stage 3) Solo Mode",401045906,401045907,401045908,0,0
401046105,"Sagittarius (Stage 3) Solo Mode",401046106,401046107,0,0,0
401046305,"Aquarius (Stage 3) Solo Mode",401046306,401046307,0,0,0
501010601,"Wrath Dragon",501010602,501010603,501010604,0,0
610017101,"Petelgeuse (NORMAL)",610017102,610017103,610017104,0,0
610017201,"Petelgeuse (HARD)",610017202,610017203,610017204,0,0
610017301,"Petelgeuse (VERY HARD)",610017302,610017303,610017304,0,0
610017401,"Petelgeuse SP1",610017411,610017412,610017413,0,0
610017402,"Petelgeuse SP2",610017421,610017422,610017423,0,0
610017403,"Petelgeuse SP3",610017431,610017432,610017433,0,0
610036101,"Ueki-chan (NORMAL)",610036102,610036103,610036104,0,0
610036201,"Ueki-chan (HARD)",610036202,610036203,610036204,0,0
610036301,"Ueki-chan (VERY HARD)",610036302,610036303,610036304,0,0
610036401,"Ueki-chan SP1",610036411,610036412,610036413,0,0
610036402,"Ueki-chan SP2",610036421,610036422,610036423,0,0
610036403,"Ueki-chan SP3",610036431,610036432,610036433,0,0
801100213,"Kaiser Servant (Multi)",801100223,801100233,801100243,0,0
