gacha_id,event_id,gacha_name,item_type,item_id,cost,repeat_step
10001,10001,"Hatsune Box Gacha",2,60002,1,5
10002,10002,"Little Lyrical Adventures Victory Medal Exchange",2,60012,1,5
10003,10003,"Vampire Hunters with Illya Victory Medal Exchange",2,60022,1,5
10004,10004,"Dangerous Vacation! Gourmet Princess on the Beach",2,60032,1,5
10005,10005,"Tamaki and Mifuyu's Desert Island 0-Rupie Life!",2,60042,1,5
10006,10006,"Ironclad Nightmare",2,60052,1,5
10007,10007,"Trick or Pudding! The Promised Halloween Party",2,60062,1,5
10008,10008,"Twilight Breakers",2,60072,1,5
10009,10009,"The Carol That Never Was",2,60082,1,5
10010,10010,"New Year's Day Twinkle Crisis!",2,60092,1,5
10011,10011,"Rumble on Valentine's Day! Fight for Your Right to Love",2,60102,1,5
10012,10012,"Landosol's Ace Detective: The Case of the Woeful Stalker",2,60112,1,5
10013,10013,"The Twin Flowers of Astrum",2,60122,1,5
10014,10014,"Hatsune's Perfect Present",2,60132,1,5
10015,10015,"Shogun Chronicles:The White-Winged Samurai",2,60142,1,5
10016,10016,"Little Lyrical Adventures Victory Medal Exchange",2,60152,1,5
10017,10017,"Re:ZERO -Sharing Lunch in Another World-",2,60162,1,5
10018,10018,"Vampire Hunters with Illya Victory Medal Exchange",2,60172,1,5
10019,10019,"Suzuna's Rainbow Stage!",2,60182,1,5
10020,10020,"Dangerous Vacation! Gourmet Princess on the Beach",2,60192,1,5
