id,event_id,introduction_number,start_time,end_time,maximum_chunk_size_1,maximum_chunk_size_loop_1,maximum_chunk_size_2,maximum_chunk_size_loop_2,maximum_chunk_size_3,maximum_chunk_size_loop_3,sheet_id,que_id
1,10001,1,"2021/02/12 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M33,bgm_M33
2,10002,1,"2021/03/17 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M99,bgm_M99
3,10003,1,"2021/04/23 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M107,bgm_M107
4,10004,1,"2021/05/29 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M113,bgm_M113
5,10005,1,"2021/07/04 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M121,bgm_M121
6,10006,1,"2021/08/13 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M128,bgm_M128
7,10007,1,"2021/09/19 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M135,bgm_M135
8,10008,1,"2021/10/23 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M162,bgm_M162
9,10009,1,"2021/11/17 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M171,bgm_M171
10,10010,1,"2021/12/15 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M182,bgm_M182
11,10011,1,"2022/01/13 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M189,bgm_M189
12,10012,1,"2022/02/09 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M206,bgm_M206
13,10013,1,"2022/03/05 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M215,bgm_M215
14,10014,1,"2022/03/19 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M33,bgm_M33
15,10015,1,"2022/03/31 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M223,bgm_M223
16,10016,1,"2022/04/13 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M99,bgm_M99
17,10017,1,"2022/04/27 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,"",""
18,10018,1,"2022/05/10 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M107,bgm_M107
19,10019,1,"2022/05/27 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M237,bgm_M237
20,10020,1,"2022/06/14 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M113,bgm_M113
21,10021,1,"2022/06/29 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M245,bgm_M245
22,10022,1,"2022/07/14 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M121,bgm_M121
23,10023,1,"2022/07/30 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M254,bgm_M254
24,10024,1,"2022/08/14 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M128,bgm_M128
25,10025,1,"2022/08/27 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M265,bgm_M265_Top
26,10026,1,"2022/09/12 23:00:00","2030/03/26 14:59:00",380000,380000,0,0,0,0,bgm_M135,bgm_M135
