story_group_id,story_type,value,title,thumbnail_id,disp_order,start_time,end_time
5001,5,10014,"Hatsune's Perfect Present",0,1,"2021/02/17 23:00:00","2030/04/24 14:59:59"
5002,5,10016,"Little Lyrical Adventures",0,1,"2021/03/17 23:00:00","2030/04/24 14:59:59"
5003,5,10018,"Vampire Hunters with Illya",0,1,"2021/04/28 23:00:00","2030/04/24 14:59:59"
5004,5,10020,"Dangerous Vacation! Gourmet Princess on the Beach",0,1,"2021/06/03 23:00:00","2030/04/24 14:59:59"
5005,5,10022,"Tamaki and Mifuyu's Desert Island 0-Rupie Life!",0,1,"2021/07/09 23:00:00","2030/04/24 14:59:59"
5006,5,10024,"Ironclad Nightmare",0,1,"2021/08/18 23:00:00","2030/04/24 14:59:59"
5007,5,10026,"Trick or Pudding! The Promised Halloween Party",0,1,"2021/09/24 23:00:00","2030/04/24 14:59:59"
5008,5,10008,"Twilight Breakers",0,1,"2021/10/28 23:00:00","2030/04/24 14:59:59"
5009,5,10009,"The Carol That Never Was",0,1,"2021/11/22 23:00:00","2030/04/24 14:59:59"
5010,5,10010,"New Year's Day Twinkle Crisis!",0,1,"2021/12/20 23:00:00","2030/04/24 14:59:59"
5011,5,10011,"Rumble on Valentine's Day! Fight for Your Right to Love",0,1,"2022/01/18 23:00:00","2030/04/24 14:59:59"
5012,5,10012,"Landosol's Ace Detective: The Case of the Woeful Stalker",0,1,"2022/02/14 23:00:00","2030/04/24 14:59:59"
5013,5,10013,"The Twin Flowers of Astrum",0,1,"2022/03/10 23:00:00","2030/04/24 14:59:59"
5015,5,10015,"Shogun Chronicles: The Whitewing Samurai",0,1,"2022/04/05 23:00:00","2030/04/24 14:59:59"
5017,5,10017,"Re:ZERO -Sharing Lunch in Another World-",0,1,"2022/05/02 23:00:00","2030/04/24 14:59:59"
5019,5,10019,"Suzuna's Rainbow Stage!",0,1,"2022/06/01 23:00:00","2030/04/24 14:59:59"
5021,5,10021,"Dog Days in the Maho-Maho Kingdom: A Soulful Seaside Summer!",0,1,"2022/07/04 23:00:00","2030/04/24 14:59:59"
5023,5,10023,"The Woodland Loner and the Saintly School Lycéennes",0,1,"2022/08/04 23:00:00","2030/04/24 14:59:59"
5025,5,10025,"Little Brave Halloween Night!",0,1,"2022/09/01 23:00:00","2030/04/24 14:59:59"
5027,5,10027,"Dragon Explorers",0,1,"2022/10/02 23:00:00","2030/04/24 14:59:59"
