story_id,event_id,story_seq
5001000,10014,1
5001001,10014,2
5001002,10014,3
5001003,10014,4
5001004,10014,5
5001005,10014,6
5001006,10014,7
5001007,10014,8
5002000,10016,1
5002001,10016,2
5002002,10016,3
5002003,10016,4
5002004,10016,5
5002005,10016,6
5002006,10016,7
5002007,10016,8
5003000,10018,1
5003001,10018,2
5003002,10018,3
5003003,10018,4
5003004,10018,5
5003005,10018,6
5003006,10018,7
5003007,10018,8
5004000,10020,1
5004001,10020,2
5004002,10020,3
5004003,10020,4
5004004,10020,5
5004005,10020,6
5004006,10020,7
5004007,10020,8
5005000,10022,1
5005001,10022,2
5005002,10022,3
5005003,10022,4
5005004,10022,5
5005005,10022,6
5005006,10022,7
5005007,10022,8
5006000,10024,1
5006001,10024,2
5006002,10024,3
5006003,10024,4
5006004,10024,5
5006005,10024,6
5006006,10024,7
5006007,10024,8
5007000,10026,1
5007001,10026,2
5007002,10026,3
5007003,10026,4
5007004,10026,5
5007005,10026,6
5007006,10026,7
5007007,10026,8
5008000,10028,1
5008001,10028,2
5008002,10028,3
5008003,10028,4
5008004,10028,5
5008005,10028,6
5008006,10028,7
5008007,10028,8
5009000,10030,1
5009001,10030,2
5009002,10030,3
5009003,10030,4
5009004,10030,5
5009005,10030,6
5009006,10030,7
5009007,10030,8
5010000,10010,1
5010001,10010,2
5010002,10010,3
5010003,10010,4
5010004,10010,5
5010005,10010,6
5010006,10010,7
5010007,10010,8
5010501,10010,9
5011000,10011,1
5011001,10011,2
5011002,10011,3
5011003,10011,4
5011004,10011,5
5011005,10011,6
5011006,10011,7
5011007,10011,8
5012000,10012,1
5012001,10012,2
5012002,10012,3
5012003,10012,4
5012004,10012,5
5012005,10012,6
5012006,10012,7
5012007,10012,8
5013000,10013,1
5013001,10013,2
5013002,10013,3
5013003,10013,4
5013004,10013,5
5013005,10013,6
5013006,10013,7
5013007,10013,8
5015000,10015,1
5015001,10015,2
5015002,10015,3
5015003,10015,4
5015004,10015,5
5015005,10015,6
5015006,10015,7
5015007,10015,8
5017000,10017,1
5017001,10017,2
5017002,10017,3
5017003,10017,4
5017004,10017,5
5017005,10017,6
5017006,10017,7
5017007,10017,8
5019000,10019,1
5019001,10019,2
5019002,10019,3
5019003,10019,4
5019004,10019,5
5019005,10019,6
5019006,10019,7
5019007,10019,8
5021000,10021,1
5021001,10021,2
5021002,10021,3
5021003,10021,4
5021004,10021,5
5021005,10021,6
5021006,10021,7
5021007,10021,8
5023000,10023,1
5023001,10023,2
5023002,10023,3
5023003,10023,4
5023004,10023,5
5023005,10023,6
5023006,10023,7
5023007,10023,8
5025000,10025,1
5025001,10025,2
5025002,10025,3
5025003,10025,4
5025004,10025,5
5025005,10025,6
5025006,10025,7
5025007,10025,8
5025008,10025,9
5027000,10027,1
5027001,10027,2
5027002,10027,3
5027003,10027,4
5027004,10027,5
5027005,10027,6
5027006,10027,7
5027007,10027,8
5029000,10029,1
5029001,10029,2
5029002,10029,3
5029003,10029,4
5029004,10029,5
5029005,10029,6
5029006,10029,7
5029007,10029,8
5031000,10031,1
5031001,10031,2
5031002,10031,3
5031003,10031,4
5031004,10031,5
5031005,10031,6
5031006,10031,7
5031007,10031,8
5031501,10031,9
