event_top_adv_id,event_id,type,value_1,value_2,value_3,story_id,character_id,start_time,end_time
1,10004,1004,107601,0,0,5004401,107601,"2021/06/03 23:00:00","2021/06/22 22:59:59"
2,10004,1002,1000403,1,0,5004402,107601,"2021/06/03 23:00:00","2021/06/22 22:59:59"
3,10004,1001,10,0,0,5004403,107701,"2021/06/03 23:00:00","2021/06/22 22:59:59"
4,10004,1001,20,0,0,5004404,107501,"2021/06/03 23:00:00","2021/06/22 22:59:59"
5,10004,1001,30,0,0,5004405,107601,"2021/06/03 23:00:00","2021/06/22 22:59:59"
6,10004,1003,2,0,0,5004406,107501,"2021/06/03 23:00:00","2021/06/22 22:59:59"
7,10004,1003,5,0,0,5004407,107601,"2021/06/03 23:00:00","2021/06/22 22:59:59"
8,10004,1003,8,0,0,5004408,107801,"2021/06/03 23:00:00","2021/06/22 22:59:59"
9,10004,1003,12,0,0,5004409,107701,"2021/06/03 23:00:00","2021/06/22 22:59:59"
10,10004,1003,16,0,0,5004410,107501,"2021/06/03 23:00:00","2021/06/22 22:59:59"
11,10004,1003,20,0,0,5004411,107601,"2021/06/03 23:00:00","2021/06/22 22:59:59"
12,10005,1004,108001,0,0,5005401,108001,"2021/07/09 23:00:00","2021/07/28 22:59:59"
13,10005,1002,1000503,1,0,5005402,107901,"2021/07/09 23:00:00","2021/07/28 22:59:59"
14,10005,1001,10,0,0,5005403,108001,"2021/07/09 23:00:00","2021/07/28 22:59:59"
15,10005,1001,20,0,0,5005404,107901,"2021/07/09 23:00:00","2021/07/28 22:59:59"
16,10005,1001,30,0,0,5005405,108001,"2021/07/09 23:00:00","2021/07/28 22:59:59"
17,10005,1003,2,0,0,5005406,107901,"2021/07/09 23:00:00","2021/07/28 22:59:59"
18,10005,1003,5,0,0,5005407,108001,"2021/07/09 23:00:00","2021/07/28 22:59:59"
19,10005,1003,8,0,0,5005408,107901,"2021/07/09 23:00:00","2021/07/28 22:59:59"
20,10005,1003,12,0,0,5005409,108001,"2021/07/09 23:00:00","2021/07/28 22:59:59"
21,10005,1003,16,0,0,5005410,107901,"2021/07/09 23:00:00","2021/07/28 22:59:59"
