team_level,total_exp,max_stamina,over_limit_stamina,recover_stamina_count
1,0,20,999,40
2,24,20,999,40
3,32,21,999,40
4,40,21,999,40
5,48,22,999,40
6,64,22,999,40
7,80,23,999,40
8,96,23,999,40
9,120,24,999,40
10,168,24,999,40
11,224,25,999,40
12,280,25,999,40
13,344,26,999,40
14,420,26,999,40
15,502,27,999,40
16,584,28,999,40
17,666,30,999,40
18,748,35,999,40
19,830,40,999,40
20,930,45,999,40
21,1040,50,999,40
22,1178,55,999,40
23,1316,60,999,40
24,1458,70,999,40
25,1604,80,999,40
26,1755,85,999,40
27,1910,85,999,40
28,2070,86,999,40
29,2235,87,999,40
30,2405,88,999,40
31,2579,89,999,40
32,2760,90,999,40
33,2945,91,999,40
34,3136,92,999,40
35,3333,93,999,40
36,3535,94,999,40
37,3744,95,999,40
38,3974,96,999,40
39,4226,97,999,40
40,4504,98,999,40
41,4810,99,999,40
42,5152,100,999,40
43,5535,101,999,40
44,5965,102,999,40
45,6446,103,999,40
46,7004,104,999,40
47,7651,105,999,40
48,8401,106,999,40
49,9272,107,999,40
50,10282,108,999,40
51,11454,109,999,40
52,12813,110,999,40
53,14389,111,999,40
54,16159,112,999,40
55,17929,113,999,40
56,19699,114,999,40
57,21469,115,999,40
58,23239,116,999,40
59,25009,117,999,40
60,26779,118,999,40
61,28549,119,999,40
62,30319,120,999,40
63,32089,121,999,40
64,33859,122,999,40
65,35629,123,999,40
66,38284,124,999,40
67,40939,125,999,40
68,43594,126,999,40
69,46249,127,999,40
70,48904,128,999,40
71,51559,129,999,40
72,54214,130,999,40
73,56869,131,999,40
74,59524,132,999,40
75,62179,133,999,40
76,64834,134,999,40
77,68374,135,999,40
78,71914,136,999,40
79,75454,137,999,40
80,78994,138,999,40
81,82534,139,999,40
82,86074,140,999,40
83,89614,141,999,40
84,93154,142,999,40
85,96694,143,999,40
86,100234,144,999,40
87,103774,145,999,40
88,107314,146,999,40
89,110854,147,999,40
90,114394,148,999,40
91,117934,149,999,40
92,121474,150,999,40
93,125014,151,999,40
94,128554,152,999,40
95,132094,153,999,40
96,135634,154,999,40
97,139174,155,999,40
98,142714,156,999,40
99,146254,157,999,40
100,149794,158,999,40
101,153334,159,999,40
102,157759,160,999,40
103,162184,161,999,40
104,166609,162,999,40
105,171034,163,999,40
106,175459,164,999,40
107,179884,165,999,40
108,184309,166,999,40
109,188734,167,999,40
110,193159,168,999,40
111,197584,169,999,40
112,202009,170,999,40
113,206434,171,999,40
114,210859,172,999,40
115,215284,173,999,40
116,219709,174,999,40
117,224134,175,999,40
118,228559,176,999,40
119,232984,177,999,40
120,237409,178,999,40
121,241834,179,999,40
122,246259,180,999,40
123,250684,181,999,40
124,255109,182,999,40
125,259534,183,999,40
126,263959,184,999,40
127,268384,185,999,40
128,272809,186,999,40
129,277234,187,999,40
130,281659,188,999,40
131,286084,189,999,40
132,290509,190,999,40
133,294934,191,999,40
134,299359,192,999,40
135,303784,193,999,40
136,308209,194,999,40
137,312634,195,999,40
138,317059,196,999,40
139,321484,197,999,40
140,325909,198,999,40
