unit_level,total_exp
1,0
2,24
3,72
4,120
5,168
6,216
7,288
8,360
9,432
10,504
11,576
12,648
13,720
14,792
15,864
16,956
17,1068
18,1200
19,1352
20,1524
21,1716
22,1928
23,2142
24,2358
25,2576
26,2796
27,3019
28,3245
29,3474
30,3706
31,3948
32,4200
33,4462
34,4734
35,5016
36,5308
37,5610
38,5962
39,6364
40,6816
41,7318
42,7870
43,8622
44,9574
45,10726
46,12078
47,13630
48,15382
49,17534
50,20086
51,23038
52,26390
53,30142
54,34394
55,39146
56,44398
57,50150
58,56402
59,63154
60,70406
61,78158
62,86410
63,95162
64,104514
65,114466
66,125018
67,136170
68,147922
69,160274
70,173226
71,186778
72,200930
73,215682
74,231034
75,246986
76,263538
77,280690
78,298442
79,316794
80,335746
81,355298
82,375450
83,396202
84,417554
85,439506
86,462058
87,485210
88,508962
89,533314
90,558266
91,583818
92,609970
93,636722
94,664074
95,692026
96,720578
97,749730
98,779482
99,809834
100,840786
101,872338
102,904490
103,937242
104,970594
105,1004546
106,1039098
107,1074250
108,1110002
109,1146354
110,1183306
111,1220858
112,1259010
113,1297762
114,1337114
115,1377066
116,1417618
117,1458770
118,1500522
119,1542874
120,1585826
121,1629378
122,1673530
123,1718282
124,1763634
125,1809586
126,1856138
127,1903290
128,1951042
129,1999394
130,2048346
131,2097898
132,2148050
133,2198802
134,2250154
135,2302106
136,2354658
137,2407810
138,2461562
139,2515914
140,2570866
141,2626418
142,2682570
143,2739322
144,2796674
145,2854626
146,2913178
147,2972330
148,3032082
149,3092434
150,3153386
151,3214938
152,3277090
153,3339842
154,3403194
155,3467146
156,3531698
157,3596850
158,3662602
