id,fke_point,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
1,2000,"クウカ大回転で合計2000m飛ばそう",12,94002,5000,0,0,0,0,0,0,0,0,0,0,0,0
2,4000,"クウカ大回転で合計4000m飛ばそう",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
3,6000,"クウカ大回転で合計6000m飛ばそう",12,94002,15000,0,0,0,0,0,0,0,0,0,0,0,0
4,8000,"クウカ大回転で合計8000m飛ばそう",12,94002,20000,0,0,0,0,0,0,0,0,0,0,0,0
5,10000,"クウカ大回転で合計10000m飛ばそう",8,91002,50,2,23001,5,0,0,0,0,0,0,0,0,0
6,12000,"クウカ大回転で合計12000m飛ばそう",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
7,14000,"クウカ大回転で合計14000m飛ばそう",12,94002,30000,0,0,0,0,0,0,0,0,0,0,0,0
8,16000,"クウカ大回転で合計16000m飛ばそう",12,94002,35000,0,0,0,0,0,0,0,0,0,0,0,0
9,18000,"クウカ大回転で合計18000m飛ばそう",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
10,20000,"クウカ大回転で合計20000m飛ばそう",8,91002,50,2,23001,5,0,0,0,0,0,0,0,0,0
11,22000,"クウカ大回転で合計22000m飛ばそう",12,94002,55000,0,0,0,0,0,0,0,0,0,0,0,0
12,24000,"クウカ大回転で合計24000m飛ばそう",12,94002,35000,0,0,0,0,0,0,0,0,0,0,0,0
13,26000,"クウカ大回転で合計26000m飛ばそう",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
14,28000,"クウカ大回転で合計28000m飛ばそう",12,94002,45000,0,0,0,0,0,0,0,0,0,0,0,0
15,30000,"クウカ大回転で合計30000m飛ばそう",7,1405,1,8,91002,150,2,23001,10,0,0,0,0,0,0
