id,exchange_id,unit_id,rarity,gacha_bonus_id
1,2,104701,3,0
2,3,102601,2,0
3,3,101001,3,0
4,3,104301,3,0
5,3,101701,2,0
6,3,103301,2,0
7,3,103801,2,0
8,3,105201,1,0
9,4,106301,3,0
10,5,102301,2,0
11,5,102101,1,0
12,5,102501,1,0
13,5,102801,3,0
14,6,103601,3,0
15,7,101501,2,0
16,7,104001,1,0
17,7,101201,3,0
18,8,104401,3,0
19,9,105401,2,0
20,9,102901,3,0
21,9,104201,2,0
22,10,107501,3,0
23,11,107701,3,0
24,12,107801,3,0
25,13,107901,3,0
26,14,103701,3,0
27,15,100101,1,0
28,15,104301,3,0
29,15,100501,2,0
30,16,108101,3,0
31,17,108301,3,0
32,18,107101,3,0
33,19,105601,3,0
34,20,105001,1,0
35,20,101301,2,0
36,20,104401,3,0
37,21,108401,3,0
38,22,108601,3,0
39,23,107101,3,0
40,23,108801,3,0
41,24,108801,3,0
42,25,108701,3,0
43,26,109101,3,0
44,27,106101,3,0
45,28,101401,3,0
46,29,105501,1,0
47,29,106301,3,0
48,29,101501,2,0
49,31,109201,3,0
50,32,109401,3,0
51,33,109501,3,0
52,33,107101,3,0
53,34,109501,3,0
54,35,100401,1,0
55,35,102001,2,0
56,35,103601,3,0
57,36,109601,3,0
58,37,109701,3,0
59,38,101001,3,0
60,38,101701,2,0
61,38,104401,3,0
62,39,109901,3,0
63,40,110001,3,0
64,41,107501,3,0
65,41,107801,3,0
66,42,110301,3,0
67,43,110401,3,0
68,44,107701,3,0
69,44,107901,3,0
70,45,110601,3,0
71,46,104401,3,0
72,46,100601,2,0
73,46,100701,2,0
74,46,103101,2,0
75,46,102201,1,0
76,47,107001,3,0
77,47,106101,3,0
78,47,107101,3,0
79,48,110701,3,0
80,49,105701,3,0
81,49,106301,3,0
82,50,110801,3,0
