gacha_id,gacha_detail,gacha_notice,release
10001,"<h4>Normal Gacha</h4><br>\n• The Normal Gacha costs nothing to draw.<br>\n• You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>\n","<h4>Important Notes</h4>• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• Depending on your network connection, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n","○"
10002,"<h4>Normal Gacha</h4><br>\n• The Normal Gacha costs nothing to draw.<br>\n• You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>\n","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10003,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10004,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10005,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10006,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10007,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10008,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10009,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
10010,"<h4>Normal Gacha</h4><br>\n•The Normal Gacha costs nothing to draw.<br>\n•You can perform a 10-draw up to twice a day.<br>\n• Available draws reset at 1:00 p.m. and 8:00 p.m. (UTC).<br>\n• Rewards include items and Memory Shards.<br>","<h4>Important Notes</h4>\n• The availability period of the Normal Gacha may be changed without warning.<br>\n• Items and Memory Shards obtained from the Normal Gacha may include duplicates.<br>\n• The draw rates of items and Memory Shards in the Normal Gacha differ per individual reward.<br>\n• In certain network connection environments, the gacha animation may be skipped or only partially displayed. Even in these cases, the correct items and/or Memory Shards will be added to your inventory. Please check the Item List and Memory Shard List to confirm.<br>\n• Available free daily gacha draws are reset each day at 1:00 p.m. and 8:00 p.m. (UTC).<br>","○"
