glossary_id,glossary_category_id,title,description,unlock_story_id,category_type,disp_order
1001,1,"Krook'd & Co.","An evil guild led by the villain ""Krook'd"" and involved in loan sharking, kidnapping, illegal weapon smuggling, and all kinds of evil deeds. Krook'd's speech is polite, but he's as evil as they come. True villains can be deceptive this way.",0,1,39
1002,1,"Continent of Astraea","The largest continent in the world. At the center of this continent is the giant city of Landosol, with the Tower of Sol rising high into the sky above it.",0,1,17
1003,1,Astrum,"The name of this very world which ""Astraea"" is derived from. The etymology for ""Astrum"" remains unclear.",0,1,5
1004,1,Ameth,"A mysterious girl who appears in your dreams. She speaks as if she knows your past. She is characterized by her cynical tone and damaged wings. Kokkoro praises Ameth as a god and receives various oracles from her.",0,1,2
1005,2,"Living Storm","A nickname for Stechpalm. Trouble follows her wherever she goes, leaving more and more people inclined to refer to her as such. She seems to like the word ""storm"" and is happy to be called by this name.",0,1,45
1006,1,"Annerose von Stechpalm","Anna's real name. It's Anna's policy to introduce herself to anyone and everyone.",0,1,3
1007,1,"Evil Eye","I, the one and only Hecate of the Gale, can store impossible amounts of magic in my left eye! Whenever I use powerful magic, this eye of mine shines brilliantly, like nothing else in this world!",0,1,28
1008,3,"Weissflügel","The name of the unit that Monika is a member of in her homeland. Derived from Weiss (white) and Flügel (wings). Monika is doing her best to make this name known to everyone.",0,1,79
1009,3,"Weissflügel (Landosol Branch)","A guild formed by Monika, Ninon, Yuki, Kuka, and Ayumi—though it may be more accurate to say that it came about by accident. The silly antics of its members contrast wildly with their ability to resolve the perilous situations they create for themselves with ease, leaving onlookers confused as to whether they're a group of dolts or hidden geniuses.",0,1,80
1010,3,"Wisteria Family","Landosol's most renowned merchant family. Though the family itself is known throughout all of Astraea, no name rings louder than that of Akino Wisteria's, largely due to the many, many curious stories surrounding her deeds.",0,1,81
1011,2,"Mount Verio","The largest volcano in Astraea. Not only is it still active to this day; it has also become home to a plethora of dangerous monsters.",0,1,56
1012,1,"Esterella Road","The lush, green roads of Astraea. Its comfortable climate makes it an ideal location to find all sorts of plants, animals, and insects.",0,1,26
1013,1,"Eternal Abyss Divider","A slash of this sword unleashes magic of enormous power. Simply touching it will cause tremendous damage.",0,1,27
1014,1,Elvenfolk,"One of the four races of Astrum. Their long, pointed ears make them easy to discern. They are generally more intelligent than other races, and many of them can use magic. Most of them love nature and live in the forest, but more and more of them have settled in Landosol in recent years.",0,1,25
1015,1,"Elven Forest","A forest rich in nature that exists on Astraea. Many of the elves on the continent were born here, living as one with plants, animals, and all other forms of life since they were born.",0,1,24
1016,2,"Matchmaking Flowers","One of the rarest plant species that lives on Mount Verio. Because of its scarcity, rumors are that giving it to a special someone will bring you love.",0,1,51
1017,2,"Mt. Ural","A tall, rugged mountain found in Astraea. Travelers can reach Mount Verio through it, but the path leading there is extremely harsh and takes no prisoners.",0,1,57
1018,3,"Sound Record","A special magic stone that stores audio. Recorded sounds are played when magic is passed through the stones, now generally available in disk shapes. The larger the stone, the longer it can be played. In the past, only aristocrats and the wealthy could listen to these sounds for long periods of time as it was necessary for someone to keep the magic flowing. However, several decades ago, after the creation of a reproduction device containing a mechanism that allowed magic power to flow from a stone to a sound box, the use of this device expanded. Nowadays, these devices are inexpensive and allow anyone to enjoy audio easily.",0,1,72
1019,1,Caon,"A sub-organization of the Menagerie. This martial arts guild mainly protects its friends in the Menagerie from monsters, while also investigating and resolving incidents related to Shadows. Their strained relationship with Nightmare puts them at odds with one another more often than not.",0,1,9
