id,rank_from,rank_to,reward_type_1,reward_id_1,reward_num_1,reward_type_2,reward_id_2,reward_num_2,reward_type_3,reward_id_3,reward_num_3,reward_type_4,reward_id_4,reward_num_4,reward_type_5,reward_id_5,reward_num_5
1,1,10,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
2,11,100,8,91002,10,0,0,0,0,0,0,0,0,0,0,0,0
3,101,200,8,91002,5,0,0,0,0,0,0,0,0,0,0,0,0
4,201,500,8,91002,3,0,0,0,0,0,0,0,0,0,0,0,0
5,501,1000,8,91002,2,0,0,0,0,0,0,0,0,0,0,0,0
6,1001,2000,8,91002,2,0,0,0,0,0,0,0,0,0,0,0,0
7,2001,3999,8,91002,1,0,0,0,0,0,0,0,0,0,0,0,0
8,4000,4000,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
9,4100,4100,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
10,4200,4200,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
11,4300,4300,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
12,4400,4400,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
13,4500,4500,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
14,4600,4600,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
15,4700,4700,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
16,4800,4800,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
17,4900,4900,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
18,5000,5000,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
19,5100,5100,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
20,5200,5200,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
21,5300,5300,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
22,5400,5400,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
23,5500,5500,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
24,5600,5600,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
25,5700,5700,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
26,5800,5800,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
27,5900,5900,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
28,6000,6000,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
29,6100,6100,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
30,6200,6200,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
31,6300,6300,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
32,6400,6400,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
33,6500,6500,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
34,6600,6600,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
35,6700,6700,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
36,6800,6800,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
37,6900,6900,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
38,7000,7000,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
39,7100,7100,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
40,7200,7200,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
41,7300,7300,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
42,7400,7400,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
43,7500,7500,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
44,7600,7600,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
45,7700,7700,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
46,7800,7800,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
47,7900,7900,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
48,8000,8000,8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
49,8100,8100,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
50,8200,8200,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
51,8300,8300,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
52,8400,8400,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
53,8500,8500,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
54,8600,8600,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
55,8700,8700,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
56,8800,8800,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
57,8900,8900,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
58,9000,9000,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
59,9100,9100,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
60,9200,9200,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
61,9300,9300,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
62,9400,9400,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
63,9500,9500,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
64,9600,9600,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
65,9700,9700,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
66,9800,9800,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
67,9900,9900,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
68,10000,10000,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
69,10100,10100,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
70,10200,10200,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
71,10300,10300,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
72,10400,10400,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
73,10500,10500,8,91002,15,0,0,0,0,0,0,0,0,0,0,0,0
