guild_id,guild_name,description,guild_master,member1,member2,member3,member4,member5,member6,member7,member8,member9,member10,member11,member12,member13,member14,member15,member16,member17,member18,member19,member20,member21,member22,member23,member24,member25,member26,member27,member28,member29,member30
1,"Gourmet Guild","The guild created by Pecorine so they could eat out together. Their main objective is to seek out new eating experiences.",1058,1058,1059,1060,1075,1076,1078,1119,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Twinkle Wish","A guild led by Hiyori that strives to help anyone in need. Spurned on by a dream they all shared, their true motive is to reach the peak of the Tower of Sol.",1001,1001,1002,1003,1088,1089,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Labyrinth,"Formed by the mysterious Labyrista, this guild seeks to uncover the secrets behind the world. They run a crepe shop to mask their true operations.",1068,1068,1049,1011,1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Carmina,"A guild led by former solo idol Nozomi. They sing, dance and fight, putting on live performances and other entertainment as their main guild activities.",1029,1029,1042,1054,1116,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Little Lyrical","An unofficial guild formed by three good friends. Their main goal is to just have fun while feeling like a proper guild.",1020,1020,1004,1036,1113,1112,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Forestier,"Formed long ago in order to keep watch over and protect the elven forest, they act as forest guides for visitors and manage the herbs only available there.",1015,1015,1012,1040,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Diabolos,"A guild formed by Ilya and several demonfolk. Its name stems from the army led by Ilya to wage war on the gods themselves in ancient times.",1044,1044,1022,1006,1031,1007,1081,1082,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Nightmare, Defenders of the Throne","Landosol's national army, tasked with protecting the throne and those who occupy it. They also serve as the city's main police force.",1047,1047,1071,1037,1005,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Sarendia Orphanage","An orphanage that also has its hands dipped in all sorts of businesses. Formed by Saren after deciding that she would rather be of help to people directly.",1028,1028,1025,1023,1021,1103,1077,1085,1086,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Caon,"A martial arts guild that mainly protects their friends in the Menagerie. They also investigate and resolve incidents related to Shadows.",1010,1010,1043,1014,1017,1106,1104,1105,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Elizabeth Park","A guild located on a nearby mountain. A traditional ranch by all means, but also a popular picnic spot for beastfolk and a place of recuperation for the sick.",1033,1033,1052,1038,1026,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Mercurius Foundation","A guild that finances and buys out various businesses. They also work behind the scenes to fight those making money through illegal schemes.",1032,1032,1048,1034,1046,1080,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Twilight Caravan","Formed with a certain goal in mind, the rumors and nicknames given to each member have led to it being called the most dangerous guild in Landosol.",1056,1056,1051,1027,1013,1009,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Lucent Academy","A public school in Landosol run under the Guild Association. Ages, educational level and backgrounds vary wildly among its students.",1018,1018,1050,1016,1083,1100,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Weissflügel (Landosol Branch)","Formed with Monika at its center, the silly antics of its members contrast wildly with their ability to resolve perilous situations with ease.",1053,1053,1008,1030,1045,1055,1095,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"St. Theresa's Academy (Friendship Club)","With the goal of securing a hefty scholarship, this school club guild was formed on a whim by its members in an attempt to prove their sociable nature.",1110,1110,1108,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Dragons' Nest","A guild formed to locate and protect members of the rare dragonfolk race. Their official activities include exploring, but dark rumors abound of hidden connections to gangster activity.",1067,1067,1065,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
