daily_mission_id,disp_group,category_icon,description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,system_id,event_id,start_time,end_time
61001001,101,601,"Battle Ziz 1 time (NORMAL/HARD)",9012,0,0,0,1,61001001,6008,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
61001002,102,601,"Clear 10 event quests",9004,0,0,0,10,61001002,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
61002001,101,601,"Battle Alma 1 time (NORMAL/HARD)",9012,0,0,0,1,61002001,6008,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
61002002,102,601,"Clear 10 event quests",9004,0,0,0,10,61002002,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
61003001,101,601,"Battle Garoog 1 time (NORMAL/HARD)",9012,0,0,0,1,61003001,6008,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
61003002,102,601,"Clear 10 event quests",9004,0,0,0,10,61003002,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
61004001,101,601,"Battle Tentapus 1 time (Any Difficulty)",9012,0,0,0,1,61004001,6008,10004,"2021/06/03 23:00:00","2021/06/22 22:59:59"
61004002,102,601,"Clear 10 event quests",9004,0,0,0,10,61004002,6004,10004,"2021/06/03 23:00:00","2021/06/22 22:59:59"
61005001,101,601,"Battle the Island Whale 1 time (Any Difficulty)",9012,0,0,0,1,61005001,6008,10005,"2021/07/09 23:00:00","2021/07/28 22:59:59"
61005002,102,601,"Clear 10 event quests",9004,0,0,0,10,61005002,6004,10005,"2021/07/09 23:00:00","2021/07/28 22:59:59"
61006001,101,601,"Battle the Living Mail 1 time (Any Difficulty)",9012,0,0,0,1,61006001,6008,10006,"2021/08/18 23:00:00","2021/09/05 22:59:59"
61006002,102,601,"Clear 10 event quests",9004,0,0,0,10,61006002,6004,10006,"2021/08/18 23:00:00","2021/09/05 22:59:59"
61007001,101,601,"Battle Jack-o-Pudding 1 time (Any Difficulty)",9012,0,0,0,1,61007001,6008,10007,"2021/09/24 23:00:00","2021/10/10 22:59:59"
61007002,102,601,"Clear 10 event quests",9004,0,0,0,10,61007002,6004,10007,"2021/09/24 23:00:00","2021/10/10 22:59:59"
61008001,101,601,"Battle Olam 1 time (Any Difficulty)",9012,0,0,0,1,61008001,6008,10008,"2021/10/28 23:00:00","2021/11/11 22:59:59"
