id,event_id,type,description
1,10001,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
2,10001,1,"Progress through enough quests, and you'll encounter a powerful boss.\nYou can battle the boss by spending Boss Tickets.\nDefeating a boss will earn you Victory Medals galore, so don't hold back."
3,10001,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
4,10002,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
5,10002,1,"Progress through enough quests, and you'll encounter a powerful boss.\nYou can battle the boss by spending Boss Tickets.\nDefeating a boss will earn you Victory Medals galore, so don't hold back."
6,10002,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
7,10003,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
8,10003,1,"Progress through enough quests, and you will reach a boss.\nYou can do battle with the boss by spending Boss Tickets.\nDefeating a boss will earn you many Victory Medals, so do your best."
9,10003,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
10,10004,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
11,10004,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
12,10004,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
13,10004,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
14,10005,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
15,10005,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
16,10005,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
17,10005,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
18,10006,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
19,10006,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
20,10006,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
21,10007,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
22,10007,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
23,10007,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
24,10007,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
25,10008,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
26,10008,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
27,10008,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
28,10009,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
29,10009,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
30,10009,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
31,10009,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
32,10010,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
33,10010,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
34,10010,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
35,10010,1,"The Victory Medal Exchange is an opportunity to obtain rewards.\nAmong these rewards are Memory Shards for characters related to\nthe event. Try to collect plenty of them to unlock new party members!"
36,10010,3,"The Special Battle is a unique challenge that progresses through three\nsuccessive modes. It can only be defeated once during the event period,\nbut that defeat will not be easy! Do your best and earn great rewards!"
37,10011,1,"This event features a special story.\nNew episodes will be unlocked as you progress through the event quests."
38,10011,1,"In this event, you can unlock an exclusive character\nas a mission reward.\nTry to complete the relevant mission before the event ends."
39,10011,1,"This event features a powerful Very Hard difficulty boss.\nIt can only be defeated once each day.\nYou will need to prepare well if you hope to conquer it."
