mission_id,disp_group,category_icon,description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,system_id,event_id,visible_flag,start_time,end_time
99001001,10,601,"Defeat the Evil Magistrate 1 times (NORMAL)",9001,610015101,0,0,1,99001001,6006,10015,1,"2022/04/05 23:00:00","2030/04/01 14:59:59"
99001002,11,601,"Defeat the Evil Magistrate 1 times (HARD)",9001,610015201,0,0,1,99001002,6007,10015,1,"2022/04/05 23:00:00","2030/04/01 14:59:59"
99001003,12,601,"Defeat the Evil Magistrate 1 times (VERY HARD)",9001,610015301,0,0,1,99001003,6010,10015,1,"2022/04/05 23:00:00","2030/04/01 14:59:59"
99001004,13,601,"Defeat the Evil Magistrate 1 times (SPECIAL)",9001,610015401,0,0,1,99001004,6011,10015,1,"2022/04/05 23:00:00","2030/04/01 14:59:59"
99001005,10,601,"Defeat Petelgeuse 1 time (NORMAL)",9001,610017101,0,0,1,99001005,6006,10017,1,"2022/05/02 23:00:00","2030/04/01 14:59:59"
99001006,11,601,"Defeat Petelgeuse 1 time (HARD)",9001,610017201,0,0,1,99001006,6007,10017,1,"2022/05/02 23:00:00","2030/04/01 14:59:59"
99001007,12,601,"Defeat Petelgeuse 1 time (VERY HARD)",9001,610017301,0,0,1,99001007,6010,10017,1,"2022/05/02 23:00:00","2030/04/01 14:59:59"
99001008,13,601,"Defeat Petelgeuse 1 time (SPECIAL)",9001,610017401,0,0,1,99001008,6011,10017,1,"2022/05/02 23:00:00","2030/04/01 14:59:59"
99001009,10,601,"Defeat the Great Rain God 1 time (NORMAL)",9001,610019101,0,0,1,99001009,6006,10019,1,"2022/06/01 23:00:00","2030/04/01 14:59:59"
99001010,11,601,"Defeat the Great Rain God 1 time (HARD)",9001,610019201,0,0,1,99001010,6007,10019,1,"2022/06/01 23:00:00","2030/04/01 14:59:59"
99001011,12,601,"Defeat the Great Rain God 1 time (VERY HARD)",9001,610019301,0,0,1,99001011,6010,10019,1,"2022/06/01 23:00:00","2030/04/01 14:59:59"
99001012,13,601,"Defeat the Great Rain God 1 time (SPECIAL)",9001,610019401,0,0,1,99001012,6011,10019,1,"2022/06/01 23:00:00","2030/04/01 14:59:59"
99001017,10,601,"Defeat Majimun 1 time (NORMAL)",9001,610021101,0,0,1,99001017,6006,10021,1,"2022/07/04 23:00:00","2030/04/01 14:59:59"
99001018,11,601,"Defeat Majimun 1 time (HARD)",9001,610021201,0,0,1,99001018,6007,10021,1,"2022/07/04 23:00:00","2030/04/01 14:59:59"
99001019,12,601,"Defeat Majimun 1 time (VERY HARD)",9001,610021301,0,0,1,99001019,6010,10021,1,"2022/07/04 23:00:00","2030/04/01 14:59:59"
99001020,13,601,"Defeat Majimun 1 time (SPECIAL)",9001,610021401,0,0,1,99001020,6011,10021,1,"2022/07/04 23:00:00","2030/04/01 14:59:59"
99001021,14,601,"Achieve a total score of 300,000 in Kaori's Soulful Karate Dojo",0,0,0,0,1,99001021,6001,10021,1,"2029/04/01 15:00:00","2030/04/01 14:59:59"
