id,mission_reward_id,reward_type,reward_id,reward_num,icon_type
1,99001001,15,11001001,1,1001
2,99001001,8,91002,10,0
3,99001002,15,11001002,1,1001
4,99001002,8,91002,10,0
5,99001003,15,11001003,1,1002
6,99001003,8,91002,20,0
7,99001004,15,11001004,1,1003
8,99001004,8,91002,30,0
9,99001005,15,11001005,1,1001
10,99001005,8,91002,10,0
11,99001006,15,11001006,1,1001
12,99001006,8,91002,10,0
13,99001007,15,11001007,1,1002
14,99001007,8,91002,20,0
15,99001008,15,11001008,1,1003
16,99001008,8,91002,30,0
17,99001009,15,11001009,1,1003
18,99001009,8,91002,10,0
19,99001010,15,11001010,1,1003
20,99001010,8,91002,10,0
21,99001011,15,11001011,1,1003
22,99001011,8,91002,20,0
23,99001012,15,11001012,1,1003
24,99001012,8,91002,30,0
33,99001017,15,11001017,1,1003
34,99001017,8,91002,30,0
35,99001018,15,11001018,1,1003
36,99001018,8,91002,30,0
37,99001019,15,11001019,1,1003
38,99001019,8,91002,30,0
39,99001020,15,11001020,1,1003
40,99001020,8,91002,30,0
41,99001021,15,11001021,0,1001
42,99001022,15,11001022,0,1002
