course_id,event_id,name,map_id,sheet_id,que_id,start_area_id,end_area_id
10001,10001,"Targum Region",10001,bgm_M32,bgm_M32,10001101,10001101
10002,10002,"Macina Region",10002,bgm_M98,bgm_M98_2,10002101,10002101
10003,10003,"Landosol Outskirts",10003,bgm_M106,bgm_M106,10003101,10003101
10004,10004,"Tapas Beach",10004,bgm_M112,bgm_M112,10004101,10004101
10005,10005,"Ellusion Isle",10005,bgm_M121,bgm_M121,10005101,10005101
10006,10006,"Landosol City",10006,bgm_M128,bgm_M128,10006101,10006101
10007,10007,"Landosol Vicinity",10007,bgm_M135,bgm_M135,10007101,10007101
10008,10008,"Landosol Vicinity",10008,bgm_M121,bgm_M121,10008101,10008101
10009,10009,Holiday,10009,bgm_M171,bgm_M171,10009101,10009101
10010,10010,"Temple Trail",10010,bgm_M121,bgm_M121,10010101,10010101
10011,10011,"Valentine's",10011,bgm_M189,bgm_M189,10011101,10011101
10012,10012,"Landosol City",10012,bgm_M206,bgm_M206,10012101,10012101
10013,10013,Mysteria,10013,bgm_M215,bgm_M215,10013101,10013101
10014,10014,"Targum Region",10014,bgm_M32,bgm_M32,10014101,10014101
