quest_id,event_id,area_id,quest_seq,quest_name,position_x,position_y,icon_id,stamina,stamina_start,team_exp,unit_exp,love,limit_time,daily_limit,clear_reward_group,rank_reward_group,drop_reward_type,drop_reward_id,drop_reward_num,drop_reward_odds,background_1,wave_bgm_sheet_id_1,wave_bgm_que_id_1,story_id_wavestart_1,story_id_waveend_1,background_2,wave_bgm_sheet_id_2,wave_bgm_que_id_2,story_id_wavestart_2,story_id_waveend_2,background_3,wave_bgm_sheet_id_3,wave_bgm_que_id_3,story_id_wavestart_3,story_id_waveend_3,quest_detail_bg_id,quest_detail_bg_position,start_time,end_time
10001101,10001,10001101,1,"Targum Region 1-1",-820,-50,100020,8,1,8,120,8,90,0,610001101,610001121,0,0,0,0,100014,bgm_M41,bgm_M41,0,0,100015,bgm_M41,bgm_M41,0,0,100016,bgm_M41,bgm_M41,0,0,100014,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001102,10001,10001101,2,"Targum Region 1-2",-710,-140,100020,8,1,8,120,8,90,0,610001102,610001121,0,0,0,0,100014,bgm_M41,bgm_M41,0,0,100015,bgm_M41,bgm_M41,0,0,100016,bgm_M41,bgm_M41,0,0,100014,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001103,10001,10001101,3,"Targum Region 1-3",-620,0,100030,8,1,8,120,8,90,0,610001103,610001121,0,0,0,0,100091,bgm_M41,bgm_M41,0,0,100092,bgm_M41,bgm_M41,0,0,100093,bgm_M41,bgm_M41,0,0,100091,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001104,10001,10001101,4,"Targum Region 1-4",-500,-90,100040,8,1,8,120,8,90,0,610001104,610001121,0,0,0,0,100041,bgm_M41,bgm_M41,0,0,100042,bgm_M41,bgm_M41,0,0,100043,bgm_M41,bgm_M41,0,0,100041,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001105,10001,10001101,5,"Targum Region 1-5",-425,45,100030,8,1,8,120,8,90,0,610001105,610001121,0,0,0,0,100091,bgm_M41,bgm_M41,0,0,100092,bgm_M41,bgm_M41,0,0,100093,bgm_M41,bgm_M41,0,0,100091,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001106,10001,10001101,6,"Targum Region 1-6",-280,0,100010,9,1,9,135,9,90,0,610001106,610001121,0,0,0,0,100061,bgm_M41,bgm_M41,0,0,100062,bgm_M41,bgm_M41,0,0,100063,bgm_M41,bgm_M41,0,0,100061,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001107,10001,10001101,7,"Targum Region 1-7",-220,-160,100050,9,1,9,135,9,90,0,610001107,610001122,0,0,0,0,100021,bgm_M41,bgm_M41,0,0,100022,bgm_M41,bgm_M41,0,0,100023,bgm_M41,bgm_M41,0,0,100021,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001108,10001,10001101,8,"Targum Region 1-8",-100,-10,100040,9,1,9,135,9,90,0,610001108,610001121,0,0,0,0,100041,bgm_M41,bgm_M41,0,0,100042,bgm_M41,bgm_M41,0,0,100043,bgm_M41,bgm_M41,0,0,100041,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001109,10001,10001101,9,"Targum Region 1-9",30,30,100020,9,1,9,135,9,90,0,610001109,610001121,0,0,0,0,100014,bgm_M41,bgm_M41,0,0,100015,bgm_M41,bgm_M41,0,0,100016,bgm_M41,bgm_M41,0,0,100014,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
10001110,10001,10001101,10,"Targum Region 1-10",140,-80,100030,9,1,9,135,9,90,0,610001110,610001121,0,0,0,0,100091,bgm_M41,bgm_M41,0,0,100092,bgm_M41,bgm_M41,0,0,100093,bgm_M41,bgm_M41,0,0,100091,0,"2021/02/17 23:00:00","2021/03/10 22:59:59"
