area_id,event_id,area_name,map_type,sheet_id,que_id,start_time,end_time,area_disp,map_id,scroll_width,scroll_height,open_tutorial_id,tutorial_param_1,tutorial_param_2,additional_effect
10001101,10001,"Targum Region",201,bgm_M32,bgm_M32,"2021/02/17 23:00:00","2021/03/06 22:59:59",1,0,0,0,0,0,0,0
10001201,10001,"Targum Region",201,bgm_M32,bgm_M32,"2021/02/17 23:00:00","2021/03/06 22:59:59",1,0,0,0,0,0,0,0
10002101,10002,"Macina Region",201,bgm_M98,bgm_M98_2,"2021/03/22 23:00:00","2021/04/11 22:59:59",1,0,0,0,0,0,0,0
10002201,10002,"Macina Region",201,bgm_M98,bgm_M98_2,"2021/03/22 23:00:00","2021/04/11 22:59:59",1,0,0,0,0,0,0,0
10003101,10003,"Landosol Outskirts",201,bgm_M106,bgm_M106,"2021/04/28 23:00:00","2021/05/18 22:59:59",1,0,0,0,0,0,0,0
10003201,10003,"Landosol Outskirts",201,bgm_M106,bgm_M106,"2021/04/28 23:00:00","2021/05/18 22:59:59",1,0,0,0,0,0,0,0
10004101,10004,"Tapas Beach",201,bgm_M112,bgm_M112,"2021/06/03 23:00:00","2021/06/22 22:59:59",1,0,0,0,0,0,0,0
10004201,10004,"Tapas Beach",201,bgm_M112,bgm_M112,"2021/06/03 23:00:00","2021/06/22 22:59:59",1,0,0,0,0,0,0,0
10005101,10005,"Ellusion Isle",201,bgm_M121,bgm_M121,"2021/07/09 23:00:00","2021/07/28 22:59:59",1,0,0,0,0,0,0,0
10005201,10005,"Ellusion Isle",201,bgm_M121,bgm_M121,"2021/07/09 23:00:00","2021/07/28 22:59:59",1,0,0,0,0,0,0,0
10006101,10006,"Landosol City",201,bgm_M128,bgm_M128,"2021/08/18 23:00:00","2021/09/05 22:59:59",1,0,0,0,0,0,0,0
10006201,10006,"Landosol City",201,bgm_M128,bgm_M128,"2021/08/18 23:00:00","2021/09/05 22:59:59",1,0,0,0,0,0,0,0
10007101,10007,"Landosol Outskirts",201,bgm_M135,bgm_M135,"2021/09/24 23:00:00","2021/10/10 22:59:59",1,1,0,0,0,0,0,0
10007102,10007,"Spirit Realm",201,bgm_M29,bgm_M29,"2021/09/24 23:00:00","2021/10/10 22:59:59",1,2,0,80,1,202,208,0
10007103,10007,"Central Landosol",201,bgm_M135,bgm_M135,"2021/09/24 23:00:00","2021/10/10 22:59:59",1,3,0,0,1,202,209,1
10007201,10007,"Landosol Outskirts",201,bgm_M135,bgm_M135,"2021/09/24 23:00:00","2021/10/10 22:59:59",1,1,0,0,0,0,0,1
10008101,10008,"Landosol Vicinity",201,bgm_M162,bgm_M162,"2021/10/28 23:00:00","2021/11/11 22:59:59",1,0,35,0,0,0,0,0
10008201,10008,"Landosol Vicinity",201,bgm_M162,bgm_M162,"2021/10/28 23:00:00","2021/11/11 22:59:59",1,0,0,0,0,0,0,0
10009101,10009,"Sarendia Orphanage",201,bgm_M171,bgm_M171,"2021/11/22 23:00:00","2021/12/06 22:59:59",1,1,110,0,0,0,0,11
10009201,10009,"Landosol City",201,bgm_M171,bgm_M171,"2021/11/22 23:00:00","2021/12/06 22:59:59",1,1,0,0,0,0,0,0
10010101,10010,"Temple Trail",201,bgm_M182,bgm_M182,"2021/12/20 23:00:00","2022/01/03 22:59:59",1,1,1,180,0,0,0,0
10010201,10010,"Temple Trail",201,bgm_M182,bgm_M182,"2021/12/20 23:00:00","2022/01/03 22:59:59",1,1,0,0,0,0,0,0
10011101,10011,"Landosol City",201,bgm_M189,bgm_M189,"2022/01/18 23:00:00","2022/02/01 22:59:59",1,1,0,0,0,0,0,0
10011102,10011,"Kitchen Stadium",201,bgm_M189,bgm_M189,"2022/01/18 23:00:00","2022/02/01 22:59:59",1,2,110,0,0,0,0,0
10011201,10011,"Kitchen Stadium",201,bgm_M189,bgm_M189,"2022/01/18 23:00:00","2022/02/01 22:59:59",1,1,0,0,0,0,0,0
10012101,10012,"Landosol City",201,bgm_M206,bgm_M206,"2022/02/14 23:00:00","2022/03/01 22:59:59",1,1,115,0,0,0,0,0
10012201,10012,"Landosol City",201,bgm_M206,bgm_M206,"2022/02/14 23:00:00","2022/03/01 22:59:59",1,1,0,0,0,0,0,0
10013101,10013,"Mount Gastros",201,bgm_M215,bgm_M215,"2022/03/10 23:00:00","2022/03/23 22:59:59",1,1,110,0,0,0,0,0
10013102,10013,"Shining Rift",201,bgm_M215,bgm_M215,"2022/03/10 23:00:00","2022/03/23 22:59:59",1,2,0,0,1,202,208,11
10013201,10013,"Shining Rift",201,bgm_M215,bgm_M215,"2022/03/10 23:00:00","2022/03/23 22:59:59",1,1,0,0,0,0,0,0
10014101,10014,"Targum Region",201,bgm_M32,bgm_M32,"2022/03/24 23:00:00","2022/03/30 22:59:59",1,1,0,0,0,0,0,0
10014201,10014,"Targum Region",201,bgm_M32,bgm_M32,"2022/03/24 23:00:00","2022/03/30 22:59:59",1,0,0,0,0,0,0,0
10015101,10015,"Oedo Town",201,bgm_M223,bgm_M223,"2022/04/05 23:00:00","2022/04/16 22:59:59",1,1,120,0,0,0,0,0
10015201,10015,"Oedo Town",201,bgm_M223,bgm_M223,"2022/04/05 23:00:00","2022/04/16 22:59:59",1,1,0,0,0,0,0,0
10016101,10016,"Macina Region",201,bgm_M98,bgm_M98_2,"2022/04/18 23:00:00","2022/04/25 22:59:59",1,0,0,0,0,0,0,0
10016201,10016,"Macina Region",201,bgm_M98,bgm_M98_2,"2022/04/18 23:00:00","2022/04/25 22:59:59",1,0,0,0,0,0,0,0
10017101,10017,"Landosol Vicinity",201,bgm_M228,bgm_M228,"2022/05/02 23:00:00","2022/05/14 22:59:59",1,1,70,0,0,0,0,0
10017102,10017,"Remote Village",201,bgm_M228,bgm_M228,"2022/05/02 23:00:00","2022/05/14 22:59:59",1,2,0,0,0,0,0,0
10017201,10017,"Remote Village",201,bgm_M228,bgm_M228,"2022/05/02 23:00:00","2022/05/14 22:59:59",1,1,0,0,0,0,0,0
10018101,10018,"Landosol Outskirts",201,bgm_M106,bgm_M106,"2022/05/15 23:00:00","2022/05/24 22:59:59",1,0,0,0,0,0,0,0
10018201,10018,"Landosol Outskirts",201,bgm_M106,bgm_M106,"2022/05/15 23:00:00","2022/05/24 22:59:59",1,0,0,0,0,0,0,0
10019101,10019,"Rainshine Beach",201,bgm_M237,bgm_M237,"2022/06/01 23:00:00","2022/06/15 22:59:59",1,1,100,0,0,0,0,12
10019201,10019,"Rainshine Beach",201,bgm_M237,bgm_M237,"2022/06/01 23:00:00","2022/06/15 22:59:59",1,0,0,0,0,0,0,0
10020101,10020,"Tapas Beach",201,bgm_M112,bgm_M112,"2022/06/19 23:00:00","2022/06/27 22:59:59",1,0,0,0,0,0,0,0
10020201,10020,"Tapas Beach",201,bgm_M112,bgm_M112,"2022/06/19 23:00:00","2022/06/27 22:59:59",1,0,0,0,0,0,0,0
10021101,10021,"Maho-Maho Kingdom Resort?",201,bgm_M245,bgm_M245_02,"2022/07/04 23:00:00","2022/07/17 22:59:59",1,0,150,0,0,0,0,0
10021201,10021,"Maho-Maho Kingdom Resort?",201,bgm_M245,bgm_M245_02,"2022/07/04 23:00:00","2022/07/17 22:59:59",1,0,0,0,0,0,0,0
10022101,10022,"Ellusion Isle",201,bgm_M121,bgm_M121,"2022/07/19 23:00:00","2022/07/25 22:59:59",1,0,0,0,0,0,0,0
10022201,10022,"Ellusion Isle",201,bgm_M121,bgm_M121,"2022/07/19 23:00:00","2022/07/25 22:59:59",1,0,0,0,0,0,0,0
10023101,10023,"St. Theresa's Academy",201,bgm_M254,bgm_M254,"2022/08/04 23:00:00","2022/08/18 22:59:59",1,1,70,0,0,0,0,0
10023201,10023,"St. Theresa's Academy",201,bgm_M254,bgm_M254,"2022/08/04 23:00:00","2022/08/18 22:59:59",1,0,0,0,0,0,0,0
10024101,10024,"Landosol City",201,bgm_M128,bgm_M128,"2022/08/19 23:00:00","2022/08/25 22:59:59",1,0,0,0,0,0,0,0
10024201,10024,"Landosol City",201,bgm_M128,bgm_M128,"2022/08/19 23:00:00","2022/08/25 22:59:59",1,0,0,0,0,0,0,0
10025101,10025,"Terror House Gardens",201,bgm_M265,bgm_M265_Top,"2022/09/01 23:00:00","2022/09/15 22:59:59",1,1,0,0,0,0,0,0
10025102,10025,"Ghostly Graveyard",201,bgm_M265,bgm_M265_Top,"2022/09/01 23:00:00","2022/09/15 22:59:59",1,2,0,0,1,202,0,0
10025201,10025,"Ghostly Graveyard",201,bgm_M265,bgm_M265_Top,"2022/09/01 23:00:00","2022/09/15 22:59:59",1,1,0,0,0,0,0,0
10026101,10026,"Landosol Outskirts",201,bgm_M135,bgm_M135,"2022/09/17 23:00:00","2022/09/24 22:59:59",1,1,0,0,0,0,0,0
10026102,10026,"Spirit Realm",201,bgm_M29,bgm_M29,"2022/09/17 23:00:00","2022/09/24 22:59:59",1,2,0,80,1,202,208,0
10026103,10026,"Central Landosol",201,bgm_M135,bgm_M135,"2022/09/17 23:00:00","2022/09/24 22:59:59",1,3,0,0,1,202,209,1
10026201,10026,"Landosol Outskirts",201,bgm_M135,bgm_M135,"2022/09/17 23:00:00","2022/09/24 22:59:59",1,1,0,0,0,0,0,31
10027101,10027,"Elpis Island: Camp Vicinity",201,bgm_M273,bgm_M273,"2022/10/02 23:00:00","2022/10/16 22:59:59",1,0,90,0,0,0,0,0
10027201,10027,"Elpis Island: Camp Vicinity",201,bgm_M273,bgm_M273,"2022/10/02 23:00:00","2022/10/16 22:59:59",1,0,0,0,0,0,0,0
10028101,10028,"Landosol Vicinity",201,bgm_M162,bgm_M162,"2022/10/17 23:00:00","2022/10/25 22:59:59",1,0,35,0,0,0,0,0
10028201,10028,"Landosol Vicinity",201,bgm_M162,bgm_M162,"2022/10/17 23:00:00","2022/10/25 22:59:59",1,0,0,0,0,0,0,0
10029101,10029,"Landosol City: Outskirts",201,bgm_M281,bgm_M281,"2022/11/01 23:00:00","2022/11/15 22:59:59",1,1,0,0,0,0,0,0
10029102,10029,"Landosol City: Central Plaza",201,bgm_M281,bgm_M281,"2022/11/01 23:00:00","2022/11/15 22:59:59",1,2,0,0,0,0,0,11
10029201,10029,"Landosol City: Central Plaza",201,bgm_M281,bgm_M281,"2022/11/01 23:00:00","2022/11/15 22:59:59",1,1,0,0,0,0,0,0
