relay_story_id,is_enable_read,condition_quest_id,story_seq,sub_title
1001001,1,10031103,1,"リマのインタビュー"
1001002,1,10031103,2,"キャルのインタビュー"
1001003,1,10031103,3,"タマキのインタビュー"
1001004,1,10031103,4,"トモのインタビュー"
1002001,1,10031105,5,"クリスティーナ・アキノのインタビュー"
1002002,1,10031105,6,"シオリ・キョウカのインタビュー"
1002003,1,10031105,7,"ぺコリーヌのインタビュー"
1002004,1,10031105,8,"モニカのインタビュー"
1003001,1,10031109,9,"アユミのインタビュー"
1003002,1,10031109,10,"リンのインタビュー"
1003003,1,10031109,11,"ミソギのインタビュー"
1003004,1,10031109,12,"ジュンのインタビュー"
1004001,1,10031113,13,"ミミのインタビュー"
1004002,1,10031113,14,"スズメのインタビュー"
1004003,1,10031113,15,"ユカリのインタビュー"
1004004,1,10031113,16,"マツリのインタビュー"
2001001,1,10031102,17,"1区レース開始前"
2001002,1,10031103,18,"1区レース終了後"
2002001,1,10031105,19,"2区レース開始前"
2002002,1,10031105,20,"2区レース終了後"
2003001,1,10031107,21,"3区レース開始前"
2003002,1,10031109,22,"3区レース終了後"
2004001,1,10031109,23,"4区レース開始前"
2004002,1,10031113,24,"4区レース終了後"
3001001,1,10031102,25,"美食殿ギルド紹介"
3001002,1,10031102,26,"王宮騎士団ギルド紹介"
3001003,1,10031102,27,"リトルリリカルギルド紹介"
3001004,1,10031102,28,"ヴァイスフリューゲルギルド紹介"
3001005,1,10031102,29,"メルクリウス財団ギルド紹介"
3001006,1,10031102,30,"エリザベスパークギルド紹介"
3002001,1,10031115,31,"美食殿レース感想"
3002002,1,10031115,32,"王宮騎士団レース感想"
3002003,1,10031115,33,"リトルリリカルレース感想"
3002004,1,10031115,34,"ヴァイスフリューゲルレース感想"
3002005,1,10031115,35,"メルクリウス財団レース感想"
3002006,1,10031115,36,"エリザベスパークレース感想"
4001001,1,10031103,37,"1区ハイライト　１"
4001002,1,10031103,38,"1区ハイライト　２"
4001003,1,10031103,39,"1区ハイライト　３"
4002001,1,10031105,40,"2区ハイライト　１"
4002002,1,10031105,41,"2区ハイライト　２"
4002003,1,10031105,42,"2区ハイライト　３"
4003001,1,10031107,43,"3区ハイライト　１"
4003002,1,10031107,44,"3区ハイライト　２"
4004001,1,10031109,45,"4区ハイライト　１"
4004002,1,10031111,46,"4区ハイライト　２"
4004003,1,10031111,47,"4区ハイライト　３"
4004004,1,10031113,48,"4区ハイライト　４"
