stationary_mission_id,disp_group,category_icon,description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,system_id,event_id,start_time,end_time
71001001,102,601,"Clear Event Quest 1-1 (NORMAL)",9003,10001101,0,0,1,71001001,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001002,102,601,"Clear Event Quest 1-2 (NORMAL)",9003,10001102,0,0,1,71001002,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001003,102,601,"Clear Event Quest 1-3 (NORMAL)",9003,10001103,0,0,1,71001003,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001004,102,601,"Clear Event Quest 1-4 (NORMAL)",9003,10001104,0,0,1,71001004,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001005,102,601,"Clear Event Quest 1-5 (NORMAL)",9003,10001105,0,0,1,71001005,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001006,102,601,"Clear Event Quest 1-6 (NORMAL)",9003,10001106,0,0,1,71001006,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001007,102,601,"Clear Event Quest 1-7 (NORMAL)",9003,10001107,0,0,1,71001007,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001008,102,601,"Clear Event Quest 1-8 (NORMAL)",9003,10001108,0,0,1,71001008,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001009,102,601,"Clear Event Quest 1-9 (NORMAL)",9003,10001109,0,0,1,71001009,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001010,102,601,"Clear Event Quest 1-10 (NORMAL)",9003,10001110,0,0,1,71001010,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001011,102,601,"Clear Event Quest 1-11 (NORMAL)",9003,10001111,0,0,1,71001011,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001012,102,601,"Clear Event Quest 1-12 (NORMAL)",9003,10001112,0,0,1,71001012,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001013,102,601,"Clear Event Quest 1-13 (NORMAL)",9003,10001113,0,0,1,71001013,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001014,102,601,"Clear Event Quest 1-14 (NORMAL)",9003,10001114,0,0,1,71001014,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001015,102,601,"Clear Event Quest 1-15 (NORMAL)",9003,10001115,0,0,1,71001015,6004,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001016,103,601,"Clear Event Quest 1-1 (HARD)",9003,10001201,0,0,1,71001016,6005,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001017,103,601,"Clear Event Quest 1-2 (HARD)",9003,10001202,0,0,1,71001017,6005,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001018,103,601,"Clear Event Quest 1-3 (HARD)",9003,10001203,0,0,1,71001018,6005,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001019,103,601,"Clear Event Quest 1-4 (HARD)",9003,10001204,0,0,1,71001019,6005,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001020,103,601,"Clear Event Quest 1-5 (HARD)",9003,10001205,0,0,1,71001020,6005,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001021,104,601,"Reset the Victory Medal Exchange lineup 1 time",9006,0,0,0,1,71001021,6002,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001022,104,601,"Reset the Victory Medal Exchange lineup 2 times",9006,0,0,0,2,71001022,6002,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001023,104,601,"Reset the Victory Medal Exchange lineup 3 times",9006,0,0,0,3,71001023,6002,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001024,104,601,"Reset the Victory Medal Exchange lineup 4 times",9006,0,0,0,4,71001024,6002,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001025,105,601,"Defeat Ziz 5 times (NORMAL/HARD)",9011,0,0,0,5,71001025,6008,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001026,105,601,"Defeat Ziz 10 times (NORMAL/HARD)",9011,0,0,0,10,71001026,6008,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001027,105,601,"Defeat Ziz 15 times (NORMAL/HARD)",9011,0,0,0,15,71001027,6008,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001028,105,601,"Defeat Ziz 20 times (NORMAL/HARD)",9011,0,0,0,20,71001028,6008,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001029,105,601,"Defeat Ziz 25 times (NORMAL/HARD)",9011,0,0,0,25,71001029,6008,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71001030,105,601,"Defeat Ziz 30 times (NORMAL/HARD)",9011,0,0,0,30,71001030,6008,10001,"2021/02/17 23:00:00","2021/03/06 22:59:59"
71002001,102,601,"Clear Event Quest 1-1 (NORMAL)",9003,10002101,0,0,1,71002001,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002002,102,601,"Clear Event Quest 1-2 (NORMAL)",9003,10002102,0,0,1,71002002,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002003,102,601,"Clear Event Quest 1-3 (NORMAL)",9003,10002103,0,0,1,71002003,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002004,102,601,"Clear Event Quest 1-4 (NORMAL)",9003,10002104,0,0,1,71002004,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002005,102,601,"Clear Event Quest 1-5 (NORMAL)",9003,10002105,0,0,1,71002005,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002006,102,601,"Clear Event Quest 1-6 (NORMAL)",9003,10002106,0,0,1,71002006,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002007,102,601,"Clear Event Quest 1-7 (NORMAL)",9003,10002107,0,0,1,71002007,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002008,102,601,"Clear Event Quest 1-8 (NORMAL)",9003,10002108,0,0,1,71002008,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002009,102,601,"Clear Event Quest 1-9 (NORMAL)",9003,10002109,0,0,1,71002009,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002010,102,601,"Clear Event Quest 1-10 (NORMAL)",9003,10002110,0,0,1,71002010,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002011,102,601,"Clear Event Quest 1-11 (NORMAL)",9003,10002111,0,0,1,71002011,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002012,102,601,"Clear Event Quest 1-12 (NORMAL)",9003,10002112,0,0,1,71002012,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002013,102,601,"Clear Event Quest 1-13 (NORMAL)",9003,10002113,0,0,1,71002013,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002014,102,601,"Clear Event Quest 1-14 (NORMAL)",9003,10002114,0,0,1,71002014,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002015,102,601,"Clear Event Quest 1-15 (NORMAL)",9003,10002115,0,0,1,71002015,6004,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002016,103,601,"Clear Event Quest 1-1 (HARD)",9003,10002201,0,0,1,71002016,6005,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002017,103,601,"Clear Event Quest 1-2 (HARD)",9003,10002202,0,0,1,71002017,6005,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002018,103,601,"Clear Event Quest 1-3 (HARD)",9003,10002203,0,0,1,71002018,6005,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002019,103,601,"Clear Event Quest 1-4 (HARD)",9003,10002204,0,0,1,71002019,6005,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002020,103,601,"Clear Event Quest 1-5 (HARD)",9003,10002205,0,0,1,71002020,6005,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002021,104,601,"Reset the Victory Medal Exchange lineup 1 time",9006,0,0,0,1,71002021,6002,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002022,104,601,"Reset the Victory Medal Exchange lineup 2 times",9006,0,0,0,2,71002022,6002,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002023,104,601,"Reset the Victory Medal Exchange lineup 3 times",9006,0,0,0,3,71002023,6002,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002024,104,601,"Reset the Victory Medal Exchange lineup 4 times",9006,0,0,0,4,71002024,6002,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002025,105,601,"Defeat Alma 5 times (NORMAL/HARD)",9011,0,0,0,5,71002025,6008,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002026,105,601,"Defeat Alma 10 times (NORMAL/HARD)",9011,0,0,0,10,71002026,6008,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002027,105,601,"Defeat Alma 15 times (NORMAL/HARD)",9011,0,0,0,15,71002027,6008,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002028,105,601,"Defeat Alma 20 times (NORMAL/HARD)",9011,0,0,0,20,71002028,6008,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002029,105,601,"Defeat Alma 25 times (NORMAL/HARD)",9011,0,0,0,25,71002029,6008,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71002030,105,601,"Defeat Alma 30 times (NORMAL/HARD)",9011,0,0,0,30,71002030,6008,10002,"2021/03/22 23:00:00","2021/04/11 22:59:59"
71003001,102,601,"Clear Event Quest 1-1 (NORMAL)",9003,10003101,0,0,1,71003001,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003002,102,601,"Clear Event Quest 1-2 (NORMAL)",9003,10003102,0,0,1,71003002,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003003,102,601,"Clear Event Quest 1-3 (NORMAL)",9003,10003103,0,0,1,71003003,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003004,102,601,"Clear Event Quest 1-4 (NORMAL)",9003,10003104,0,0,1,71003004,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003005,102,601,"Clear Event Quest 1-5 (NORMAL)",9003,10003105,0,0,1,71003005,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003006,102,601,"Clear Event Quest 1-6 (NORMAL)",9003,10003106,0,0,1,71003006,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003007,102,601,"Clear Event Quest 1-7 (NORMAL)",9003,10003107,0,0,1,71003007,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003008,102,601,"Clear Event Quest 1-8 (NORMAL)",9003,10003108,0,0,1,71003008,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003009,102,601,"Clear Event Quest 1-9 (NORMAL)",9003,10003109,0,0,1,71003009,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003010,102,601,"Clear Event Quest 1-10 (NORMAL)",9003,10003110,0,0,1,71003010,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003011,102,601,"Clear Event Quest 1-11 (NORMAL)",9003,10003111,0,0,1,71003011,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003012,102,601,"Clear Event Quest 1-12 (NORMAL)",9003,10003112,0,0,1,71003012,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003013,102,601,"Clear Event Quest 1-13 (NORMAL)",9003,10003113,0,0,1,71003013,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003014,102,601,"Clear Event Quest 1-14 (NORMAL)",9003,10003114,0,0,1,71003014,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003015,102,601,"Clear Event Quest 1-15 (NORMAL)",9003,10003115,0,0,1,71003015,6004,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
71003016,103,601,"Clear Event Quest 1-1 (HARD)",9003,10003201,0,0,1,71003016,6005,10003,"2021/04/28 23:00:00","2021/05/18 22:59:59"
