story_id,event_id,condition_entry,condition_quest_id,condition_boss_id,condition_mission_id,condition_time,condition_story_id
5001000,20001,1,0,0,0,0,0
5001001,20001,0,20001103,0,0,0,0
5001002,20001,0,20001105,0,0,0,0
5001003,20001,0,20001107,0,0,0,0
5001004,20001,0,20001109,0,0,0,0
5001005,20001,0,20001112,0,0,0,0
5001006,20001,0,20001115,0,0,0,0
5001007,20001,0,0,2000101,0,0,0
5002000,20002,1,0,0,0,0,0
5002001,20002,0,20002103,0,0,0,0
5002002,20002,0,20002105,0,0,0,0
5002003,20002,0,20002107,0,0,0,0
5002004,20002,0,20002109,0,0,0,0
5002005,20002,0,20002112,0,0,0,0
5002006,20002,0,20002115,0,0,0,0
5002007,20002,0,0,2000201,0,0,0
5003000,20003,1,0,0,0,0,0
5003001,20003,0,20003103,0,0,0,0
5003002,20003,0,20003105,0,0,0,0
5003003,20003,0,20003107,0,0,0,0
5003004,20003,0,20003109,0,0,0,0
5003005,20003,0,20003112,0,0,0,0
5003006,20003,0,20003115,0,0,0,0
5003007,20003,0,0,2000301,0,0,0
5004000,10020,1,0,0,0,0,0
5004001,10020,0,10020103,0,0,0,0
5004002,10020,0,10020105,0,0,0,0
5004003,10020,0,10020107,0,0,0,0
5004004,10020,0,10020109,0,0,0,0
5004005,10020,0,10020112,0,0,0,0
5004006,10020,0,10020115,0,0,0,0
5004007,10020,0,0,1002001,0,0,0
5005000,10022,1,0,0,0,0,0
5005001,10022,0,10022103,0,0,0,0
5005002,10022,0,10022105,0,0,0,0
5005003,10022,0,10022107,0,0,0,0
5005004,10022,0,10022109,0,0,0,0
5005005,10022,0,10022112,0,0,0,0
5005006,10022,0,10022115,0,0,0,0
5005007,10022,0,0,1002201,0,0,0
5006000,10024,1,0,0,0,0,0
5006001,10024,0,10024103,0,0,0,0
5006002,10024,0,10024105,0,0,0,0
5006003,10024,0,10024107,0,0,0,0
5006004,10024,0,10024109,0,0,0,0
5006005,10024,0,10024112,0,0,0,0
5006006,10024,0,10024115,0,0,0,0
5006007,10024,0,0,1002401,0,0,0
5007000,10026,1,0,0,0,0,0
5007001,10026,0,10026103,0,0,0,0
5007002,10026,0,10026105,0,0,0,0
5007003,10026,0,10026107,0,0,0,0
5007004,10026,0,10026109,0,0,0,0
5007005,10026,0,10026112,0,0,0,0
5007006,10026,0,10026115,0,0,0,0
5007007,10026,0,0,1002601,0,0,0
5008000,10028,1,0,0,0,0,0
5008001,10028,0,10028103,0,0,0,0
5008002,10028,0,10028104,0,0,0,0
5008003,10028,0,10028105,0,0,0,0
5008004,10028,0,10028107,0,0,0,0
5008005,10028,0,10028111,0,0,0,0
5008006,10028,0,10028115,0,0,0,0
5008007,10028,0,0,1002801,0,0,0
5009000,10030,1,0,0,0,0,0
5009001,10030,0,10030103,0,0,0,0
5009002,10030,0,10030105,0,0,0,0
5009003,10030,0,10030107,0,0,0,0
5009004,10030,0,10030109,0,0,0,0
5009005,10030,0,10030112,0,0,0,0
5009006,10030,0,10030115,0,0,0,0
5009007,10030,0,0,1003001,0,0,0
5010000,10032,1,0,0,0,0,0
5010001,10032,0,10032103,0,0,0,0
5010002,10032,0,10032105,0,0,0,0
5010003,10032,0,10032107,0,0,0,0
5010004,10032,0,10032109,0,0,0,0
5010005,10032,0,10032112,0,0,0,0
5010006,10032,0,10032115,0,0,0,0
5010007,10032,0,0,1003201,0,0,0
5010501,10032,0,0,1003201,0,0,0
5011000,10034,1,0,0,0,0,0
5011001,10034,0,10034103,0,0,0,0
5011002,10034,0,10034105,0,0,0,0
5011003,10034,0,10034107,0,0,0,0
5011004,10034,0,10034109,0,0,0,0
5011005,10034,0,10034112,0,0,0,0
5011006,10034,0,10034115,0,0,0,0
5011007,10034,0,0,1003401,0,0,0
5012000,10037,1,0,0,0,0,0
5012001,10037,0,10037103,0,0,0,0
5012002,10037,0,10037105,0,0,0,0
5012003,10037,0,10037107,0,0,0,0
5012004,10037,0,10037109,0,0,0,0
5012005,10037,0,10037112,0,0,0,0
5012006,10037,0,10037115,0,0,0,0
5012007,10037,0,0,1003701,0,0,0
5013000,10039,1,0,0,0,0,0
5013001,10039,0,10039102,0,0,0,0
5013002,10039,0,10039104,0,0,0,0
5013003,10039,0,10039105,0,0,0,0
5013004,10039,0,10039107,0,0,0,0
5013005,10039,0,10039109,0,0,0,0
5013006,10039,0,10039111,0,0,0,0
5013007,10039,0,0,1003901,0,0,0
5015000,10041,1,0,0,0,0,0
5015001,10041,0,10041103,0,0,0,0
5015002,10041,0,10041105,0,0,0,0
5015003,10041,0,10041107,0,0,0,0
5015004,10041,0,10041109,0,0,0,0
5015005,10041,0,10041112,0,0,0,0
5015006,10041,0,10041115,0,0,0,0
5015007,10041,0,0,1004101,0,0,0
5017000,10017,1,0,0,0,0,0
5017001,10017,0,10017102,0,0,0,0
5017002,10017,0,10017104,0,0,0,0
5017003,10017,0,10017105,0,0,0,0
5017004,10017,0,10017108,0,0,0,0
5017005,10017,0,10017112,0,0,0,0
5017006,10017,0,10017115,0,0,0,0
5017007,10017,0,0,1001701,0,0,0
5019000,10019,1,0,0,0,0,0
5019001,10019,0,10019101,0,0,0,0
5019002,10019,0,10019103,0,0,0,0
5019003,10019,0,10019105,0,0,0,0
5019004,10019,0,10019107,0,0,0,0
5019005,10019,0,10019109,0,0,0,0
5019006,10019,0,10019111,0,0,0,0
5019007,10019,0,0,1001901,0,0,0
5021000,10021,1,0,0,0,0,0
5021001,10021,0,10021103,0,0,0,0
5021002,10021,0,10021105,0,0,0,0
5021003,10021,0,10021107,0,0,0,0
5021004,10021,0,10021109,0,0,0,0
5021005,10021,0,10021112,0,0,0,0
5021006,10021,0,10021115,0,0,0,0
5021007,10021,0,0,1002101,0,0,0
5023000,10023,1,0,0,0,0,0
5023001,10023,0,10023103,0,0,0,0
5023002,10023,0,10023105,0,0,0,0
5023003,10023,0,10023107,0,0,0,0
5023004,10023,0,10023109,0,0,0,0
5023005,10023,0,10023112,0,0,0,0
5023006,10023,0,10023115,0,0,0,0
5023007,10023,0,0,1002301,0,0,0
5025000,10025,1,0,0,0,0,0
5025001,10025,0,10025103,0,0,0,0
5025002,10025,0,10025105,0,0,0,0
5025003,10025,0,10025107,0,0,0,0
5025004,10025,0,10025109,0,0,0,0
5025005,10025,0,10025112,0,0,0,0
5025006,10025,0,10025115,0,0,0,0
5025007,10025,0,0,1002501,0,0,0
5025008,10025,0,0,1002501,0,0,0
5027000,10027,1,0,0,0,0,0
5027001,10027,0,10027102,0,0,0,0
5027002,10027,0,10027105,0,0,0,0
5027003,10027,0,10027107,0,0,0,0
5027004,10027,0,10027109,0,0,0,0
5027005,10027,0,10027112,0,0,0,0
5027006,10027,0,10027115,0,0,0,0
5027007,10027,0,0,1002701,0,0,0
5029000,10029,1,0,0,0,0,0
5029001,10029,0,10029103,0,0,0,0
5029002,10029,0,10029105,0,0,0,0
5029003,10029,0,10029107,0,0,0,0
5029004,10029,0,10029109,0,0,0,0
5029005,10029,0,10029112,0,0,0,0
5029006,10029,0,10029115,0,0,0,0
5029007,10029,0,0,1002901,0,0,0
5031000,10031,1,0,0,0,0,0
5031001,10031,0,10031103,0,0,0,0
5031002,10031,0,10031105,0,0,0,0
5031003,10031,0,10031107,0,0,0,0
5031004,10031,0,10031109,0,0,0,0
5031005,10031,0,10031111,0,0,0,0
5031006,10031,0,10031113,0,0,0,0
5031007,10031,0,10031115,0,0,0,0
5031501,10031,0,0,1003101,0,0,0
5033000,10033,1,0,0,0,0,0
5033001,10033,0,10033103,0,0,0,0
5033002,10033,0,10033105,0,0,0,0
5033003,10033,0,10033107,0,0,0,0
5033004,10033,0,10033109,0,0,0,0
5033005,10033,0,10033112,0,0,0,0
5033006,10033,0,10033115,0,0,0,0
5033007,10033,0,0,1003301,0,0,0
5033008,10033,0,0,1003301,0,0,0
5035000,10035,1,0,0,0,0,0
5035001,10035,0,10035103,0,0,0,0
5035002,10035,0,10035107,0,0,0,0
5035003,10035,0,10035111,0,0,0,0
5035004,10035,0,10035115,0,0,0,0
5035005,10035,0,0,1003501,0,0,0
5036001,10036,0,10036103,0,0,0,0
5036002,10036,0,10036107,0,0,0,0
5036003,10036,0,10036111,0,0,0,0
5036004,10036,0,10036115,0,0,0,0
5036005,10036,0,0,1003601,0,0,0
5036201,10036,1,0,0,0,0,0
5038000,10038,1,0,0,0,0,0
5038001,10038,0,10038102,0,0,0,0
5038002,10038,0,10038104,0,0,0,0
5038003,10038,0,10038107,0,0,0,0
5038004,10038,0,10038109,0,0,0,0
5038005,10038,0,10038111,0,0,0,0
5038006,10038,0,10038115,0,0,0,0
5038007,10038,0,0,1003801,0,0,0
5040000,10040,1,0,0,0,0,0
5040001,10040,0,10040102,0,0,0,0
5040002,10040,0,10040105,0,0,0,0
5040003,10040,0,10040107,0,0,0,0
5040004,10040,0,10040109,0,0,0,0
5040005,10040,0,10040112,0,0,0,0
5040006,10040,0,10040115,0,0,0,0
5040007,10040,0,0,1004001,0,0,0
