id,kmk_score,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
1,20000,"スコアを累計で20000獲得しよう",12,94002,5000,0,0,0,0,0,0,0,0,0,0,0,0
2,40000,"スコアを累計で40000獲得しよう",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
3,60000,"スコアを累計で60000獲得しよう",12,94002,15000,0,0,0,0,0,0,0,0,0,0,0,0
4,80000,"スコアを累計で80000獲得しよう",12,94002,20000,0,0,0,0,0,0,0,0,0,0,0,0
5,100000,"スコアを累計で100000獲得しよう",8,91002,50,2,23001,5,0,0,0,0,0,0,0,0,0
6,120000,"スコアを累計で120000獲得しよう",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
7,140000,"スコアを累計で140000獲得しよう",12,94002,30000,0,0,0,0,0,0,0,0,0,0,0,0
8,160000,"スコアを累計で160000獲得しよう",12,94002,35000,0,0,0,0,0,0,0,0,0,0,0,0
9,180000,"スコアを累計で180000獲得しよう",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
10,200000,"スコアを累計で200000獲得しよう",8,91002,50,2,23001,5,0,0,0,0,0,0,0,0,0
11,220000,"スコアを累計で220000獲得しよう",12,94002,55000,0,0,0,0,0,0,0,0,0,0,0,0
12,240000,"スコアを累計で240000獲得しよう",12,94002,35000,0,0,0,0,0,0,0,0,0,0,0,0
13,260000,"スコアを累計で260000獲得しよう",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
14,280000,"スコアを累計で280000獲得しよう",12,94002,45000,0,0,0,0,0,0,0,0,0,0,0,0
15,300000,"スコアを累計で300000獲得しよう",15,11001021,1,8,91002,150,2,23001,10,0,0,0,0,0,0
