movie_id,story_group_id,story_id,bgm_id,se_id,my_page_flag,fade_loop_flag,bgm_volume_rate
1000101,5001,5001000,bgm_M32,"",0,0,1.0
1000201,5002,5002000,bgm_M98,"",0,0,1.0
1000301,5003,5003000,bgm_M106,"",0,0,1.0
1000401,5004,5004000,bgm_M112,"",0,0,1.0
1000501,5005,5005000,bgm_M121,"",0,0,1.0
1000601,5006,5006000,bgm_M128,"",0,0,1.0
1000701,5007,5007000,bgm_M135,"",0,0,1.0
1000801,5008,5008000,bgm_M162,"",0,0,1.0
1000901,5009,5009000,bgm_M171,"",0,0,1.0
1001001,5010,5010000,bgm_M182_02,"",0,0,1.0
1001101,5011,5011000,bgm_M189,"",0,0,1.0
1001201,5012,5012000,bgm_M206,"",0,0,1.0
1001301,5013,5013000,bgm_M215,"",0,0,1.0
1001501,5015,5015000,bgm_M223,"",0,0,1.0
1001701,5017,5017000,"","",0,0,1.0
1001901,5019,5019000,bgm_M237,"",0,0,1.0
1002101,5021,5021000,bgm_M245_02,"",0,0,1.0
1002301,5023,5023000,bgm_M254,"",0,0,1.0
1002501,5025,5025000,bgm_M265_Top,"",0,0,1.0
1002701,5027,5027000,bgm_M273,"",0,0,1.0
1002901,5029,5029000,bgm_M281,"",0,0,1.0
1003101,5031,5031000,bgm_M294,"",0,0,1.0
1003301,5033,5033000,bgm_M316,"",0,0,1.0
1003601,5036,5036001,bgm_M341,"",0,0,1.0
1003801,5038,5038000,bgm_M343,"",0,0,1.0
1004001,5040,5040000,bgm_M351,"",0,0,1.0
1004201,5042,5042000,bgm_M375,"",0,0,1.0
1004401,5044,5044000,bgm_M380A,"",0,0,1.0
1004601,5046,5046000,bgm_M393,"",0,0,1.0
1004801,5048,5048000,bgm_M403,"",0,0,1.0
1005001,5050,5050000,bgm_M413,"",0,0,1.0
1005201,5052,5052000,bgm_M421,"",0,0,1.0
180200301,1802,1802003,"","",0,0,1.0
180400301,1804,1804003,"","",0,0,1.0
180500301,1805,1805003,"","",0,0,1.0
200000101,2000,2000001,"",amb_adv_mystery_01,0,0,1.0
200000102,2000,2000001,bgm_M38,"",0,0,1.0
200000103,2000,2000001,bgm_M38,"",0,0,1.0
200000201,2000,2000002,"","",0,0,1.0
200000280,2000,2000002,"","",0,0,1.0
