id,name,start_time,end_time,disp_order
1,Pink,"2022/04/26 13:00:00","",12
2,Red,"2022/04/26 13:00:00","",13
3,Yellow,"2022/04/26 13:00:00","",14
4,Green,"2022/04/26 13:00:00","",15
5,"Light Blue","2022/04/26 13:00:00","",16
6,Blue,"2022/04/26 13:00:00","",17
7,Purple,"2022/04/26 13:00:00","",18
8,Grey,"2022/04/26 13:00:00","",19
9,"Summer Beach (Sunrise)","2022/06/01 23:00:00","",9
10,"Summer Beach (Sunset)","2022/06/01 23:00:00","",10
11,"Summer Beach (Starry Sky)","2022/06/01 23:00:00","",11
12,"Underwater Scenery","2022/07/01 23:00:00","",8
13,"Halloween (Afternoon)","2022/09/01 23:00:00","",6
14,"Halloween (Evening)","2022/09/01 23:00:00","",7
15,"Autumn Scenery - Mushroom Valley","2022/09/17 23:00:00","",4
16,"Mushroom Creek","2022/09/17 23:00:00","",5
17,"Festive (Afternoon)","2022/11/12 23:00:00","",2
18,"Festive (Evening)","2022/11/12 23:00:00","",3
19,"First Sunrise","2022/12/27 23:00:00","",1
