unit_id,notif_type,comment
100101,1,"stamina is back at full! I'm bursting with energy, too! Once you're ready, let's get out there and do some quests!"
100101,2,"You have full skip tickets at the guildhouse! Let's go bop those baddies lickety-split!"
100101,3,"Mr. Knight! Guildhouse stamina is at full! Being in shape is a key part of helping those in need!"
100101,4,"The guildhouse is fully packed with EXP potions! We've got to drink lots and lots of these so we can get even stronger!"
100101,5,"The guildhouse is bursting with Mana! It must be tough choosing how to spend it! Or have you already decided, Mr. Knight?"
100101,6,"Yahoo! All items at the guildhouse are full! Oh, sorry... are you busy with something right now, Mr. Knight?"
100201,1,"Mr. Knight, your stamina is back to full again. If you're going out into the field, I sure hope you take me along."
100201,2,"The skip tickets are all full at the guildhouse. Does this mean we won't have to fight as much?"
100201,3,"You have full stamina at the guildhouse. Um, Mr. Knight? What do you say we step out somewhere for a bit?"
100201,4,"You have full EXP potions back at the guildhouse. Hopefully they can help me improve my spellcasting a little..."
100201,5,"The Mana back at the guildhouse is full again. I wonder if I can become a bit stronger, too..."
100201,6,"Mr. Knight, you have full items at the guildhouse. How about we go collect them together?"
100301,1,"I see that you have full stamina again. The surest way to grow stronger is to gain experience in actual combat. So let's get out there and fight!"
100301,2,"Your skip tickets are full at the guildhouse. Being able to dispatch foes so quickly is proof that our skills have improved."
100301,3,"I see you have full stamina at the guildhouse. If you're feeling extra energetic, I'd appreciate it if you helped me train."
100301,4,"You have full EXP potions at the guildhouse. Diligent study is the quickest way to the next victory."
100301,5,"The guildhouse has full Mana again. With that, I can refine my swordplay even further. I feel as though my skills are going to reach new heights!"
100301,6,"You have items waiting for you at the guildhouse. You need to collect them quickly. Understood?"
100401,1,"Hey mister, your stamina is totally full! Now we can go have some fun!"
100401,2,"You've got full skip tickets at the guildhouse, mister! Looks like you and me oughtta go on a big expedition!"
100401,3,"Your stamina is full back at the guildhouse! C'mon, mister, hurry up and come get it!"
100401,4,"We've got tons of EXP potions at the guildhouse! I might just end up bigger than you with these!"
100401,5,"There’s a ton of Mana sitting at the guildhouse! You know, I could really use some new prank supplies..."
100401,6,"The guildhouse is packed to the rafters with items! If you don't come get 'em quick, don't blame me if they disappear! ♪"
100501,1,"Your stamina's full to bursting! And you know what that means—it's superhero time!"
100501,2,"Whoa, look at all those skip tickets in your guildhouse! We're set for some adventuring!"
100501,3,"You've got a full stash of stamina in your guildhouse! Let's go defend peace and justice!"
100501,4,"Your guildhouse is full of those EXP potions! Just what I need to become a great hero!"
100501,5,"Looks like your guildhouse is full of Mana. H-have you thought about buying some cool action figures?!"
100501,6,"Whoa, all the items in your guildhouse are at max capacity! We're as ready as can be for adventure!"
100601,1,"Hey, big guy, I see your stamina is full again. I was hoping we could go another round or two... ♪"
100601,2,"Your skip tickets at the guildhouse are all full. Now you and I can do it even more... Battle with enemies, I mean! ♪"
100601,3,"Your stamina at the guildhouse is replenished. Hurry back—I don't think I can wait much longer... ♪"
100601,4,"Oh hey, the guildhouse is full on EXP potions. Don't you worry—I'm going to keep getting bigger and bigger! ♪"
100601,5,"There's sooo much Mana at the guildhouse. Ooh, I want it so bad, I can barely control myself..."
100601,6,"Is that a guildhouse full of items you have there, or are you just happy to see me? ♪"
100701,1,"Your stamina is super full! Hurry up! Go buy Miyako pudding!"
100701,2,"Hey you! Full skip tickets at the guildhouse! Time to take Miyako on a pudding hunt!"
100701,3,"All your staminas at the guildhouse are full up! Use them all to get pudding for Miyako!"
100701,4,"Ooo, the guildhouse is full of EXP potions... Pour them on some pudding and give them to Miyako!"
100701,5,"Hey, the guildhouse is super full of Mana! Just what we need for buying all the puddings!"
100701,6,"There's too many items in the guildhouse now. Come pick them up and give all the puddings to Miyako!"
100801,1,"Oh, look at that—our stamina is full once more. At peak condition, I am the very embodiment of flawless beauty!"
100801,2,"Oh, the guildhouse is full of skip tickets. Spare yourself the battles so you can spend more time basking in my beauty! ♪"
100801,3,"Ah, your stamina at the guildhouse has replenished. Now you can gaze upon my splendor in peak condition! ♪"
100801,4,"I hear there's full EXP potions at the guildhouse. It would appear my beauty was meant to soar to even greater heights! ♪"
100801,5,"Word is you have Mana to spare at the guildhouse. I wouldn't be upset if you used it to lavish me with gifts... ♪"
100801,6,"My, you have a lot of items at the guildhouse. I assume they're all gifts for me?"
100901,1,"Sigurd, our stamina has fully recovered! Now is the time for us to press the attack! Hecate of the Gale shall lay waste to all who would stand in our path!"
100901,2,"skip tickets at our bastion have reached capacity! There's no need to hesitate. Claim them as your own!"
100901,3,"Our stronghold is overflowing with stamina! Do not squander this precious lifeforce, Sigurd!"
100901,4,"EXP potions have replenished at the guildhouse! I shall obtain greater power, and thus advance on the path to being the mightiest of them all!"
100901,5,"Our guildhouse is brimming with Mana reserves! Sigurd, I trust you will share this wealth with your comrade?"
100901,6,"Your guildhouse is filled to the brim with valuable items! If you don't claim them, then perhaps I shall!"
101001,1,"Aw look, your stamina is full again. Let's you and I take a li'l stroll together, my prince. ♪"
101001,2,"The skip tickets at the guildhouse are all full. Hafta love bein' able to take it easy."
101001,3,"Gosh, you have full stamina at the guildhouse! What say we go on a li'l patrol together, my prince?"
101001,4,"Gosh, look at all the EXP potions at the guildhouse. Will drinkin' these make my magic work better?"
101001,5,"Goodness, look at all the Mana at the guildhouse! The way Mana sparkles like jewels is just pretty as can be! ♪"
101001,6,"Your items at the guildhouse are all full, my prince! And you're just as dandy as ever, too. ♪"
101101,1,"Looks like your stamina is back to full! You know what they say about adventuring—it pays to be well-perspired!"
101101,2,"Hey, you have full skip tickets at the guildhouse! Quick and hasty wins the race, so let's skirt around those battles!"
