id,story_id,seq_num,type,line_num,start_pos,end_pos,seek_time,sheet_name,cue_name,command,command_param
1120001,12,1,4,0,0,0,0.0,0,0,3,1.0
1120002,12,2,2,0,0,0,0.0,vo_nyx,vo_nyx_0101,0,0.0
1120003,12,3,1,1,0,316,2.698,0,0,0,0.0
1120004,12,4,4,0,0,0,0.0,0,0,1,3.334
1120005,12,5,2,0,0,0,0.0,vo_nyx,vo_nyx_0102,0,0.0
1120006,12,6,1,1,316,382,0.45,0,0,0,0.0
1120007,12,7,4,0,0,0,0.0,0,0,1,0.45
1120010,12,8,1,2,0,400,4.132,0,0,0,0.0
1120011,12,9,4,0,0,0,0.0,0,0,1,4.732
1120012,12,10,4,0,0,0,0.0,0,0,3,2.0
1120013,12,11,2,0,0,0,0.0,vo_nyx,vo_nyx_0103,0,0.0
1120014,12,12,1,3,0,66,0.815,0,0,0,0.0
1120015,12,13,4,0,0,0,0.0,0,0,1,1.157
1120016,12,14,1,3,66,390,2.763,0,0,0,0.0
1120017,12,15,4,0,0,0,0.0,0,0,1,2.763
1120018,12,16,1,4,0,250,2.388,0,0,0,0.0
1120019,12,17,4,0,0,0,0.0,0,0,1,3.338
1120020,12,18,2,0,0,0,0.0,vo_nyx,vo_nyx_0104,0,0.0
1120021,12,19,1,5,0,84,0.778,0,0,0,0.0
1120022,12,20,4,0,0,0,0.0,0,0,1,1.214
1120023,12,21,1,5,84,390,3.61,0,0,0,0.0
1120024,12,22,4,0,0,0,0.0,0,0,1,3.61
1120025,12,23,1,6,0,256,3.198,0,0,0,0.0
1120026,12,24,4,0,0,0,0.0,0,0,1,3.198
1120027,12,25,2,0,0,0,0.0,vo_nyx,vo_nyx_0105,0,0.0
1120028,12,26,1,6,256,392,1.7,0,0,0,0.0
1120029,12,27,4,0,0,0,0.0,0,0,1,1.778
1120030,12,28,1,7,0,213,2.927,0,0,0,0.0
1120031,12,29,4,0,0,0,0.0,0,0,1,3.811
1120032,12,30,4,0,0,0,0.0,0,0,3,3.0
1120033,12,31,2,0,0,0,0.0,vo_nyx,vo_nyx_0106,0,0.0
1120034,12,32,1,7,213,270,0.506,0,0,0,0.0
1120035,12,33,4,0,0,0,0.0,0,0,1,1.175
1120036,12,34,4,0,0,0,0.0,0,0,3,3.0
1120037,12,35,2,0,0,0,0.0,vo_nyx,vo_nyx_0107,0,0.0
1120038,12,36,1,8,0,159,1.439,0,0,0,0.0
1120039,12,37,4,0,0,0,0.0,0,0,1,1.439
1120040,12,38,1,8,159,325,1.462,0,0,0,0.0
1120041,12,39,4,0,0,0,0.0,0,0,1,2.178
1120042,12,40,2,0,0,0,0.0,vo_nyx,vo_nyx_0108,0,0.0
1120043,12,41,1,9,0,400,3.765,0,0,0,0.0
1120044,12,42,4,0,0,0,0.0,0,0,1,4.495
1120045,12,43,2,0,0,0,0.0,vo_nyx,vo_nyx_0109,0,0.0
1120046,12,44,1,10,0,148,1.137,0,0,0,0.0
1120047,12,45,4,0,0,0,0.0,0,0,1,1.484
1120048,12,46,1,10,148,395,2.686,0,0,0,0.0
1120049,12,47,4,0,0,0,0.0,0,0,1,2.686
1120050,12,48,1,11,0,108,0.736,0,0,0,0.0
1120051,12,49,4,0,0,0,0.0,0,0,1,1.06
1120052,12,50,2,0,0,0,0.0,vo_nyx,vo_nyx_0110,0,0.0
1120053,12,51,1,11,108,162,0.353,0,0,0,0.0
1120054,12,52,4,0,0,0,0.0,0,0,1,1.137
1120055,12,53,2,0,0,0,0.0,vo_nyx,vo_nyx_0111,0,0.0
1120056,12,54,1,12,0,377,2.51,0,0,0,0.0
1120057,12,55,4,0,0,0,0.0,0,0,1,3.164
1120058,12,56,2,0,0,0,0.0,vo_nyx,vo_nyx_0112,0,0.0
1120061,12,57,1,13,0,310,2.899,0,0,0,0.0
1120062,12,58,4,0,0,0,0.0,0,0,1,3.867
1120063,12,59,2,0,0,0,0.0,vo_nyx,vo_nyx_0113,0,0.0
1120064,12,60,1,14,0,119,1.116,0,0,0,0.0
1120065,12,61,4,0,0,0,0.0,0,0,1,1.735
1120066,12,62,1,14,119,235,1.048,0,0,0,0.0
1120067,12,63,4,0,0,0,0.0,0,0,1,2.848
1130001,13,1,4,0,0,0,0.0,0,0,3,1.0
1130002,13,2,2,0,0,0,0.0,vo_nyx,vo_nyx_0201,0,0.0
1130003,13,3,1,1,0,43,0.382,0,0,0,0.0
1130004,13,4,4,0,0,0,0.0,0,0,1,0.672
1130005,13,5,1,1,43,84,0.65,0,0,0,0.0
1130006,13,6,4,0,0,0,0.0,0,0,1,1.115
1130007,13,7,1,1,84,286,2.158,0,0,0,0.0
1130008,13,8,4,0,0,0,0.0,0,0,1,2.541
1130011,13,9,1,2,0,245,2.634,0,0,0,0.0
1130012,13,10,4,0,0,0,0.0,0,0,1,2.1
1130013,13,11,4,0,0,0,0.0,0,0,3,2.0
1130014,13,12,4,0,0,0,0.0,0,0,1,2.326
1130015,13,13,2,0,0,0,0.0,vo_nyx,vo_nyx_0202,0,0.0
1130016,13,14,1,3,0,278,2.838,0,0,0,0.0
1130017,13,15,4,0,0,0,0.0,0,0,1,3.334
1130018,13,16,1,4,0,310,2.491,0,0,0,0.0
1130019,13,17,4,0,0,0,0.0,0,0,1,3.427
1130020,13,18,4,0,0,0,0.0,0,0,3,3.0
1130021,13,19,2,0,0,0,0.0,vo_nyx,vo_nyx_0203,0,0.0
1130022,13,20,1,5,0,20,0.475,0,0,0,0.0
1130023,13,21,4,0,0,0,0.0,0,0,1,0.872
1130024,13,22,1,5,20,122,1.001,0,0,0,0.0
1130025,13,23,4,0,0,0,0.0,0,0,1,1.492
1130026,13,24,1,5,122,301,1.73,0,0,0,0.0
1130027,13,25,4,0,0,0,0.0,0,0,1,2.045
1130028,13,26,1,5,301,395,0.87,0,0,0,0.0
1130029,13,27,4,0,0,0,0.0,0,0,1,1.949
1130030,13,28,2,0,0,0,0.0,vo_nyx,vo_nyx_0204,0,0.0
1130031,13,29,1,6,0,183,1.885,0,0,0,0.0
1130032,13,30,4,0,0,0,0.0,0,0,1,2.37
1130033,13,31,1,6,183,296,0.939,0,0,0,0.0
1130034,13,32,4,0,0,0,0.0,0,0,1,1.12
1130035,13,33,1,6,296,340,0.5,0,0,0,0.0
1130036,13,34,4,0,0,0,0.0,0,0,1,1.435
1130037,13,35,2,0,0,0,0.0,vo_nyx,vo_nyx_0205,0,0.0
1130038,13,36,1,7,0,58,0.58,0,0,0,0.0
1130039,13,37,4,0,0,0,0.0,0,0,1,0.976
1130040,13,38,1,7,58,222,1.425,0,0,0,0.0
1130041,13,39,4,0,0,0,0.0,0,0,1,1.683
1130042,13,40,1,7,222,276,0.85,0,0,0,0.0
1130043,13,41,4,0,0,0,0.0,0,0,1,1.9
1130044,13,42,4,0,0,0,0.0,0,0,3,4.0
1130045,13,43,2,0,0,0,0.0,vo_nyx,vo_nyx_0206,0,0.0
1130046,13,44,1,7,276,330,0.43,0,0,0,0.0
1130047,13,45,4,0,0,0,0.0,0,0,1,1.105
1130048,13,46,1,7,330,396,0.759,0,0,0,0.0
1130049,13,47,4,0,0,0,0.0,0,0,1,0.759
1130050,13,48,1,8,0,108,1.136,0,0,0,0.0
1130051,13,49,4,0,0,0,0.0,0,0,1,1.533
1130052,13,50,1,8,108,248,1.518,0,0,0,0.0
1130053,13,51,4,0,0,0,0.0,0,0,1,1.518
1130054,13,52,1,8,248,360,0.981,0,0,0,0.0
1130055,13,53,4,0,0,0,0.0,0,0,1,1.862
1130056,13,54,4,0,0,0,0.0,0,0,3,5.0
1130057,13,55,2,0,0,0,0.0,vo_nyx,vo_nyx_0207,0,0.0
1130058,13,56,1,9,0,70,0.44,0,0,0,0.0
1130059,13,57,4,0,0,0,0.0,0,0,1,0.9
1130060,13,58,1,9,70,240,1.404,0,0,0,0.0
1130061,13,59,4,0,0,0,0.0,0,0,1,1.74
1130062,13,60,1,9,240,378,0.986,0,0,0,0.0
1130063,13,61,4,0,0,0,0.0,0,0,1,1.187
1130066,13,62,1,10,0,123,1.137,0,0,0,0.0
1130067,13,63,4,0,0,0,0.0,0,0,1,1.754
1130068,13,64,1,10,123,353,2.717,0,0,0,0.0
1130069,13,65,4,0,0,0,0.0,0,0,1,2.717
1130070,13,66,1,11,0,185,1.834,0,0,0,0.0
1130071,13,67,4,0,0,0,0.0,0,0,1,3.084
1130072,13,68,2,0,0,0,0.0,vo_nyx,vo_nyx_0208,0,0.0
1130073,13,69,1,12,0,112,1.574,0,0,0,0.0
1130074,13,70,4,0,0,0,0.0,0,0,1,2.083
1130077,13,71,1,12,112,345,1.805,0,0,0,0.0
1130078,13,72,4,0,0,0,0.0,0,0,1,1.805
1130079,13,73,1,13,0,120,0.98,0,0,0,0.0
1130080,13,74,4,0,0,0,0.0,0,0,1,1.11
1130081,13,75,1,13,120,202,1.2,0,0,0,0.0
1130082,13,76,4,0,0,0,0.0,0,0,1,2.327
1130083,13,77,2,0,0,0,0.0,vo_nyx,vo_nyx_0209,0,0.0
1130084,13,78,1,13,202,270,0.707,0,0,0,0.0
1130085,13,79,4,0,0,0,0.0,0,0,1,2.507
1140001,14,1,4,0,0,0,0.0,0,0,3,1.0
1140002,14,2,2,0,0,0,0.0,vo_nyx,vo_nyx_0301,0,0.0
1140003,14,3,1,1,0,90,1.075,0,0,0,0.0
1140004,14,4,4,0,0,0,0.0,0,0,1,1.692
1140005,14,5,1,1,90,400,2.843,0,0,0,0.0
1140006,14,6,4,0,0,0,0.0,0,0,1,4.0
1140007,14,7,2,0,0,0,0.0,vo_nyx,vo_nyx_0302,0,0.0
1140008,14,8,1,2,0,166,1.567,0,0,0,0.0
