id,odds_file,name,icon_type,description
1,box_rank_1-3,"Random Equipment Box",99002,"Various random equipment can be obtained."
2,eq_rank_3-6,"Rank 3~6 Equipment",99002,"Equipment required for characters at ranks 3~6."
3,eq_rank_4-7,"Rank 4~7 Equipment",99002,"Equipment required for characters at ranks 4~7."
4,1000120101,"Hatsune's Memory Shard",99002,""
5,1000120102,"Shiori's Memory Shard",99002,""
6,1000220101,"Misogi's Memory Shard",99002,""
7,1000220102,"Mimi's Memory Shard",99002,""
8,1000320101,"Maho's Memory Shard",99002,""
9,1000320102,"Kaori's Memory Shard",99002,""
10,1000420101,"Kokkoro (Summer)'s Memory Shard",99002,""
11,1000420102,"Saren's Memory Shard",99002,""
12,eq_rank_5-8,"Rank 5~8 Equipment",99002,"Equipment required for characters at ranks 5~8."
13,1000520101,"Mifuyu (Summer)'s Memory Shard",99002,""
14,1000520102,"Akino's Memory Shard",99002,""
15,1000620101,"Jun's Memory Shard",99002,""
16,1000620102,"Yukari's Memory Shard",99002,""
17,1000720101,"Miyako (Halloween)'s Memory Shard",99002,""
18,1000720102,"Yori's Memory Shard",99002,""
19,1000820101,"Anna's Memory Shard",99002,""
20,1000820102,"Mitsuki's Memory Shard",99002,""
