area_id,area_name,area_display_name,map_type,sheet_id,que_id,start_time,end_time
11001,"1. Juno Plains","1. Juno Plains",101,bgm_M61,bgm_M61,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11002,"2. Pallas Peaks","2. Pallas Peaks",101,bgm_M61,bgm_M61_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11003,"3. Hebe Hill","3. Hebe Hill",101,bgm_M61,bgm_M61_03,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11004,"4. Vesta Valley","4. Vesta Valley",101,bgm_M61,bgm_M61_04,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11005,"5. Ceres Forest","5. Ceres Forest",101,bgm_M62,bgm_M62_01,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11006,"6. Flora Lake","6. Flora Lake",101,bgm_M62,bgm_M62_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11007,"7. Metis Falls","7. Metis Falls",101,bgm_M62,bgm_M62_03,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11008,"8. Iris Woodlands","8. Iris Woodlands",101,bgm_M42,bgm_M42_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11009,"9. Frigga Frostplains","9. Frigga Frostplains",101,bgm_M58,bgm_M58,"2021/02/17 23:00:00","2030/12/17 14:59:59"
11010,"10. Loretta Coast","10. Loretta Coast",101,bgm_M101,bgm_M101,"2021/03/15 23:00:00","2030/12/17 14:59:59"
11011,"11. Genua Desert","11. Genua Desert",101,bgm_M93,bgm_M93,"2021/04/11 13:00:00","2030/12/17 14:59:59"
11012,"12. Bononia Dunes","12. Bononia Dunes",101,bgm_M94,bgm_M94,"2021/05/12 13:00:00","2030/12/17 14:59:59"
11013,"13. Dorothea Wetlands","13. Dorothea Wetlands",101,bgm_M118,bgm_M118,"2021/06/12 13:00:00","2030/12/17 14:59:59"
11014,"14. Eugenia Hotlands","14. Eugenia Hotlands",101,bgm_M95,bgm_M95,"2021/07/09 13:00:00","2030/12/17 14:59:59"
11015,"15. Thalia Volcano","15. Thalia Volcano",101,bgm_M96,bgm_M96,"2021/08/09 13:00:00","2030/12/17 14:59:59"
11016,"16. Themis Snowpeaks","16. Themis Snowpeaks",101,bgm_M140,bgm_M140,"2021/09/07 13:00:00","2030/12/17 14:59:59"
11017,"17. Fides Icefields","17. Fides Icefields",101,bgm_M141,bgm_M141,"2021/10/12 13:00:00","2030/12/17 14:59:59"
11018,"18. Phaethon Fields (North)","18. Phaethon Fields (North)",102,bgm_M179,bgm_M179,"2021/11/11 13:00:00","2030/12/17 14:59:59"
11019,"19. Phaethon Fields (South)","19. Phaethon Fields (South)",102,bgm_M179,bgm_M179,"2021/12/06 13:00:00","2030/12/17 14:59:59"
11020,"20. Castalia Woods (West)","20. Castalia Woods (West)",102,bgm_M180,bgm_M180,"2022/01/05 13:00:00","2030/12/17 14:59:59"
11021,"21. Castalia Woods (East)","21. Castalia Woods (East)",102,bgm_M180,bgm_M180,"2022/02/01 13:00:00","2030/12/17 14:59:59"
11022,"22. Mathilde Ridges (South)","22. Mathilde Ridges (South)",102,bgm_M232,bgm_M232,"2022/03/01 13:00:00","2030/12/17 14:59:59"
11023,"23. Mathilde Ridges (North)","23. Mathilde Ridges (North)",102,bgm_M232,bgm_M232,"2022/03/23 13:00:00","2030/12/17 14:59:59"
11024,"24. Redius Rockies (West)","24. Redius Rockies (West)",102,bgm_M233,bgm_M233,"2022/04/19 13:00:00","2030/12/17 14:59:59"
11025,"25. Redius Rockies (East)","25. Redius Rockies (East)",102,bgm_M233,bgm_M233,"2022/05/19 13:00:00","2030/12/17 14:59:59"
11026,"26. Petro Forest (West)","26. Petro Forest (West)",102,bgm_M260,bgm_M260,"2022/06/27 13:00:00","2030/12/17 14:59:59"
11027,"27. Petro Forest (East)","27. Petro Forest (East)",102,bgm_M260,bgm_M260,"2022/08/04 13:00:00","2030/12/17 14:59:59"
11028,"28. Diestal Ravine (North)","28. Diestal Ravine (North)",102,bgm_M278,bgm_M278,"2022/09/08 13:00:00","2030/12/17 14:59:59"
11029,"29. Diestal Ravine (South)","29. Diestal Ravine (South)",102,bgm_M278,bgm_M278_E29,"2022/10/13 13:00:00","2030/12/17 14:59:59"
11030,"30. Photella Cliffs (North)","30. Photella Cliffs (North)",102,bgm_M293,bgm_M293,"2015/12/17 15:00:00","2030/12/17 14:59:59"
11031,"31. Photella Cliffs (South)","31. Photella Cliffs (South)",102,bgm_M293,bgm_M293,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12001,"1. Juno Plains","1. Juno Plains",101,bgm_M61,bgm_M61,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12002,"2. Pallas Peaks","2. Pallas Peaks",101,bgm_M61,bgm_M61_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12003,"3. Hebe Hill","3. Hebe Hill",101,bgm_M61,bgm_M61_03,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12004,"4. Vesta Valley","4. Vesta Valley",101,bgm_M61,bgm_M61_04,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12005,"5. Ceres Forest","5. Ceres Forest",101,bgm_M62,bgm_M62_01,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12006,"6. Flora Lake","6. Flora Lake",101,bgm_M62,bgm_M62_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12007,"7. Metis Falls","7. Metis Falls",101,bgm_M62,bgm_M62_03,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12008,"8. Iris Woodlands","8. Iris Woodlands",101,bgm_M42,bgm_M42_02,"2015/12/17 15:00:00","2030/12/17 14:59:59"
12009,"9. Frigga Frostplains","9. Frigga Frostplains",101,bgm_M58,bgm_M58,"2021/02/17 23:00:00","2030/12/17 14:59:59"
12010,"10. Loretta Coast","10. Loretta Coast",101,bgm_M101,bgm_M101,"2021/03/15 23:00:00","2030/12/17 14:59:59"
12011,"11. Genua Desert","11. Genua Desert",101,bgm_M93,bgm_M93,"2021/04/11 13:00:00","2030/12/17 14:59:59"
12012,"12. Bononia Dunes","12. Bononia Dunes",101,bgm_M94,bgm_M94,"2021/05/12 13:00:00","2030/12/17 14:59:59"
12013,"13. Dorothea Wetlands","13. Dorothea Wetlands",101,bgm_M118,bgm_M118,"2021/06/12 13:00:00","2030/12/17 14:59:59"
