rarity_6_quest_id,unit_id,quest_name,limit_time,recommended_level,reward_group_id,treasure_type,reward_image_1,reward_count_1,reward_image_2,reward_count_2,reward_image_3,reward_count_3,reward_image_4,reward_count_4,reward_image_5,reward_count_5,background,bg_position,wave_group_id,enemy_position_x_1,enemy_local_position_y_1,enemy_size_1,enemy_position_x_2,enemy_local_position_y_2,enemy_size_2,enemy_position_x_3,enemy_local_position_y_3,enemy_size_3,enemy_position_x_4,enemy_local_position_y_4,enemy_size_4,enemy_position_x_5,enemy_local_position_y_5,enemy_size_5,wave_bgm
2200001,100101,"Hiyori's Ascension Quest",90,151,222001001,1,91002,100,20004,10,115556,5,115106,5,0,0,102011,50,220011001,-376,0,0.8,-188,0,0.8,-1,0,0.8,188,0,0.8,376,0,0.8,bgm_M259
2200002,100201,"Yui's Ascension Quest",90,151,222001002,1,91002,100,20004,10,115586,5,125256,5,0,0,102011,50,220021001,-376,0,0.8,-188,0,0.8,-1,0,0.8,188,0,0.8,376,0,0.8,bgm_M259
2200003,100301,"Rei's Ascension Quest",90,151,222001003,1,91002,100,20004,10,115556,5,125016,5,0,0,102011,50,220031001,-376,0,0.8,-188,0,0.8,-1,0,0.8,188,0,0.8,376,0,0.8,bgm_M259
2200010,101001,"Maho's Ascension Quest",90,148,222001010,1,91002,100,20004,10,125256,5,125463,5,0,0,102011,50,220101001,-376,0,0.8,-188,0,0.8,-1,0,0.8,188,0,0.8,376,0,0.8,bgm_M259
2200011,101101,"Rino's Ascension Quest",90,136,222001011,1,91002,100,20004,10,115554,5,125134,5,0,0,102011,50,220111001,-376,0,0.8,-188,0,0.8,-1,0,0.8,188,0,0.8,376,0,0.8,bgm_M259
2200018,101801,"Io's Ascension Quest",90,142,222001018,1,91002,100,20004,10,115615,5,115225,5,0,0,102011,50,220181001,-376,0,0.8,-188,0,0.8,-1,0,0.8,188,0,0.8,376,0,0.8,bgm_M259
2200034,103401,"Yukari's Ascension Quest",90,145,222001034,1,91002,100,20004,10,115402,5,115585,5,0,0,102011,50,220341001,-376,0,0.8,-188,0,0.8,-1,0,0.8,188,0,0.8,376,0,0.8,bgm_M259
2200052,105201,"Lima's Ascension Quest",90,139,222001052,1,91002,100,20004,10,115165,5,125314,5,0,0,102011,50,220521001,-376,0,0.8,-188,0,0.8,-1,0,0.8,188,0,0.8,376,0,0.8,bgm_M259
2200058,105801,"Pecorine's Ascension Quest",90,130,222001058,1,91002,100,20004,10,115554,5,125014,5,0,0,102011,50,220581001,-376,0,0.8,-188,0,0.8,-1,0,0.8,188,0,0.8,376,0,0.8,bgm_M259
2200059,105901,"Kokkoro's Ascension Quest",90,130,222001059,1,91002,100,20004,10,115584,5,125164,5,0,0,102011,50,220591001,-376,0,0.8,-188,0,0.8,-1,0,0.8,188,0,0.8,376,0,0.8,bgm_M259
2200060,106001,"Karyl's Ascension Quest",90,130,222001060,1,91002,100,20004,10,115614,5,125224,5,0,0,102011,50,220601001,-376,0,0.8,-188,0,0.8,-1,0,0.8,188,0,0.8,376,0,0.8,bgm_M259
