resist_status_id,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,ailment_6,ailment_7,ailment_8,ailment_9,ailment_10,ailment_11,ailment_12,ailment_13,ailment_14,ailment_15,ailment_16,ailment_17,ailment_18,ailment_19,ailment_20,ailment_21,ailment_22,ailment_23,ailment_24,ailment_25,ailment_26,ailment_27,ailment_28,ailment_29,ailment_30
200000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000002,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000003,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000004,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
200000005,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000007,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000008,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0
200000010,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
200000012,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0
300000001,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0
300000002,100,0,30,30,30,30,30,30,30,30,100,100,100,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0
300000003,100,0,100,100,100,100,100,100,30,30,30,30,30,100,100,100,100,0,100,30,100,100,100,0,0,0,0,0,0,0
300000004,100,0,30,30,30,30,30,30,30,30,30,30,30,30,100,100,100,0,30,30,100,100,100,0,0,0,0,0,0,0
300000005,30,0,100,100,100,100,100,100,100,100,100,100,100,100,30,30,100,0,100,100,30,100,100,0,0,0,0,0,0,0
300000006,100,0,100,100,100,100,100,100,100,100,100,100,100,100,30,100,100,0,100,100,30,100,100,0,0,0,0,0,0,0
300000007,100,0,100,100,100,100,100,100,100,100,100,100,100,100,30,100,100,100,100,100,30,100,100,0,0,0,0,0,0,0
300000008,100,0,100,100,100,100,100,100,30,30,30,30,30,100,100,100,100,100,100,30,100,100,100,0,0,0,0,0,0,0
300000009,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0
300000010,0,0,0,0,0,0,0,0,30,30,0,0,0,100,100,100,100,0,100,0,100,100,100,0,0,0,0,0,0,0
300000011,100,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0
300000012,100,0,100,100,100,100,100,100,30,30,30,30,30,100,100,100,0,100,100,30,100,100,100,0,0,0,0,0,0,0
300000013,100,0,100,100,100,100,100,100,30,30,30,30,0,100,100,100,100,100,100,30,100,100,100,0,0,0,0,0,0,0
300000014,0,0,100,100,100,100,100,100,30,30,30,30,30,100,100,100,100,100,100,30,100,100,100,0,0,0,0,0,0,0
300000015,100,0,100,100,100,100,100,100,30,30,30,30,30,100,100,100,100,100,100,30,0,100,100,0,0,0,0,0,0,0
300000016,100,0,100,100,100,100,100,100,100,0,0,0,0,100,100,100,100,100,100,0,100,100,100,0,0,0,0,0,0,0
900000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
