character_id,personality_id
1001,3
1002,1
1003,4
1004,3
1005,3
1006,2
1007,5
1008,5
1009,4
1010,5
1011,3
1012,2
1013,2
1014,1
1015,4
1016,2
1017,3
1018,1
1020,2
1021,5
1022,1
1023,3
1025,1
1026,5
1027,4
1028,1
1029,1
1030,3
1031,4
1032,4
1033,3
1034,4
1036,4
1037,1
1038,4
1040,1
1042,4
1043,3
1044,4
1045,1
1046,3
1047,6
1048,4
1049,1
1050,1
1051,4
1052,2
1053,1
1054,3
1055,1
1056,1
1057,1
1058,3
1059,1
1060,4
1061,3
1063,1
1065,3
1066,3
1068,1
1070,4
1071,1
1075,3
1076,1
1077,1
1078,4
1079,3
1080,4
1081,4
1082,5
1083,1
1084,4
1085,5
1086,3
1087,3
1088,1
1089,4
1090,4
1091,1
1092,1
1093,3
1094,4
1095,1
1096,3
1097,4
1098,5
1099,1
1100,2
1101,1
1103,1
1104,3
1105,3
1106,5
1107,1
1108,1
1109,2
1110,5
1111,4
1112,3
1113,2
1114,2
1115,1
1116,1
1117,4
1119,1
1120,4
1121,1
1122,1
1123,4
1124,1
1125,4
1126,3
1127,5
1128,3
1129,3
1130,1
1131,1
1132,4
1133,2
1134,2
1135,4
1136,1
1137,2
1138,1
1139,3
1140,4
1141,3
1142,1
1802,1
1804,3
1805,1
1909,7
1921,8
