id,level,reward_type,reward_id,max_count,inc_step,interval_second
1,1,2,23001,2,1,21600
1,2,2,23001,3,1,19800
1,3,2,23001,3,1,18000
1,4,2,23001,3,1,16200
1,5,2,23001,4,1,14400
1,6,2,23001,4,1,12960
1,7,2,23001,5,1,11520
1,8,2,23001,6,1,10080
1,9,2,23001,7,1,8640
1,10,2,23001,8,1,7200
1,11,2,23001,10,1,5760
1,12,2,23001,12,1,5040
1,13,2,23001,14,1,4320
1,14,2,23001,16,2,7200
1,15,2,23001,18,2,5400
1,16,2,23001,18,2,5040
1,17,2,23001,18,2,4800
1,18,2,23001,20,2,4500
2,1,6,93001,80,20,21600
2,2,6,93001,96,24,21600
2,3,6,93001,112,28,21600
2,4,6,93001,120,30,21600
2,5,6,93001,128,32,21600
2,6,6,93001,136,34,21600
2,7,6,93001,144,36,21600
2,8,6,93001,152,38,21600
2,9,6,93001,160,40,21600
2,10,6,93001,168,42,21600
2,11,6,93001,176,44,21600
2,12,6,93001,184,46,21600
2,13,6,93001,192,48,21600
2,14,6,93001,200,50,21600
2,15,6,93001,208,52,21600
2,16,6,93001,216,54,21600
2,17,6,93001,224,56,21600
2,18,6,93001,232,58,21600
3,1,2,20001,3,1,14400
3,2,2,20001,5,1,9600
3,3,2,20001,7,1,7200
3,4,2,20001,10,1,5400
3,5,2,20001,15,1,3600
3,6,2,20002,6,1,9600
3,7,2,20002,8,1,7200
3,8,2,20002,12,1,4800
3,9,2,20002,16,1,3600
3,10,2,20002,20,1,2700
3,11,2,20003,6,1,10800
3,12,2,20003,8,1,9000
3,13,2,20003,12,1,7200
3,14,2,20003,16,1,5400
3,15,2,20003,20,1,3600
3,16,2,20003,30,1,2880
3,17,2,20004,7,1,12600
3,18,2,20004,8,1,11400
4,1,12,94002,12000,3000,21600
4,2,12,94002,18000,4500,21600
4,3,12,94002,24000,6000,21600
4,4,12,94002,30000,7500,21600
4,5,12,94002,42000,10500,21600
4,6,12,94002,54000,13500,21600
4,7,12,94002,66000,16500,21600
4,8,12,94002,84000,21000,21600
4,9,12,94002,102000,25500,21600
4,10,12,94002,120000,30000,21600
4,11,12,94002,144000,36000,21600
4,12,12,94002,168000,42000,21600
4,13,12,94002,192000,48000,21600
4,14,12,94002,222000,55500,21600
4,15,12,94002,252000,63000,21600
4,16,12,94002,282000,70500,21600
4,17,12,94002,318000,79500,21600
4,18,12,94002,354000,88500,21600
5,1,6,93001,48,12,21600
6,1,6,93001,48,12,21600
7,1,6,93001,48,12,21600
8,1,6,93001,48,12,21600
11,1,6,93001,48,12,21600
12,1,6,93001,48,12,21600
