room_item_id,grid_height,grid_width,unit_id
1,2,3,190801
7,1,1,0
8,1,1,0
9,2,2,0
10,3,3,0
11,1,1,0
12,1,1,0
13,1,2,0
14,1,2,0
15,1,2,0
16,2,3,0
17,1,1,0
18,1,1,0
20,3,4,0
21,1,2,0
22,1,2,0
25,4,4,0
26,4,4,0
27,1,2,0
28,2,3,0
29,1,1,0
30,1,1,0
32,3,4,0
33,1,2,0
34,1,2,0
37,4,4,0
38,4,4,0
39,1,2,0
40,2,3,0
41,1,1,0
42,1,1,0
43,2,2,0
44,2,3,0
45,3,4,0
46,1,2,0
47,1,2,0
48,2,3,0
51,1,2,0
52,2,3,0
53,1,1,0
54,1,1,0
55,2,2,0
56,2,3,0
57,3,4,0
58,1,2,0
59,1,2,0
60,2,3,0
63,4,4,0
64,4,4,0
65,1,2,0
66,2,3,0
67,1,1,0
68,1,1,0
69,2,2,0
70,2,3,0
71,3,4,0
72,1,2,0
73,1,2,0
74,2,3,0
77,4,4,0
78,4,4,0
79,2,2,0
80,2,3,0
81,2,3,0
83,4,4,0
84,4,4,0
85,1,1,0
86,2,2,0
87,2,3,0
88,1,1,0
89,1,1,0
90,1,1,0
91,1,1,0
92,2,3,0
93,2,3,0
94,1,2,0
95,1,2,0
96,1,2,0
97,1,1,0
98,1,1,0
99,1,1,0
100,1,1,0
101,2,2,0
102,1,1,0
103,1,1,0
104,1,1,0
105,1,1,0
106,1,1,0
107,1,1,0
108,2,2,0
109,2,2,0
110,2,2,0
111,2,2,0
112,1,2,0
113,1,2,0
114,1,2,0
115,1,2,0
131,2,3,0
132,1,1,0
133,1,1,0
134,1,1,0
135,1,1,0
136,1,1,0
137,1,1,0
138,1,1,0
139,1,1,0
140,1,1,0
141,1,1,0
142,1,1,0
143,1,2,0
144,1,1,0
145,1,1,0
146,1,1,0
147,1,1,0
148,1,1,0
149,1,2,0
150,1,1,0
151,3,3,0
152,1,1,0
153,2,2,0
154,1,1,0
157,4,4,0
158,4,4,0
201,1,1,0
202,2,3,0
203,1,1,0
204,8,8,0
205,1,2,0
206,1,1,0
207,2,3,0
208,1,1,0
209,3,3,0
301,1,1,0
302,1,1,0
303,1,1,0
304,2,3,0
305,3,3,0
306,1,1,0
307,2,2,0
308,1,1,0
401,4,4,0
402,4,4,0
403,1,1,0
404,1,2,0
405,2,3,0
406,3,2,0
407,1,2,0
408,2,2,0
501,3,4,0
502,1,2,0
503,2,2,0
504,2,3,0
505,1,2,0
506,1,2,0
507,1,2,0
508,1,1,0
509,1,1,0
510,2,2,0
511,1,2,0
512,2,3,0
601,4,4,0
602,3,3,0
603,3,3,0
604,1,1,0
605,1,2,0
606,2,2,0
607,2,2,0
611,3,3,0
612,3,3,0
701,2,2,0
702,2,2,0
703,1,2,0
704,2,2,0
705,1,1,0
706,4,4,0
707,2,2,0
708,3,2,0
709,2,1,0
801,2,2,0
802,3,4,0
803,2,2,0
804,2,2,0
805,1,1,0
806,2,2,0
807,1,1,0
808,1,1,0
809,2,2,0
810,3,4,0
811,1,2,0
812,1,2,0
813,1,2,0
816,1,1,0
901,2,3,0
902,1,2,0
903,1,1,0
904,2,3,0
905,1,1,0
906,2,3,0
907,1,2,0
908,1,2,0
909,2,2,0
910,2,2,0
913,4,4,0
1001,3,3,0
1002,2,2,0
1003,2,2,0
1004,2,3,0
1005,2,3,0
1006,1,2,0
1007,1,2,0
1008,3,4,0
1009,1,2,0
1010,1,2,0
1011,1,1,0
1012,1,1,0
1013,2,3,0
1014,2,2,0
1015,3,4,0
1018,1,1,0
1019,1,1,0
1101,4,4,0
1102,2,2,0
1103,3,3,0
1104,1,1,0
1105,1,1,0
1106,2,2,0
1107,2,2,0
1108,3,6,0
1109,1,2,0
1113,1,1,0
1201,3,4,0
1202,3,3,0
1203,1,1,0
1204,2,3,0
1205,1,1,0
1206,1,1,0
1207,1,1,0
1208,1,1,0
1211,1,1,0
1301,2,3,0
1302,2,2,0
1303,2,2,0
1304,1,1,0
1305,3,4,0
1306,1,2,0
1401,3,3,0
1402,1,2,0
1403,2,3,0
1405,1,1,0
1501,3,4,0
1502,1,2,0
1503,1,2,0
1504,1,1,0
1505,1,1,0
1506,1,1,0
1507,2,2,0
1508,2,3,0
1509,2,3,0
1510,1,1,0
1511,1,2,0
1512,2,3,0
1513,2,3,0
1514,2,3,0
1601,3,4,0
1602,1,2,0
1603,1,1,0
1604,1,1,0
1605,2,2,0
1606,2,3,0
1607,1,2,0
1608,1,2,0
1609,1,2,0
1610,2,3,0
1701,3,3,0
1702,2,2,0
1703,1,1,0
1704,1,1,0
1705,1,1,0
1706,1,1,0
1707,1,1,0
1801,2,2,0
1802,2,2,0
1803,2,2,0
1902,4,4,0
1903,3,4,0
1905,1,2,0
1906,1,2,0
1907,1,2,0
1908,1,1,0
1909,1,1,0
1910,2,3,0
1911,3,3,0
1912,2,3,0
1913,3,3,0
2001,3,3,0
2002,2,2,0
2003,1,1,0
2004,1,1,0
