id,mission_reward_id,reward_type,reward_id,reward_num
20001001,72001001,8,91002,30
20001002,72001001,2,22002,1
20001003,72001002,8,91002,30
20001004,72001002,2,22002,1
20001005,72001003,8,91002,30
20001006,72001003,2,22002,1
20001007,72001004,8,91002,30
20001008,72001004,2,22002,1
20001009,72001005,8,91002,30
20001010,72001005,2,22002,1
20001011,72001006,8,91002,30
20001012,72001006,2,22002,1
20001013,72001007,8,91002,30
20001014,72001007,2,22002,1
20001015,72001008,8,91002,30
20001016,72001008,2,22002,1
20001017,72001009,8,91002,30
20001018,72001009,2,22002,1
20001019,72001010,8,91002,30
20001020,72001010,2,22002,1
20001021,72001011,8,91002,30
20001022,72001011,2,22002,1
20001023,72001012,8,91002,30
20001024,72001012,2,22002,1
20001025,72001013,8,91002,30
20001026,72001013,2,22002,1
20001027,72001014,8,91002,30
20001028,72001014,2,22002,1
20001029,72001015,8,91002,200
20001030,72001015,2,22002,1
20001031,72001016,8,91002,60
20001032,72001016,2,22002,2
20001033,72001017,8,91002,60
20001034,72001017,2,22002,2
20001035,72001018,8,91002,60
20001036,72001018,2,22002,2
20001037,72001019,8,91002,60
20001038,72001019,2,22002,2
20001039,72001020,8,91002,300
20001040,72001020,2,22002,2
20001041,72001021,2,31012,5
20001042,72001021,2,31038,5
20001043,72001022,2,31012,5
20001044,72001022,2,31038,5
20001045,72001023,2,31012,10
20001046,72001023,2,31038,10
20002001,72002001,8,91002,30
20002002,72002001,2,22002,1
20002003,72002002,8,91002,30
20002004,72002002,2,22002,1
20002005,72002003,8,91002,30
20002006,72002003,2,22002,1
20002007,72002004,8,91002,30
20002008,72002004,2,22002,1
20002009,72002005,8,91002,30
20002010,72002005,2,22002,1
20002011,72002006,8,91002,30
20002012,72002006,2,22002,1
20002013,72002007,8,91002,30
20002014,72002007,2,22002,1
20002015,72002008,8,91002,30
20002016,72002008,2,22002,1
20002017,72002009,8,91002,30
20002018,72002009,2,22002,1
20002019,72002010,8,91002,30
20002020,72002010,2,22002,1
20002021,72002011,8,91002,30
20002022,72002011,2,22002,1
20002023,72002012,8,91002,30
20002024,72002012,2,22002,1
20002025,72002013,8,91002,30
20002026,72002013,2,22002,1
20002027,72002014,8,91002,30
20002028,72002014,2,22002,1
20002029,72002015,8,91002,200
20002030,72002015,2,22002,1
20002031,72002016,8,91002,60
20002032,72002016,2,22002,2
20002033,72002017,8,91002,60
20002034,72002017,2,22002,2
20002035,72002018,8,91002,60
20002036,72002018,2,22002,2
20002037,72002019,8,91002,60
20002038,72002019,2,22002,2
20002039,72002020,8,91002,300
20002040,72002020,2,22002,2
20002041,72002021,2,31020,5
20002042,72002021,2,31004,5
20002043,72002022,2,31020,5
20002044,72002022,2,31004,5
20002045,72002023,2,31020,10
20002046,72002023,2,31004,10
20003001,72003001,8,91002,30
20003002,72003001,2,22002,1
20003003,72003002,8,91002,30
20003004,72003002,2,22002,1
20003005,72003003,8,91002,30
20003006,72003003,2,22002,1
20003007,72003004,8,91002,30
20003008,72003004,2,22002,1
20003009,72003005,8,91002,30
20003010,72003005,2,22002,1
20003011,72003006,8,91002,30
20003012,72003006,2,22002,1
20003013,72003007,8,91002,30
20003014,72003007,2,22002,1
20003015,72003008,8,91002,30
20003016,72003008,2,22002,1
20003017,72003009,8,91002,30
20003018,72003009,2,22002,1
20003019,72003010,8,91002,30
20003020,72003010,2,22002,1
20003021,72003011,8,91002,30
20003022,72003011,2,22002,1
20003023,72003012,8,91002,30
20003024,72003012,2,22002,1
20003025,72003013,8,91002,30
20003026,72003013,2,22002,1
20003027,72003014,8,91002,30
20003028,72003014,2,22002,1
20003029,72003015,8,91002,200
20003030,72003015,2,22002,1
20003031,72003016,8,91002,60
20003032,72003016,2,22002,2
20003033,72003017,8,91002,60
20003034,72003017,2,22002,2
20003035,72003018,8,91002,60
20003036,72003018,2,22002,2
20003037,72003019,8,91002,60
20003038,72003019,2,22002,2
20003039,72003020,8,91002,300
20003040,72003020,2,22002,2
20003041,72003021,2,31010,5
20003042,72003021,2,31017,5
20003043,72003022,2,31010,5
20003044,72003022,2,31017,5
20003045,72003023,2,31010,10
20003046,72003023,2,31017,10
