quest_id,event_id,area_id,quest_seq,quest_name,position_x,position_y,icon_id,icon_offset_x,icon_offset_y,icon_scale,stamina,stamina_start,team_exp,unit_exp,love,limit_time,daily_limit,clear_reward_group,rank_reward_group,drop_reward_type,drop_reward_id,drop_reward_num,drop_reward_odds,wave_group_id_1,background_1,wave_bgm_sheet_id_1,wave_bgm_que_id_1,story_id_wavestart_1,story_id_waveend_1,wave_group_id_2,background_2,wave_bgm_sheet_id_2,wave_bgm_que_id_2,story_id_wavestart_2,story_id_waveend_2,wave_group_id_3,background_3,wave_bgm_sheet_id_3,wave_bgm_que_id_3,story_id_wavestart_3,story_id_waveend_3,quest_detail_bg_id,quest_detail_bg_position
20001101,20001,20001101,1,"Targum Region 1-1",-820,-50,100020,0.0,0.0,1.0,8,1,8,120,8,90,0,650001101,650001124,0,0,0,0,650130011,100014,bgm_M41,bgm_M41,0,0,650130012,100015,bgm_M41,bgm_M41,0,0,650130013,100016,bgm_M41,bgm_M41,0,0,100014,0
20001102,20001,20001101,2,"Targum Region 1-2",-710,-140,100020,0.0,0.0,1.0,8,1,8,120,8,90,0,650001102,650001125,0,0,0,0,650140011,100014,bgm_M41,bgm_M41,0,0,650140012,100015,bgm_M41,bgm_M41,0,0,650140013,100016,bgm_M41,bgm_M41,0,0,100014,0
20001103,20001,20001101,3,"Targum Region 1-3",-620,0,100030,0.0,0.0,1.0,8,1,8,120,8,90,0,650001103,650001126,0,0,0,0,650150011,100091,bgm_M41,bgm_M41,0,0,650150012,100092,bgm_M41,bgm_M41,0,0,650150013,100093,bgm_M41,bgm_M41,0,0,100091,0
20001104,20001,20001101,4,"Targum Region 1-4",-500,-90,100040,0.0,0.0,1.0,8,1,8,120,8,90,0,650001104,650001127,0,0,0,0,650160011,100041,bgm_M41,bgm_M41,0,0,650160012,100042,bgm_M41,bgm_M41,0,0,650160013,100043,bgm_M41,bgm_M41,0,0,100041,0
20001105,20001,20001101,5,"Targum Region 1-5",-425,45,100030,0.0,0.0,1.0,8,1,8,120,8,90,0,650001105,650001123,0,0,0,0,650170011,100091,bgm_M41,bgm_M41,0,0,650170012,100092,bgm_M41,bgm_M41,0,0,650170013,100093,bgm_M41,bgm_M41,0,0,100091,0
20001106,20001,20001101,6,"Targum Region 1-6",-280,0,100010,0.0,0.0,1.0,9,1,9,135,9,90,0,650001106,650001124,0,0,0,0,650180011,100061,bgm_M41,bgm_M41,0,0,650180012,100062,bgm_M41,bgm_M41,0,0,650180013,100063,bgm_M41,bgm_M41,0,0,100061,0
20001107,20001,20001101,7,"Targum Region 1-7",-220,-160,100050,0.0,0.0,1.0,9,1,9,135,9,90,0,650001107,650001125,0,0,0,0,650190011,100021,bgm_M41,bgm_M41,0,0,650190012,100022,bgm_M41,bgm_M41,0,0,650190013,100023,bgm_M41,bgm_M41,0,0,100021,0
20001108,20001,20001101,8,"Targum Region 1-8",-100,-10,100040,0.0,0.0,1.0,9,1,9,135,9,90,0,650001108,650001126,0,0,0,0,650200011,100041,bgm_M41,bgm_M41,0,0,650200012,100042,bgm_M41,bgm_M41,0,0,650200013,100043,bgm_M41,bgm_M41,0,0,100041,0
20001109,20001,20001101,9,"Targum Region 1-9",30,30,100020,0.0,0.0,1.0,9,1,9,135,9,90,0,650001109,650001127,0,0,0,0,650210011,100014,bgm_M41,bgm_M41,0,0,650210012,100015,bgm_M41,bgm_M41,0,0,650210013,100016,bgm_M41,bgm_M41,0,0,100014,0
20001110,20001,20001101,10,"Targum Region 1-10",140,-80,100030,0.0,0.0,1.0,9,1,9,135,9,90,0,650001110,650001122,0,0,0,0,650220011,100091,bgm_M41,bgm_M41,0,0,650220012,100092,bgm_M41,bgm_M41,0,0,650220013,100093,bgm_M41,bgm_M41,0,0,100091,0
20001111,20001,20001101,11,"Targum Region 1-11",260,61,100070,0.0,0.0,1.0,10,1,10,150,10,90,0,650001111,650001124,0,0,0,0,650230011,100101,bgm_M41,bgm_M41,0,0,650230012,100102,bgm_M41,bgm_M41,0,0,650230013,100103,bgm_M41,bgm_M41,0,0,100101,0
20001112,20001,20001101,12,"Targum Region 1-12",345,-96,100010,0.0,0.0,1.0,10,1,10,150,10,90,0,650001112,650001125,0,0,0,0,650240011,100061,bgm_M41,bgm_M41,0,0,650240012,100062,bgm_M41,bgm_M41,0,0,650240013,100063,bgm_M41,bgm_M41,0,0,100061,0
20001113,20001,20001101,13,"Targum Region 1-13",470,20,100040,0.0,0.0,1.0,10,1,10,150,10,90,0,650001113,650001126,0,0,0,0,650250011,100041,bgm_M41,bgm_M41,0,0,650250012,100042,bgm_M41,bgm_M41,0,0,650250013,100043,bgm_M41,bgm_M41,0,0,100041,0
20001114,20001,20001101,14,"Targum Region 1-14",570,-100,100030,0.0,0.0,1.0,10,1,10,150,10,90,0,650001114,650001127,0,0,0,0,650260011,100091,bgm_M41,bgm_M41,0,0,650260012,100092,bgm_M41,bgm_M41,0,0,650260013,100093,bgm_M41,bgm_M41,0,0,100091,0
20001115,20001,20001101,15,"Targum Region 1-15",649,74,100030,0.0,0.0,1.0,10,1,10,150,10,90,0,650001115,650001123,0,0,0,0,650280011,100091,bgm_M41,bgm_M41,0,0,650280012,100092,bgm_M41,bgm_M41,0,0,650280013,100093,bgm_M41,bgm_M41,0,0,100091,0
20001201,20001,20001201,16,"Targum Region 1-1",-571,-12,100020,0.0,0.0,1.0,16,2,16,240,16,90,5,650001116,650001121,2,31012,1,28,650280021,100367,bgm_M41,bgm_M41,0,0,650280022,100368,bgm_M41,bgm_M41,0,0,650280023,100369,bgm_M41,bgm_M41,0,0,100367,0
20001202,20001,20001201,17,"Targum Region 1-2",-319,-148,100060,0.0,0.0,1.0,16,2,16,240,16,90,5,650001117,650001121,2,31038,1,28,650300011,100771,bgm_M41,bgm_M41,0,0,650300012,100772,bgm_M41,bgm_M41,0,0,650300013,100773,bgm_M41,bgm_M41,0,0,100771,0
20001203,20001,20001201,18,"Targum Region 1-3",-107,34,100090,0.0,0.0,1.0,18,2,18,270,18,90,5,650001118,650001121,2,31012,1,29,650330011,100451,bgm_M41,bgm_M41,0,0,650330012,100452,bgm_M41,bgm_M41,0,0,650330013,100453,bgm_M41,bgm_M41,0,0,100451,0
