action_id,class_id,action_type,action_detail_1,action_detail_2,action_detail_3,action_value_1,action_value_2,action_value_3,action_value_4,action_value_5,action_value_6,action_value_7,target_assignment,target_area,target_range,target_type,target_number,target_count,description,level_up_disp
100100101,1,1,1,0,0,30.0,30.0,2.4,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} physical damage to an enemy.","Single-target physical damage + {0}"
100100102,1,3,3,0,0,50.0,0.0,500.0,0.0,0.0,0.0,0.0,1,1,-1,3,0,99,"",""
100100103,1,1,1,0,0,13.5,13.5,1.08,0.0,0.0,0.0,0.0,1,2,400,3,0,99,"Deals {0} physical damage to enemies in range.","AOE physical damage + {0}"
100100201,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} physical damage to an enemy.","Physical damage + {0}"
100100301,1,1,1,0,0,8.0,8.0,0.6,0.0,0.0,0.0,0.0,1,1,0,1,0,1,"Deals {0} physical damage to an enemy.","Physical damage + {0}"
100100302,1,10,10,1,0,1.0,11.0,11.0,12.0,0.0,0.0,1.0,2,1,0,7,0,1,"Boosts own physical attack by {0}.","Physical attack boost + {0}"
100101101,1,1,1,0,0,60.0,60.0,4.8,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} physical damage to an enemy.","Single-target physical damage + {0}"
100101102,1,1,1,0,0,45.0,45.0,3.6,0.0,0.0,0.0,0.0,1,2,600,3,0,99,"Deals {0} physical damage to enemies in range.","AOE physical damage + {0}"
100101201,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} physical damage to an enemy.","Single-target physical damage + {0}"
100101202,1,1,1,0,0,9.0,9.0,0.72,0.0,0.0,0.0,0.0,1,2,400,3,0,99,"Deals {0} physical damage to enemies in range.","AOE physical damage + {0}"
100150101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical attack by {0}.","Physical attack boost + {0}"
100151101,1,90,2,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical attack by {0}.","Physical attack boost + {0}"
100200101,1,4,2,0,0,1.0,6.0,6.0,0.45,0.0,0.0,0.0,2,3,2160,3,0,99,"Recovers all allies' HP by {0}.","HP recovery + {0}"
100200201,1,1,2,0,0,15.0,15.0,1.2,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} magic damage to an enemy.","Magic damage + {0}"
100200301,1,10,20,1,0,1.0,0.23,0.23,12.0,0.0,0.0,1.0,2,3,2160,3,0,99,"Boosts all allies' physical defense by {0}.","Physical defense boost + {0}"
100201101,1,4,2,0,0,1.0,8.0,8.0,0.6,0.0,0.0,0.0,2,3,2160,3,0,99,"Recovers all allies' HP by {0}.","HP recovery + {0}"
100201102,1,10,20,1,0,1.0,1.2,1.2,18.0,0.0,0.0,1.0,2,3,2160,3,0,99,"Boosts all allies' physical defense by {0}.","Physical defense boost + {0}"
100201103,1,6,1,0,0,45.0,45.0,18.0,0.0,0.0,0.0,0.0,2,3,2160,3,0,99,"Deploys Barrier that negates {0} physical damage.","Negated damage + {0}"
100201104,1,8,2,0,0,2.0,0.0,18.0,0.0,0.0,0.0,1.0,2,3,2160,3,0,99,"Boosts action speed of all allies.",""
100201201,1,1,2,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} magic damage to an enemy.","Magic damage + {0}"
100201202,1,10,11,1,0,1.0,7.5,7.5,12.0,0.0,0.0,1.0,2,3,2160,3,0,99,"Lowers an enemy's physical attack by {0}.","Physical attack lowered + {0}"
100250101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own magic attack by {0}.","Magic attack boost + {0}"
100251101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own magic attack by {0}.","Magic attack boost + {0}"
100251102,1,90,5,0,0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own magic defense by {0}.",""
100300101,1,1,1,0,0,60.0,60.0,4.8,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} physical damage to an enemy.","Physical damage + {0}"
100300201,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} physical damage to an enemy.","Physical damage + {0}"
100300301,1,28,677,100300303,100300302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"",""
100300302,1,18,1,100300305,0,0.5,0.0,1.8,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"",""
100300303,1,18,1,100300306,0,1.0,0.0,1.8,0.0,0.0,0.0,0.0,1,1,4320,3,0,1,"",""
100300304,1,28,677,100300306,100300305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"",""
100300305,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} physical damage to an enemy.","Physical damage + {0}"
100300306,1,1,1,0,0,40.0,40.0,3.2,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"",""
100301101,1,1,1,0,0,120.0,120.0,9.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} physical damage to an enemy.","Physical damage + {0}"
100301102,1,35,0,0,0,1.0,77.0,18.0,1.0,0.0,0.0,0.0,2,1,0,7,0,1,"Equips Blades of Wind for a set period of time.",""
100301201,1,28,677,100301203,100301202,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"",""
100301202,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} physical damage to an enemy.","Physical damage + {0}"
100301203,1,1,1,0,0,40.0,40.0,3.2,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"",""
100301204,1,10,21,1,0,1.0,0.6,0.6,12.0,0.0,0.0,1.0,1,1,-1,3,0,1,"Lowers an enemy's physical defense by {0}.","Physical defense lowered + {0}"
100301205,1,10,21,1,0,1.0,1.2,1.2,24.0,0.0,0.0,1.0,1,1,-1,3,0,1,"",""
100350101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical attack by {0}.","Physical attack boost + {0}"
100351101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical attack by {0}.","Physical attack boost + {0}"
100351102,1,90,1,0,0,1.0,1125.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own max HP by {0}.",""
100400101,1,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2160,3,1,1,"",""
100400102,1,1,1,0,0,20.4,20.4,1.62,0.0,0.0,0.0,0.0,1,2,300,1,0,99,"Deals {0} physical damage to enemies in range.","Physical damage + {0}"
100400201,1,1,1,0,0,8.0,8.0,0.6,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"Deals {0} physical damage to an enemy.","Physical damage + {0}"
100400202,1,12,70,0,0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"Inflicts Blind.","Blind success rate + 1"
100400301,1,1,1,0,0,10.0,10.0,0.8,0.0,0.0,0.0,0.0,1,2,2160,14,0,1,"Deals {0} physical damage to an enemy.","Physical damage + {0}"
100400302,1,10,11,1,0,1.0,3.75,3.75,99.0,0.0,0.0,1.0,1,2,2160,1,0,1,"Lowers an enemy's physical attack by {0}.","Physical attack lowered + {0}"
100400303,1,10,10,1,0,1.0,5.5,5.5,99.0,0.0,0.0,1.0,2,1,0,7,0,1,"Boosts own physical attack by {0}.","Physical attack boost + {0}"
100401201,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"Deals {0} physical damage to an enemy.","Physical damage + {0}"
100401202,1,12,80,0,0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"Inflicts Blind.","Blind success rate + 1"
100401203,1,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"",""
100401204,1,10,11,1,0,1.0,5.0,5.0,180.0,0.0,0.0,0.0,1,2,200,1,0,99,"Lowers physical attack of enemies in range by {0}.","Physical attack lowered + {0}"
100450101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical defense by {0}.","Physical defense boost + {0}"
100451101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical defense by {0}.","Physical defense boost + {0}"
100451102,1,90,2,0,0,1.0,225.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical attack by {0}.",""
100500101,1,2,3,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2160,3,2,1,"",""
100500102,1,7,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2160,3,2,1,"",""
100500103,1,1,1,0,0,30.0,30.0,2.4,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"Deals {0} physical damage to enemies in range.","Physical damage + {0}"
100500201,1,1,1,0,0,3.4,3.4,0.27,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"Deals {0} physical damage to enemies in range.","Physical damage + {0}"
100500202,1,8,7,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"Renders enemies in range immobile for a set period of time.","Stun success rate + 1"
100500301,1,1,1,0,0,10.0,10.0,0.8,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"Deals {0} physical damage to enemies in range.","Physical damage + {0}"
100501201,1,1,1,0,0,3.4,3.4,0.54,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"Deals {0} physical damage to enemies in range.","Physical damage + {0}"
100501202,1,8,7,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"Renders enemies in range immobile for a set period of time.","Stun success rate + 1"
100501203,1,10,20,1,0,1.0,2.24,2.24,12.0,0.0,0.0,0.0,2,1,0,7,0,1,"Boosts own physical defense by {0}.","Physical defense boost + {0}"
100501204,1,10,40,1,0,1.0,2.24,2.24,12.0,0.0,0.0,0.0,2,1,0,7,0,1,"Boosts own magic defense by {0}.","Magic defense boost + {0}"
100550101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical attack by {0}.","Physical attack boost + {0}"
100551101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical attack by {0}.","Physical attack boost + {0}"
100551102,1,90,3,0,0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical defense by {0}.",""
100600101,1,32,0,0,0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,2,3,2160,3,0,99,"",""
100600102,1,10,30,1,0,1.0,4.5,4.5,18.0,0.0,0.0,0.0,2,3,2160,3,0,99,"Boosts all allies' magic attack by {0}.","Magic attack boost + {0}"
100600201,1,1,2,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} magic damage to an enemy.","Magic damage + {0}"
100600301,1,10,41,1,0,1.0,1.0,1.0,12.0,0.0,0.0,1.0,1,1,-1,3,0,1,"Lowers an enemy's magic defense by {0}.","Magic defense lowered + {0}"
100601201,1,1,2,0,0,25.0,25.0,2.0,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} magic damage to an enemy.","Magic damage + {0}"
100601202,1,10,41,1,0,1.0,0.2,0.2,12.0,0.0,0.0,1.0,1,1,-1,3,0,1,"Lowers an enemy's magic defense by {0}.","Magic defense lowered + {0}"
100610101,1,1,2,0,0,25.0,25.0,2.0,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} magic damage to an enemy.","Magic damage + {0}"
100610201,1,1,2,0,0,15.0,15.0,1.25,0.0,0.0,0.0,0.0,1,1,550,3,0,99,"Deals {0} magic damage to an enemy.","Magic damage + {0}"
100650101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own magic attack by {0}.","Magic attack boost + {0}"
100651101,1,90,4,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own magic attack by {0}.","Magic attack boost + {0}"
100700101,1,1,1,0,0,45.0,45.0,3.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} physical damage to an enemy.","Physical damage + {0}"
100700102,1,4,1,0,0,1.0,12.0,12.0,1.0,0.0,0.0,0.0,2,3,0,7,0,1,"Recovers own HP by {0}.","HP recovery + {0}"
100700201,1,21,1,0,0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"Becomes immune to all damage for a set period of time.","Immunity time + 0.01 seconds"
100700202,1,18,1,100700203,0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0,0,0,7,0,1,"",""
100700203,1,21,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"",""
100700301,1,4,1,0,0,1.0,7.5,7.5,1.0,0.0,0.0,0.0,2,1,0,7,0,1,"Recovers own HP by {0}.","HP recovery + {0}"
100701201,1,21,1,0,0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"Becomes immune to all damage for a set period of time.","Immunity time + 0.01 seconds"
100701202,1,18,1,100701203,0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0,0,0,7,0,1,"",""
100701203,1,21,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"",""
100701204,1,10,50,1,0,1.0,0.1,0.1,12.0,0.0,0.0,1.0,2,2,0,7,0,1,"Boosts own evasion by {0}.","Evasion boost + {0}"
100701205,1,10,20,1,0,1.0,1.2,1.2,12.0,0.0,0.0,1.0,2,2,0,7,0,1,"Boosts own physical defense by {0}.","Physical defense boost + {0}"
100750101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical defense by {0}.","Physical defense boost + {0}"
100751101,1,90,3,0,0,1.0,32.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical defense by {0}.","Physical defense boost + {0}"
100800101,1,1,2,0,0,4.5,4.5,0.405,0.0,0.0,0.0,0.0,1,1,2160,3,0,99,"Deals {0} magic damage to all enemies.","Magic damage + {0}"
100800102,1,10,21,1,0,1.0,0.345,0.345,18.0,0.0,0.0,1.0,1,1,2160,3,0,99,"Lowers all enemies' physical defense by {0}.","Physical defense lowered + {0}"
100800201,1,1,2,0,0,15.0,15.0,1.2,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"Deals {0} magic damage to an enemy.","Magic damage + {0}"
100800202,1,12,40,0,0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,1,0,1,"Inflicts Blind.","Blind success rate + 1"
100800301,1,16,1,0,0,75.0,2.5,0.0,0.0,0.0,0.0,0.0,2,1,2160,12,0,1,"Recovers an ally's TP by {0}.","TP recovery + {0}"
100801201,1,1,2,0,0,15.0,15.0,1.2,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"Deals {0} magic damage to an enemy.","Magic damage + {0}"
100801202,1,12,40,0,0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"Inflicts Blind.","Blind success rate + 1"
100801203,1,11,0,0,0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"Inflicts Charm on an enemy.","Charm success rate + 1"
100850101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own magic attack by {0}.","Magic attack boost + {0}"
100851101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own magic attack by {0}.","Magic attack boost + {0}"
100851102,1,90,3,0,0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"Boosts own physical defense by {0}.",""
100900101,1,1,2,0,0,18.0,18.0,1.44,0.0,0.0,0.0,0.0,1,3,2160,3,0,99,"Deals {0} magic damage to all enemies.","Magic damage + {0}"
100900102,1,10,21,1,0,2.0,100.0,0.0,99.0,0.0,0.0,2.0,2,1,0,7,0,1,"Lowers own physical defense to 0.",""
100900103,1,10,41,1,0,2.0,100.0,0.0,99.0,0.0,0.0,2.0,2,1,0,7,0,1,"Lowers own magical defense to 0.",""
100900201,1,1,2,0,0,20.0,20.0,1.2,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"Deals {0} magic damage to an enemy.","Magic damage + {0}"
100900301,1,17,3,0,0,100.0,0.0,10.0,0.0,1.0,0.0,0.0,2,3,0,7,0,1,"",""
