skill_id,name,skill_type,skill_area_width,skill_cast_time,action_1,action_2,action_3,action_4,action_5,action_6,action_7,depend_action_1,depend_action_2,depend_action_3,depend_action_4,depend_action_5,depend_action_6,depend_action_7,description,icon_type
1001001,"Hiyori Rush",0,0,0.0,100100101,100100102,100100103,0,0,0,0,0,100100102,0,0,0,0,0,"Deals large physical damage to an enemy directly in front and deals moderate physical damage to all enemies in a small radius around it.",1001
1001002,"Kitty Kapow",0,0,1.125,100100201,0,0,0,0,0,0,0,0,0,0,0,0,0,"Deals moderate physical damage to an enemy directly in front.",2001
1001003,"Kitty Combo",0,0,1.295,100100301,100100302,0,0,0,0,0,0,0,0,0,0,0,0,"Deals small physical damage to an enemy directly in front. Boosts own physical attack by a moderate amount.",2001
1001012,"Kitty Kapow+",0,0,1.125,100101201,100101202,0,0,0,0,0,0,0,0,0,0,0,0,"Deals large physical damage to an enemy directly in front and deals small physical damage to all enemies in a small radius around it.",2001
1001501,"Paw Power",0,0,0.0,100150101,0,0,0,0,0,0,0,0,0,0,0,0,0,"Moderate boost to own physical attack at start of battle.",3001
1001511,"Paw Power+",0,0,0.0,100151101,0,0,0,0,0,0,0,0,0,0,0,0,0,"Large boost to own physical attack at start of battle.",3001
1002001,"Group Heal",1,0,0.0,100200101,0,0,0,0,0,0,0,0,0,0,0,0,0,"Recovers a moderate amount of HP for all allies.",1005
1002002,"Blooming Blast",1,0,1.6,100200201,0,0,0,0,0,0,0,0,0,0,0,0,0,"Deals moderate magical damage to an enemy directly in front.",2002
1002003,"Flower Guard",1,0,1.46,100200301,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small boost to physical defense of all allies.",2003
1002012,"Blooming Blast+",1,0,1.6,100201201,100201202,0,0,0,0,0,0,100201201,0,0,0,0,0,"Deals moderate magical damage to an enemy directly in front and lowers its physical attack by a moderate amount.",2002
1002501,"Floral Aura",0,0,0.0,100250101,0,0,0,0,0,0,0,0,0,0,0,0,0,"Moderate boost to own magical attack at start of battle.",3003
1002511,"Floral Aura+",0,0,0.0,100251101,100251102,0,0,0,0,0,0,0,0,0,0,0,0,"Moderate boost to own magical attack and small boost to magical defense at start of battle.",3003
1003001,"Hurricane Slash",0,0,0.0,100300101,0,0,0,0,0,0,0,0,0,0,0,0,0,"Deals massive physical damage to an enemy directly in front.",1001
1003002,"Wind Thrust",0,0,0.955,100300201,0,0,0,0,0,0,0,0,0,0,0,0,0,"Deals moderate physical damage to an enemy directly in front.",2001
1003003,"Counter Slash",0,0,1.3275,100300301,100300302,0,0,0,0,0,0,0,0,0,0,0,0,"Deals moderate physical damage to an enemy directly in front. Boost to damage dealt based on the damage taken while in pre-attack stance.",2001
1003012,"Wind Thrust+",0,0,0.955,100301201,100301202,0,0,0,0,0,0,100301201,0,0,0,0,0,"Deals moderate physical damage to an enemy directly in front and lowers its physical defense by a small amount.",2001
1003501,"Rapid Riposte",0,0,0.0,100350101,0,0,0,0,0,0,0,0,0,0,0,0,0,"Moderate boost to own physical attack at start of battle.",3001
1003511,"Rapid Riposte+",0,0,0.0,100351101,100351102,0,0,0,0,0,0,0,0,0,0,0,0,"Moderate boost to own physical attack and small boost to max HP at start of battle.",3001
1004001,"Trick Bomber",0,0,0.0,100400101,100400102,0,0,0,0,0,0,100400101,0,0,0,0,0,"Deals moderate physical damage to enemies in a radius around the 2nd closest enemy.",1001
1004002,"Ink Spray",0,0,1.55,100400201,100400202,0,0,0,0,0,0,100400201,0,0,0,0,0,"Deals small physical damage to the 2nd closest enemy and inflicts Blind.",2010
1004003,"Water Balloon",0,0,1.18,100400301,100400302,100400303,0,0,0,0,0,100400301,0,0,0,0,0,"Deals small physical damage to an enemy with the highest physical attack and lowers its physical attack by a small amount. Small boost to own physical attack.",2004
1004012,"Ink Spray+",0,0,1.55,100401201,100401202,100401203,100401204,0,0,0,0,100401201,0,100401203,0,0,0,"Deals small physical damage to the 2nd closest enemy and inflicts Blind. Lowers the physical attack of all enemies in range by a small amount.",2010
1004501,"Professional Prankster",0,0,0.0,100450101,0,0,0,0,0,0,0,0,0,0,0,0,0,"Moderate boost to own physical defense at start of battle.",3002
1004511,"Professional Prankster+",0,0,0.0,100451101,100451102,0,0,0,0,0,0,0,0,0,0,0,0,"Moderate boost to own physical defense and small boost to physical attack at start of battle.",3002
1005001,"Tiger Heroic Bomber",0,0,0.0,100500101,100500102,100500103,0,0,0,0,0,0,100500102,0,0,0,0,"Leaps toward the third-closest enemy and deals large physical damage to all enemies in an area around oneself.",1001
1005002,"Tiger Shock",0,0,0.76,100500201,100500202,0,0,0,0,0,0,100500201,0,0,0,0,0,"Deals small physical damage to all enemies in an area around oneself and inflicts Stun.",2018
1005003,"Tiger Spin",0,0,1.5,100500301,0,0,0,0,0,0,0,0,0,0,0,0,0,"Deals small physical damage to all enemies in an area around oneself.",2001
1005012,"Tiger Shock+",0,0,0.76,100501201,100501202,100501203,100501204,0,0,0,0,100501201,0,0,0,0,0,"Deals small physical damage to all enemies in an area around oneself and inflicts Stun. Massive boost to own physical and magical defense.",2018
1005501,"Hero's Code",0,0,0.0,100550101,0,0,0,0,0,0,0,0,0,0,0,0,0,"Moderate boost to own physical attack at start of battle.",3001
1005511,"Hero's Code+",0,0,0.0,100551101,100551102,0,0,0,0,0,0,0,0,0,0,0,0,"Moderate boost to own physical attack and small boost to own physical defense at start of battle.",3001
1006001,"Little Devil's Cheer",1,0,0.0,100600101,100600102,0,0,0,0,0,0,0,0,0,0,0,0,"Small boost to magical attack of all allies and recovers their HP based on the damage dealt by their next attack.",1003
1006002,"Shadow Bolt",0,0,1.18,100600201,0,0,0,0,0,0,0,0,0,0,0,0,0,"Deals moderate magical damage to an enemy directly in front.",2002
1006003,"Impish Kiss",1,0,1.25,100600301,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lowers magical defense of an enemy directly in front by a large amount.",2004
1006012,"Shadow Bolt+",0,0,1.18,100601201,100601202,0,0,0,0,0,0,100601201,0,0,0,0,0,"Deals large magical damage to an enemy directly in front and lowers its magical defense by a small amount.",2002
1006501,"Sweet Ignition",0,0,0.0,100650101,0,0,0,0,0,0,0,0,0,0,0,0,0,"Moderate boost to own magical attack at start of battle.",3003
1006511,"Sweet Ignition+",0,0,0.0,100651101,0,0,0,0,0,0,0,0,0,0,0,0,0,"Large boost to own magical attack at start of battle.",3003
1007001,"You're Pudding Now!",1,0,0.0,100700101,100700102,0,0,0,0,0,0,0,0,0,0,0,0,"Inflicts large physical damage to one enemy directly in front while also healing own HP by a moderate amount.",1001
1007002,BOO!,0,0,0.0,100700201,100700202,100700203,0,0,0,0,0,0,100700202,0,0,0,0,"[Transform] Transforms into a ghost, becoming invincible for a short time.",2017
1007003,"Snack Time!",1,0,0.27,100700301,0,0,0,0,0,0,0,0,0,0,0,0,0,"Recovers own HP by a moderate amount.",2005
1007012,BOO!+,0,0,0.0,100701201,100701202,100701203,100701204,100701205,0,0,0,0,100701202,0,0,0,0,"[Transform] Transforms into a ghost, becoming invincible for a short time. Additionally, moderate boost to own Dodge and large boost to own physical defense.",2017
1007501,"Floaty Wispy Ghosty!",0,0,0.0,100750101,0,0,0,0,0,0,0,0,0,0,0,0,0,"Moderate boost to own physical defense at start of battle.",3002
