reading_id,reading,read_type,panel_id,detail_text
1000100,apple,1,10001,"Sweet and juicy. One a day keeps the doctor away."
1000101,fruit,2,10001,"The humble apple may be the most famous of all fruits."
1000102,"Metamorph Apple",3,10001,"A fruit that bestows the power of transformation. Neneka created it for Lima to use."
1000200,gorilla,1,10002,"Who doesn't know this banana-loving ape with strength to spare?"
1000201,ape,2,10002,"The larger category to which gorillas belong. Technically includes humans, too!"
1000202,chimp,2,10002,"A lankier ape than the gorilla. One of humanity's closest living relatives."
1000203,"Monkey Master",3,10002,"A powerful primate sage that has taken up residence in the Tower of Luna. Not actually an ape, but a monkey's close enough, right?"
1000300,trumpet,1,10003,"A beloved brass instrument. Particularly prominent in jazz music."
1000301,horn,2,10003,"An instrument similar to a trumpet, but usually more curved. Can also refer more broadly to wind instruments in general."
1000302,instrument,2,10003,"The general term for music-making devices. What, did you think we'd include ""sax practice"" as a PriConne Name?"
1000400,pineapple,1,10004,"A luscious fruit known for flourishing in tropical regions."
1000401,fruit,2,10004,"You're getting the idea now. How many types of fruit are there in this game, anyway?"
1000500,ruby,1,10005,"A brilliant scarlet gem prized by some as the queen of jewels."
1000501,gem,1,10005,"Precious stones used in jewelry. They tend to fetch a hefty price."
1000502,treasure,2,10005,"A term for valuable things in general. Calls to mind pirates and thrilling hunts."
1000503,"priceless jewel",2,10005,"Well, it probably does have a price, but you might be happier not hearing it."
1000504,"Akino's brooch",3,10005,"The fabulous brooch worn by the heir to the House of Wisteria, and a symbol of her incredible riches."
1000505,"Brilliance of Wisteria",3,10005,"Akino's Unique Equipment. A precious gemstone passed down in her family."
1000600,"definitely not beer",1,10006,"It might look like beer, and taste like beer, and get you drunk like beer, but we're assured it's not beer."
1000601,tankard,1,10006,"The traditional vessel for drinking beer... or whatever this enticing beverage might be."
1000602,"barley broth",3,10006,"What Yukari likes to call this mysterious beverage. Don't let her drink too much of it, though."
1000603,"Eternal Tankard",3,10006,"Yukari's Unique Equipment. No matter how much she drinks, it just keeps on refilling itself with... something."
1000700,bow,1,10007,"The weapon used to fire arrows."
1000701,arrow,1,10007,"The projectile fired from a bow."
1000702,"ranged weapon",2,10007,"Any weapon that takes out its target from a safe distance. Though there's no such thing as completely safe..."
1000703,projectile,2,10007,"Something that's thrown or fired to attack an enemy from afar."
1000800,music,1,10008,"Melodic sounds that please the ears."
1000801,tune,1,10008,"A slightly casual word for musical melodies. Makes you think of ditties that stick in your ears for days."
1000802,song,1,10008,"Words set to music to create a beautiful performance."
1000803,harmony,2,10008,"Notes that sound better when played together. The foundation of a good musical piece."
1000804,yodel,2,10008,"A quirky style of singing featuring rapid shifts between high and low notes. Often associated with the folk music of Alpine regions."
1000900,paint,1,10009,"Materials used to produce color for art or decoration."
1000901,tube,2,10009,"A cylindrical container well suited for holding viscous liquid paints."
